Study,PPID,totalEmotions,negEmotions,posEmotions,giniCoefThemeZ,numPromptsZ,mNegativeZ,mPositiveZ,negGranZ,posGranZ
1,2,18,8,10,-1.012449564,0.206128468,-0.293533537,-0.115022711,-0.817416751,-0.280887256
1,3,18,8,10,-0.828381681,0.46622748,-0.33236921,-0.57274099,-0.004556993,0.501539209
1,6,18,8,10,1.386268085,0.141103714,-0.221048915,1.161869037,-0.978023485,-0.016797466
1,7,18,8,10,-1.082125328,-0.899292337,-0.359544471,0.126047134,0.292820113,-0.18592134
1,9,18,8,10,0.849838682,0.498739857,-0.594036947,0.189514949,-0.110783654,0.583691394
1,10,18,8,10,0.590371698,1.604160661,0.32018595,-0.648021703,0.22434582,0.14621454
1,11,18,8,10,0.814795732,0.953913129,-0.366678791,-0.056744014,-0.726479099,-1.258885017
1,12,18,8,10,1.215983827,-0.444119064,-0.559379188,0.292450223,-1.066253993,-0.218454763
1,13,18,8,10,1.019287521,2.709581465,-0.742916867,-0.809303178,0.798726203,2.213025582
1,14,18,8,10,0.232065038,-0.574168571,-0.817208113,-0.360518104,0.343792353,0.219354184
1,15,18,8,10,1.096243368,0.791351246,-0.655613115,-0.467903691,-0.523289555,0.525832263
1,17,18,8,10,0.040872838,2.514507206,0.769512347,0.363895172,-0.256259074,-0.654148437
1,18,18,8,10,0.739069402,0.271153221,-0.395242445,-0.666584859,0.555442248,1.294580697
1,19,18,8,10,0.812534211,1.571648284,-0.380045111,-0.801425972,1.077979169,0.75566927
1,21,18,8,10,-0.024785776,-0.639193324,0.790563193,-0.454396814,1.532273205,0.750286859
1,22,18,8,10,0.678813467,0.401202727,-0.529881496,-0.110923019,1.680250699,-0.327933448
1,23,18,8,10,1.603886323,0.108591338,-0.168685279,-0.107549558,0.559244332,-0.158105141
1,24,18,8,10,0.745788219,-0.411606688,-0.849757691,-0.79718904,1.121261214,1.932575228
1,25,18,8,10,0.779795913,-0.76924283,-0.569456039,-0.369367596,1.210262818,0.814945674
1,26,18,8,10,-0.038482898,-0.76924283,-0.204415651,-0.546588284,0.240159416,-0.52540828
1,27,18,8,10,0.672671677,-1.159391349,0.375132472,1.55736776,1.123158993,0.617046413
1,28,18,8,10,0.241086468,-0.476631441,0.060203194,-0.364557291,1.126728754,-1.234699095
1,29,18,8,10,0.283234185,0.56376461,0.406897327,0.472782943,1.495617244,0.268962853
1,32,18,8,10,-0.095052012,-0.736730454,-0.189473359,-1.038305754,0.81822903,-0.628251923
1,33,18,8,10,0.400347048,-0.76924283,-1.0440123,-0.981571434,1.015522083,-0.823625253
1,34,18,8,10,0.954005262,0.401202727,0.358038542,0.59275673,0.563199167,0.611708374
1,36,18,8,10,-0.20077134,1.506623531,0.347907573,-0.400552772,-0.154374594,-0.351994129
1,37,18,8,10,-0.284030151,-0.639193324,-0.811684343,3.666936561,0.391429224,0.338618676
1,38,18,8,10,-1.929507565,-0.899292337,-0.40551875,-0.457458605,-0.877946736,-1.484088931
1,40,18,8,10,-1.690582115,-0.931804713,-0.741649269,1.440846443,-1.229653471,0.005285457
1,43,18,8,10,-1.719393714,-0.834267583,4.673310476,2.66070637,-1.366426109,-0.271632568
1,45,18,8,10,-1.140247411,1.083962636,-0.663170753,-0.891328656,-0.815940244,0.99455834
1,46,18,8,10,-1.208251362,-0.639193324,0.466470938,0.370447781,-0.96334356,-0.990601277
1,47,18,8,10,-1.079134196,-0.639193324,0.061274219,-0.920147538,-0.151298421,-1.434089337
1,49,18,8,10,0.12489045,1.669185414,-0.025213777,1.169324178,-0.762000998,0.244940129
1,50,18,8,10,-0.181838169,-1.029341843,-0.802540743,-0.371848502,0.16979503,0.925096897
1,51,18,8,10,1.329843156,1.246524519,0.170724149,0.546521282,-0.823439137,1.098545259
1,54,18,8,10,1.617997806,1.474111155,-0.2019258,-0.866632893,-0.859831439,-0.210801575
1,55,18,8,10,-0.933642504,-0.736730454,2.786891109,1.366494909,-2.520919358,-2.466292346
1,56,18,8,10,-1.83942092,-0.86677996,2.220967959,2.093184143,-2.718062385,-2.770780899
1,57,18,8,10,-0.878130176,-0.704218077,0.112419604,-0.524328141,0.47804218,0.554709667
1,58,18,8,10,-0.3044312,-0.899292337,-0.330485014,-0.909407698,1.169404326,0.236234715
1,59,18,8,10,-1.975975052,-0.931804713,-0.951075114,-0.667663331,-1.317342732,0.703105517
1,61,18,8,10,1.230060109,0.888888376,-0.544538734,-0.461765541,0.762611136,1.661335446
1,62,18,8,10,-0.595741375,-0.96431709,0.588796719,-0.576495199,-1.024114131,-1.219201186
1,63,18,8,10,0.680446094,-0.086482922,-0.668443524,-0.606564117,0.524869922,0.680235168
1,64,18,8,10,-0.68941874,-0.606680947,0.030318133,-0.682037432,0.518306523,-0.125749598
1,66,18,8,10,0.232786752,-0.444119064,1.389483796,0.820481429,0.461788292,-0.414996317
1,67,18,8,10,0.54622307,-0.574168571,-0.197779345,-0.458548122,-0.59200477,-1.186660209
1,68,18,8,10,-1.187413148,-0.996829466,-0.311774015,-0.828134488,0.404501195,0.561907981
2,1,39,20,19,0.004795484,-0.049927196,-0.036254218,-1.728410632,-0.235561937,-0.666702704
2,2,39,20,19,0.263057352,-0.049927196,-0.87638149,-1.698437818,1.736005703,0.853858404
2,3,39,20,19,0.149624688,-1.314749504,1.496383308,0.290114298,-0.674927697,0.627875626
2,5,39,20,19,2.003933652,-0.049927196,2.076760762,-0.166956868,-1.65168027,-1.581991142
2,6,39,20,19,-0.794859784,-0.049927196,-0.760640125,-0.541179497,0.920356739,0.498620527
2,7,39,20,19,-1.605036831,-0.049927196,1.476093046,0.857090958,-2.015750178,-1.515474559
2,8,39,20,19,0.305594601,-0.049927196,-1.129546687,-0.154857781,1.567323518,1.709045443
2,9,39,20,19,-0.67701585,-0.049927196,-0.073183971,-0.822465431,0.236166672,0.781064131
2,10,39,20,19,0.972799228,-0.049927196,-0.776373003,0.372575847,0.150196924,0.702579163
2,11,39,20,19,-0.721207325,-0.049927196,-1.122132387,2.28150574,0.882881755,0.392780216
