Study,PPID,totalEmotions,negEmotions,giniCoefThemeZ,numPromptsZ,mNegativeZ,negGranZ
1,2,18,8,-0.529065378,0.377031404,-0.293533537,-1.351234261
1,3,18,8,-0.842071671,0.377031404,-0.33236921,-0.085990182
1,6,18,8,2.054907059,0.504838659,-0.221048915,-0.905428957
1,7,18,8,0.128685047,-0.773233896,-0.359544471,0.46773118
1,9,18,8,0.683675615,0.728501356,-0.594036947,0.020361152
1,10,18,8,0.86485104,1.623152145,0.32018595,0.357386652
1,11,18,8,0.339092774,0.792404984,-0.366678791,-0.525599587
1,12,18,8,1.44691137,0.18532052,-0.559379188,-0.804932747
1,13,18,8,0.469318063,2.709513817,-0.742916867,0.994565935
1,14,18,8,0.908542863,-0.389812129,-0.817208113,0.601162941
1,15,18,8,0.600482907,0.504838659,-0.655613115,-0.224572866
1,17,18,8,-0.296146151,2.198284795,0.769512347,-0.786472078
1,18,18,8,1.162490436,0.472886845,-0.395242445,0.396432093
1,19,18,8,0.849065607,1.271682192,-0.380045111,1.022540281
1,21,18,8,0.087136597,-0.293956688,0.790563193,0.792367141
1,22,18,8,0.804547673,0.313127776,-0.529881496,1.849505069
1,23,18,8,1.044255014,0.057513265,-0.168685279,0.594809476
1,24,18,8,0.632676013,-0.613474826,-0.849757691,1.309772754
1,25,18,8,1.266815808,-0.613474826,-0.569456039,1.114604477
1,26,18,8,0.380745645,-0.677378454,-0.204415651,0.247654438
1,27,18,8,0.458641923,-1.316414732,0.375132472,0.607675839
1,28,18,8,0.070687911,-0.64542664,0.060203194,1.286557148
1,29,18,8,0.27850678,0.281175962,0.406897327,1.288763686
1,32,18,8,-0.512897767,-0.773233896,-0.189473359,0.596988191
1,33,18,8,0.07402905,-0.901041151,-1.0440123,1.245647593
1,34,18,8,1.137548278,0.440935031,0.358038542,0.579216284
1,36,18,8,0.01501312,1.814863028,0.347907573,-0.159236534
1,37,18,8,-1.728603569,-0.709330268,-0.811684343,0.658212452
1,38,18,8,-1.618592159,-0.964944779,-0.40551875,-0.656660067
1,40,18,8,-2.01007089,-1.124703848,-0.741649269,-0.893910284
1,43,18,8,-0.932868862,-0.709330268,4.673310476,-1.140503466
1,45,18,8,-1.010700371,0.888260426,-0.663170753,-0.812324463
1,46,18,8,0.173917596,-0.389812129,0.466470938,-0.736897791
1,47,18,8,-1.459553924,-0.773233896,0.061274219,-0.497454048
1,49,18,8,-0.876413732,1.399489448,-0.025213777,-0.58654555
1,50,18,8,-1.490535399,-1.156655662,-0.802540743,0.369567862
1,51,18,8,0.849681239,1.463393075,0.170724149,-0.572561127
1,54,18,8,1.499078198,1.431441262,-0.2019258,-0.813077607
1,55,18,8,-0.869394622,-0.549571199,2.786891109,-3.444804106
1,56,18,8,-1.853808371,-1.060800221,2.220967959,-2.392412143
1,57,18,8,-0.596203509,-0.64542664,0.112419604,-0.057429721
1,58,18,8,-0.89156023,-1.092752035,-0.330485014,1.201237931
1,59,18,8,-2.072987114,-1.156655662,-0.951075114,-0.934424272
1,61,18,8,0.762903454,0.984115867,-0.544538734,0.929344636
1,62,18,8,-0.532271196,-1.188607476,0.588796719,-0.837010403
1,63,18,8,0.663868656,0.281175962,-0.668443524,0.57579072
1,64,18,8,-0.405463301,-0.64542664,0.030318133,0.300577615
1,66,18,8,0.221957078,-0.485667571,1.389483796,-0.024161357
1,67,18,8,0.425257804,-0.325908502,-0.197779345,-0.667059513
1,68,18,8,0.173917596,-1.124703848,-0.311774015,0.502229581
2,1,39,20,0.413519281,0.134017633,-0.036254218,-0.403328531
2,2,39,20,-0.535627162,-0.714760708,-0.87638149,1.864134087
2,3,39,20,-0.68549239,-3.261095729,1.496383308,-0.67387368
2,5,39,20,-2.034279441,-4.958652411,2.076760762,-1.440157811
2,6,39,20,0.413519281,0.134017633,-0.760640125,0.904792594
2,7,39,20,-1.284953301,0.134017633,1.476093046,-1.966098379
2,8,39,20,0.613339585,-1.563539048,-1.129546687,1.64788874
2,9,39,20,0.026367442,0.134017633,-0.073183971,0.003580998
2,10,39,20,0.48618121,0.134017633,-0.776373003,0.088855835
2,11,39,20,0.813159889,0.134017633,-1.122132387,1.016777269
2,12,39,20,-1.284953301,0.134017633,1.087799724,-1.519251947
2,13,39,20,-0.348295627,0.134017633,0.817011779,-0.657144236
2,14,39,20,-0.722958697,0.134017633,-0.570867056,-0.410312335
2,15,39,20,1.562486028,0.134017633,0.772687929,0.842018777
2,16,39,20,1.462575876,0.134017633,1.297591111,0.468874367
2,17,39,20,-0.086031479,0.134017633,2.061937703,-1.971522112
2,18,39,20,0.077457861,-1.563539048,-1.140713353,0.343036086
2,19,39,20,-0.086031479,0.134017633,-0.991794803,1.443935377
2,20,39,20,-1.659616371,0.134017633,-0.827827835,-1.682855678
2,21,39,20,0.213698977,0.134017633,-0.706060136,0.71007177
2,22,39,20,0.963025117,0.134017633,-0.926767742,1.489332941
2,23,39,20,0.213698977,0.134017633,1.201153204,-1.010657992
2,24,39,20,-1.499046484,0.134017633,-0.909222653,-0.955439914
2,25,39,20,-0.985222846,0.134017633,-0.248029568,0.366966587
2,26,39,20,2.961228155,2.680352654,-0.172201873,0.289736279
2,27,39,20,-1.284953301,0.134017633,-0.016531733,0.090368128
2,28,39,20,-0.535627162,0.134017633,1.611527556,-0.555228025
2,30,39,20,-0.410739472,0.134017633,0.251428562,-1.884764903
2,31,39,20,-0.410739472,0.134017633,-1.30100595,1.083547763
2,32,39,20,-0.348295627,0.134017633,-1.248381051,1.835995675
2,34,39,20,-1.284953301,0.134017633,-0.224572135,-0.705144461
2,35,39,20,-0.195024372,0.134017633,-0.749336461,-0.867724152
2,36,39,20,1.112890344,0.134017633,-0.386476732,0.747354302
2,37,39,20,0.213698977,0.134017633,0.285843575,-0.588190631
2,38,39,20,0.213698977,0.134017633,-0.334780916,1.212316942
2,39,39,20,-0.985222846,0.134017633,1.111963472,0.439380245
2,40,39,20,0.813159889,0.134017633,-0.519990542,1.077557492
2,41,39,20,0.213698977,0.134017633,-0.887073533,0.869308288
2,42,39,20,-0.000394205,0.134017633,-0.919273031,0.935715784
2,43,39,20,-0.385761934,0.134017633,-0.229817064,-0.277864746
2,44,39,20,-0.195024372,0.134017633,-0.853487939,-0.219446413
2,45,39,20,1.167386791,0.134017633,1.244015112,-1.115080837
2,46,39,20,-0.618885622,0.134017633,-0.252532233,-0.569855156
2,47,39,20,0.674822755,0.134017633,-0.248313069,-0.578757723
2,48,39,20,1.150356651,0.134017633,-0.971273371,0.500513265
2,49,39,20,0.42779216,0.134017633,-0.814689974,0.549758403
2,50,39,20,-0.119334862,2.680352654,-0.366913998,0.113722769
2,51,39,20,0.713249737,0.134017633,-0.559156801,0.73751804
2,52,39,20,-0.119334862,0.134017633,2.314658717,-1.543991956
2,53,39,20,-0.285851782,0.134017633,-0.30376412,0.463533749
2,54,39,20,-0.036076403,2.680352654,1.372338904,-0.839139348
2,55,39,20,-0.876229953,-2.412317389,0.249721808,0.286665262
2,56,39,20,-1.035177922,0.134017633,0.127306387,0.153671145
2,58,39,20,2.555343163,0.134017633,0.199937122,-0.494647654
2,59,39,20,-0.428580571,0.134017633,-0.250055767,-0.180558135
2,61,39,20,0.894904558,0.134017633,-0.694135618,-0.57423372
2,62,39,20,-0.642673753,0.134017633,-0.580044838,0.21045704
2,63,39,20,0.42779216,0.134017633,0.226023438,-0.945998575
2,64,39,20,-2.034279441,0.134017633,0.467669054,1.248996153
2,66,39,20,-1.659616371,0.134017633,-0.625653083,-1.763766637
