Study,PPID,totalEmotions,posEmotions,giniCoefThemeZ,numPromptsZ,mPositiveZ,posGranZ
1,2,18,10,-1.17781633,0.531590176,-0.115022711,-1.340101571
1,3,18,10,-1.084705614,0.465307112,-0.57274099,0.382711291
1,6,18,10,1.805424861,0.730439369,1.161869037,0.187345231
1,7,18,10,0.216448205,-0.794071111,0.126047134,-0.10387845
1,9,18,10,0.608515903,0.89614703,0.189514949,0.0482146
1,10,18,10,0.043195801,1.592119206,-0.648021703,0.425784271
1,11,18,10,0.700531791,0.531590176,-0.056744014,-0.841426806
1,12,18,10,1.403974351,0.465307112,0.292450223,-0.136688516
1,13,18,10,0.376779435,2.685789768,-0.809303178,2.515946647
1,14,18,10,1.152496729,0.167033322,-0.360518104,0.35853746
1,15,18,10,0.686596969,0.233316387,-0.467903691,0.773661122
1,17,18,10,-1.304708667,1.989817592,0.363895172,-0.346813538
1,18,18,10,0.502657324,0.399024047,-0.666584859,1.482759636
1,19,18,10,0.575118396,1.028713159,-0.801425972,1.090327103
1,21,18,10,1.138423004,0.465307112,-0.454396814,0.828091006
1,22,18,10,0.700531791,0.167033322,-0.110923019,-0.114012996
1,23,18,10,0.143427233,-0.197523532,-0.107549558,-0.015293326
1,24,18,10,0.615250683,-0.827212643,-0.79718904,2.153023138
1,25,18,10,1.056865087,-0.495797321,-0.369367596,0.869153338
1,26,18,10,1.051131903,-0.760929579,-0.546588284,-0.458917833
1,27,18,10,0.486200963,-1.092344901,1.55736776,-0.130984302
1,28,18,10,-0.806962548,-0.959778772,-0.364557291,-0.781140812
1,29,18,10,-0.611690007,0.001325661,0.472782943,-0.656457656
1,32,18,10,0.772629346,-0.495797321,-1.038305754,-0.112751669
1,33,18,10,0.659333188,-1.092344901,-0.981571434,-0.858241673
1,34,18,10,0.585469978,0.465307112,0.59275673,0.381860739
1,36,18,10,-0.385117494,1.824109931,-0.400552772,-0.547588558
1,37,18,10,-1.290641234,-0.694646515,3.666936561,-0.471830905
1,38,18,10,-0.637587702,-1.059203369,-0.457458605,-1.726171105
1,40,18,10,-1.014794384,-0.860354175,1.440846443,-1.616366613
1,43,18,10,-0.978311284,-0.230665064,2.66070637,0.213222073
1,45,18,10,-1.713944033,0.763580902,-0.891328656,0.849698516
1,46,18,10,-0.521332042,-0.131240467,0.370447781,-0.596254642
1,47,18,10,-2.730580901,-1.059203369,-0.920147538,-1.132550043
1,49,18,10,-1.145591819,1.161279288,1.169324178,0.276358493
1,50,18,10,-1.290641234,-1.324335626,-0.371848502,0.324425592
1,51,18,10,0.612543346,1.360128481,0.546521282,1.350002973
1,54,18,10,1.53537176,1.293845416,-0.866632893,0.0914179
1,55,18,10,-0.426305677,-0.661504982,1.366494909,-2.250480843
1,56,18,10,-1.988888782,-1.291194094,2.093184143,-2.087774736
1,57,18,10,-0.679976572,-0.495797321,-0.524328141,0.333638176
1,58,18,10,0.539445253,-1.191769497,-0.909407698,0.68011451
1,59,18,10,-0.306259071,-1.39061869,-0.667663331,0.776132027
1,61,18,10,1.029869405,1.19442082,-0.461765541,1.671397021
1,62,18,10,-0.979748444,-1.456901755,-0.576495199,-0.862805976
1,63,18,10,0.589646189,0.531590176,-0.606564117,0.418785977
1,64,18,10,-0.119478866,-0.760929579,-0.682037432,-0.545356495
1,66,18,10,0.388265106,-0.528938854,0.820481429,-0.324762343
1,67,18,10,0.909554115,-0.098098935,-0.458548122,-1.197891322
1,68,18,10,0.309384589,-0.992920304,-0.828134488,0.773933889
2,1,39,19,0.413519281,0.134017633,-1.728410632,-0.280309357
2,2,39,19,-0.535627162,-0.714760708,-1.698437818,0.672984903
2,3,39,19,-0.68549239,-3.261095729,0.290114298,1.217494611
2,5,39,19,-2.034279441,-4.958652411,-0.166956868,-0.973568028
2,6,39,19,0.413519281,0.134017633,-0.541179497,0.256056762
2,7,39,19,-1.284953301,0.134017633,0.857090958,-1.187374198
2,8,39,19,0.613339585,-1.563539048,-0.154857781,1.253180996
2,9,39,19,0.026367442,0.134017633,-0.822465431,-0.214619599
2,10,39,19,0.48618121,0.134017633,0.372575847,0.482468184
2,11,39,19,0.813159889,0.134017633,2.28150574,-0.647110503
2,12,39,19,-1.284953301,0.134017633,-0.14624821,0.053443584
2,13,39,19,-0.348295627,0.134017633,0.364711805,-1.431516129
2,14,39,19,-0.722958697,0.134017633,-1.554481698,-0.24002398
2,15,39,19,1.562486028,0.134017633,1.433018446,2.585554635
2,16,39,19,1.462575876,0.134017633,0.632442216,0.579133425
2,17,39,19,-0.086031479,0.134017633,0.448322238,-1.269592393
2,18,39,19,0.077457861,-1.563539048,-0.870068833,0.241292636
2,19,39,19,-0.086031479,0.134017633,0.139735905,0.265152919
2,20,39,19,-1.659616371,0.134017633,0.187868588,0.996515439
2,21,39,19,0.213698977,0.134017633,-1.152733013,1.261872294
2,22,39,19,0.963025117,0.134017633,1.606984771,0.04266846
2,23,39,19,0.213698977,0.134017633,2.204138523,-0.192760799
2,24,39,19,-1.499046484,0.134017633,0.05943608,-0.664311098
2,25,39,19,-0.985222846,0.134017633,0.103992315,-1.045785873
2,26,39,19,2.961228155,2.680352654,-1.198526469,-0.386875249
2,27,39,19,-1.284953301,0.134017633,-0.299427238,0.25982776
2,28,39,19,-0.535627162,0.134017633,1.76779881,-0.389896339
2,30,39,19,-0.410739472,0.134017633,1.094201475,-0.813283165
2,31,39,19,-0.410739472,0.134017633,1.448063023,2.626098077
2,32,39,19,-0.348295627,0.134017633,0.121082219,0.456861665
2,34,39,19,-1.284953301,0.134017633,0.226788844,-1.220300168
2,35,39,19,-0.195024372,0.134017633,0.304822828,-1.025075924
2,36,39,19,1.112890344,0.134017633,0.858026671,-0.407543689
2,37,39,19,0.213698977,0.134017633,-0.027237725,-0.936801117
2,38,39,19,0.213698977,0.134017633,-1.091630793,0.690013567
2,39,39,19,-0.985222846,0.134017633,1.139809563,0.496779795
2,40,39,19,0.813159889,0.134017633,-1.440288495,2.591028061
2,41,39,19,0.213698977,0.134017633,-0.459735173,-0.49946937
2,42,39,19,-0.000394205,0.134017633,-1.763967734,0.113743729
2,43,39,19,-0.385761934,0.134017633,0.325849084,-0.189780759
2,44,39,19,-0.195024372,0.134017633,-1.398079519,-0.371955498
2,45,39,19,1.167386791,0.134017633,0.088815036,-0.378752423
2,46,39,19,-0.618885622,0.134017633,1.208469267,-1.673463035
2,47,39,19,0.674822755,0.134017633,1.741445919,-0.682240921
2,48,39,19,1.150356651,0.134017633,-1.059614749,1.202651555
2,49,39,19,0.42779216,0.134017633,-0.035249997,0.093588387
2,50,39,19,-0.119334862,2.680352654,0.237193039,-0.917604144
2,51,39,19,0.713249737,0.134017633,-1.050800615,0.178316075
2,52,39,19,-0.119334862,0.134017633,0.510107588,-0.341700915
2,53,39,19,-0.285851782,0.134017633,0.979933684,0.238801886
2,54,39,19,-0.036076403,2.680352654,-0.992107233,0.321883533
2,55,39,19,-0.876229953,-2.412317389,1.447564907,-0.108740145
2,56,39,19,-1.035177922,0.134017633,-0.131730503,-1.030119592
2,58,39,19,2.555343163,0.134017633,0.217656933,-1.051274726
2,59,39,19,-0.428580571,0.134017633,0.984703876,-0.276468675
2,61,39,19,0.894904558,0.134017633,0.510182479,-1.099277434
2,62,39,19,-0.642673753,0.134017633,-0.966304829,0.48516718
2,63,39,19,0.42779216,0.134017633,0.293310092,-0.400324972
2,64,39,19,-2.034279441,0.134017633,-0.268634618,0.892840182
2,66,39,19,-1.659616371,0.134017633,-0.27250684,-0.442123639
2,67,39,19,1.150356651,0.134017633,0.814116099,1.188780522
2,69,39,19,1.512530952,0.134017633,1.041519203,0.011622865
2,70,39,19,0.42779216,-2.412317389,0.497060113,-0.836352281
2,71,39,19,-0.708548579,0.134017633,-0.941107598,0.473016747
2,72,39,19,0.879766657,0.134017633,0.555655722,-1.561863137
2,73,39,19,-1.035177922,0.134017633,-0.475548765,0.010833746
2,74,39,19,1.095259141,0.134017633,-1.669985151,-1.183164471
2,75,39,19,-1.284953301,0.134017633,-0.698968637,-0.033222821
2,76,39,19,2.295160475,0.134017633,-1.345487991,1.255151271
2,77,39,19,-0.722958697,0.134017633,-0.651720946,2.269748874
2,79,39,19,-0.086031479,0.134017633,1.480670457,0.158516244
2,80,39,19,-0.086031479,0.134017633,-0.90201681,-1.123156828
2,81,39,19,0.813159889,0.134017633,-1.417020722,-0.082607518
2,82,39,19,0.42779216,0.134017633,-0.250039441,-1.681040075
2,83,39,19,-0.285851782,0.134017633,-0.720423091,1.450651965
2,84,39,19,-0.086031479,0.134017633,-0.5127832,1.917708455
3,1003,7,2,1.18411436,1.780752743,2.121144994,1.240118288
3,1004,7,2,1.063416,0.136120367,1.629091491,0.538107285
3,1007,7,2,1.385278295,2.92285856,-0.089241529,-0.291694182
3,1008,7,2,1.141007803,1.141173486,-0.128309383,-0.647625564
3,1009,7,2,0.595709851,2.054858139,1.078235477,0.579268926
3,1010,7,2,0.324138539,-0.275037727,0.251943257,1.250597187
3,1011,7,2,-0.807408594,-0.686195821,0.585424008,0.615834819
3,1017,7,2,0.656059032,-0.229353495,-0.001585497,-0.661853744
3,1018,7,2,-0.173742199,-0.823248519,1.557869558,0.379332868
3,1020,7,2,0.324138539,0.867068089,2.029601545,-0.284213607
3,1024,7,2,-0.852670479,-0.32072196,-1.929047491,-0.924580303
3,1029,7,2,-0.053043838,-0.137985029,-0.867695207,0.653003166
3,1030,7,2,-0.050300694,-0.640511589,0.25893441,-0.605118338
3,1031,7,2,1.149954447,1.872121208,-0.562555841,-0.608723181
3,1032,7,2,1.763466492,0.36454153,-0.054582638,0.123321849
3,1033,7,2,0.870052299,2.100542372,-0.611043653,-0.088848583
3,1034,7,2,-0.230319556,0.958436555,-0.85832959,-0.047784534
3,1035,7,2,0.203440179,-0.457774658,-3.12111923,-1.591308647
3,1036,7,2,0.658492466,0.730015391,0.400243907,0.038969853
3,1037,7,2,0.077712719,-0.457774658,0.477304116,0.272922263
3,1038,7,2,0.608054002,-0.046616564,-1.378963744,-0.927545009
3,1039,7,2,-1.028688922,-0.549143123,0.085423942,-0.354052111
3,1040,7,2,1.18411436,-0.457774658,1.110482563,0.400832305
3,1041,7,2,-1.305289332,-0.594827356,-0.979400086,-0.556874593
3,1042,7,2,-1.531598759,-0.823248519,-0.711478728,1.28506293
3,1043,7,2,0.85157806,0.775699624,0.961582523,-0.064807085
3,1044,7,2,-0.173742199,-0.731880054,-1.805609165,0.338194304
3,1045,7,2,-0.022869248,-0.457774658,0.092782467,0.976972074
3,1046,7,2,0.999714087,0.36454153,-0.469893004,0.416460186
3,1047,7,2,0.41466231,-0.412090425,-0.301074433,0.831400251
3,1050,7,2,-1.078979905,-0.640511589,-0.430557707,-1.894158802
3,1051,7,2,1.709475529,2.740121629,0.301717919,2.014530972
3,1054,7,2,0.731495507,-0.731880054,-0.432773863,0.155550528
3,1055,7,2,-0.988456135,-0.594827356,-0.897264584,-1.366809602
3,1056,7,2,-1.078979905,-0.777564287,0.802189716,0.025207864
3,1058,7,2,-1.984217612,-0.823248519,-0.740394288,-0.304430894
3,1060,7,2,-1.078979905,-0.823248519,-0.139622307,1.59677972
3,1061,7,2,0.037479932,-0.412090425,-1.022779234,-1.204599293
3,1063,7,2,-0.173742199,-0.777564287,-0.037785792,0.216839818
3,1064,7,2,-0.173742199,-0.823248519,0.486369721,1.921934577
3,1065,7,2,1.096510711,-0.229353495,1.366675205,-0.198908646
3,1068,7,2,-1.984217612,-0.640511589,-0.013475463,-2.049716822
3,1069,7,2,-1.531598759,-0.731880054,0.486460451,1.162834759
3,1070,7,2,0.832077475,-0.046616564,-0.151825932,-1.272328523
3,1071,7,2,-1.078979905,-0.777564287,-0.312545263,0.335401751
3,1072,7,2,-1.984217612,-0.823248519,0.453342594,0.236461399
3,1073,7,2,-0.109082363,-0.457774658,1.010083406,0.608484488
3,1074,7,2,-0.278192704,-0.000932331,-0.026154997,-2.767067129
3,1076,7,2,-0.109082363,-0.594827356,0.528205379,0.49862476
