Word,SearchTerm,Valence,Arousal
admiring,admire,7.35,5
amazed,,7.55,5.95
amused,,7.05,4.27
angry,,2.53,6.2
appreciative,,7.14,4.35
bored,,2.95,3.65
calm,,6.89,1.67
contemptuous,contempt,3.22,4.61
content,,6.7,3.17
depressed,,2.27,4.25
disgusted,,2.68,4.89
dislike,,3.25,4.27
down,downer,3.47,3.13
elated,,6.56,5.14
enthusiastic,,7.55,5.9
excited,,8.11,6.43
fearful,,2.66,5.45
furious,,2.57,6.09
grateful,,7.5,4.29
guilty,,3.09,4.65
happy,,8.47,6.05
hateful,,1.9,5.71
irritated,irritable,2.85,6.37
joyous,,7.45,6.62
nervous,,3.56,5.51
peaceful,,8,4.38
prideful,proud,7,5.55
relaxed,,7.25,2.49
remorseful,remorse,3.63,4.29
repulsed,revolting,2.47,5.9
restful,,6.05,2.58
sad,,2.1,3.49
scornful,,2.5,4.71
shocked,shock,3.9,5.95
sorry,,4.81,4.62
successful,,7.76,5.08
superior,,6.37,4.74
surprised,,6.57,5.95
terrified,,2.51,6.1
