,exam,in_class,mealtimes,socializing,at_work,schedule,coursework,at_home,downtime,relationships
alone*,,,,,,,x,,,
annoy*,,,,,x,,,,,
answer*,,,,,x,x,,x,,
anxious*,x,,,,,,,,,
apartment*,,,,,,,,x,,
assignment*,,,,,,x,x,,,
ate,,,x,,,,,,,
attention,,x,,,,,,,,x
bed*,,,,,,x,,x,,
bore*,,x,,,,,,,,
breakfast*,,,x,,,,,,,
call*,,,,x,,,,,,
calm*,,,,,,,x,,,
class*,x,x,,,,,,,,
clean*,,,,,,,,x,,
complete*,,,,,x,,x,,,
conversation*,,,,x,,,,,,
day*,,,,,,x,,x,,
discuss*,,,,x,,,,,,
due*,,,,,,,x,,,
early,,,,,,x,,,,
eat*,,,x,,,,,,,
email*,,,,,x,,,,,
emotion*,,,,,,,x,,,
enjoy*,,,x,,,,,,x,
exam*,x,,,,,,,,,
excite*,,,,x,,,,,,
expect*,,,,,,,,,,x
final*,x,,,,,,,,,
finish*,,,x,,,,,,x,
focus*,,,,,,,x,,,
food*,,,x,,,,,,,
friend*,,,,x,,,,,,x
frustrate*,,,,,x,,,,,
game*,,,,,,,,,x,
grade*,x,,,,,,,,,
group*,,,,x,,,,,,
happi*,,,,x,,,,,x,
happy*,,,,x,,,,,x,
hear*,,,,,,,,,,x
homework*,,,,,,,,x,,
hungry,,,x,,,,,,,
interest*,,x,,,,,,,,
issue*,,,,,x,,,,,
job*,,,,,x,,,,,
lab*,,,,,x,,,,,
late*,,,,,,x,,,,
learn*,,x,,,,,,,,
leave*,,,,,,,,x,,
lecture*,,x,,,,,,,,
left*,,,,,,,,x,,
library*,,,,,,,x,,,
life*,,,,,,,,,,x
listen*,,x,,,,,,,,
live*,,,,,,,,,,x
lunch*,,,x,,,,,,,
material*,x,x,,,,,,,,
meet*,,,,x,,,,,,
mind*,,,,,,,x,,,
minute*,,,,,,,,x,,
morning*,,,,,,x,,,,
move*,,,,,,,,x,,
nervous*,x,,,,,,,,,
night*,,,,,,x,,,,
note*,x,x,,,,,,,,
office*,,,,,x,,,,,
outside*,,,,,,,,x,,
pay*,,x,,,,,,,,x
people*,,,,,x,,,,,x
phone*,,,,,,,,x,,
plan*,,,,x,,,,,,
play*,,,,,,,,,x,
prepare*,x,,,,,,,,,
professor*,x,x,,,,,,,,
project*,,,,x,,,x,,,
question*,x,,,,,,,,,
question*,,,,,x,,,,,
quiz*,x,,,,,,,,,
read*,,,,,,,,,,x
relax*,,,,,x,,,,x,
rest*,,,,,,x,,,,
room*,,,,,x,,,x,,
roommate*,,,,,x,,,x,,x
sad*,,,,,,,,,,x
semester*,,,,x,,,,,,
show*,,,,,,,,,x,
sleep*,,,,,,x,,,,
start*,,,,x,,,x,,,
stop*,,,,,,,,x,,
stress*,x,,,,,,,,,
student*,,,,,x,,,,,
studi*,x,,,,,,,,,
study*,x,,,,,,,,,
talk*,,,,x,,,,,,x
task*,,,,,,,x,,,
test*,x,,,,,,,,,
tire*,,,,,,x,,,,
today*,,,,,x,x,,,,
together*,,,,x,,,,,,
told,,,,x,,,,x,,
topic*,,x,,x,,,,,,
train*,,,,,x,,,x,,
video*,,,,,,,,,x,
walk*,,,,,,,,x,,
watch*,,,,,,,,,x,
wear,,,,,,x,,,,
week*,x,,,,,,,,,
weekend*,,,,x,,x,,,,
work*,,,,,x,,x,,,
worn,,,,,,x,,,,
year*,,,,,,,,,,x
