,RC6,RC2,RC1,RC7,RC3,RC4,RC8,RC5,RC9,RC10
alone*,,,,,,x,,,,
annoy*,,,x,,,,,,,x
answer*,,,x,,,,,,,
anxious*,x,,,,,,,,,
apartment*,,,,,,,,,x,
assignment*,,,,,,x,,,,
attention*,,x,,,,,,,,x
bed*,,,,,,,x,,,
bore*,,x,,,,,,,,
boring,,x,,,,,,,,
breakfast*,,,,x,,,,,,
call*,,,,,,,,,x,
class*,x,x,,,,,,,,
clean*,,,,,,,,,x,
complete*,,,,,,x,,,,
completing,,,,,,x,,,,
conversation*,,,,,x,,,,,
day*,,,x,,,,x,,,
discuss*,,,,,x,,,,,
due*,,,,,,x,,,,
early*,,,x,,,,x,,,
earli*,,,x,,,,x,,,
eat*,,,,x,,,,,,
ate,,,,x,,,,,,
email*,,,x,,,,,,,
emotion*,,,,,,x,,,,
enjoy*,,,,x,,,,x,,
exam*,x,,,,,,,,,
excite*,,,,,x,,,,,
expect*,,,,,,,,,,x
final*,x,,,,,,,,,
finish*,,,,x,,,,x,,
focus*,,,,,,x,,,,
food*,,,,x,,,,,,
friend*,,,,,x,,,,,
frustrat*,,,x,,,,,,,x
game*,,,,,,,,x,,
gaming,,,,,,,,x,,
grade*,x,,,,,,,,,
group*,,,,,x,,,,,
hallway*,,,,x,,,,,,
happy*,,,,,x,,,x,,
happi*,,,,,x,,,x,,
homework*,,,,,,,,,,x
hungry*,,,,x,,,,,,
hungri*,,,,x,,,,,,
interest*,,x,,,,,,,,
lab*,,,x,,,,,,,
late*,,,x,,,,x,,,
learn*,,x,,,,,,,,x
leav*,,,x,,,,,,,
left*,,,x,,,,,,,
lecture*,,x,,,,,,,,
library*,,,,,,x,,,,
librari*,,,,,,x,,,,
life*,,,,,,,,,,x
listen*,,x,,,,,,,,
live*,,,,,,,,,x,
living,,,,,,,,,x,
lunch*,,,,x,,,,,,
material*,x,x,,,,,,,,
meet*,,,x,,x,,,,,
met,,,x,,x,,,,,
mind*,,,,,,x,,,,
minute*,,,x,,,,,,,
morning*,,,x,x,,,x,,,
move*,,,x,,,,,,x,
moving,,,x,,,,,,x,
music*,,,,,,,,x,,
nap*,,,,,,,x,,,
nervous*,x,,,,,,,,,
nice*,,,,,x,,,,,
night*,,,,,,,x,,,
note*,x,x,,,,,,,,
office*,,,x,,,,,,,
pay*,,x,,,,,,,,x
people*,,,,,,,,,,x
phone*,,,,,,,,,x,
plan*,,,,,x,,,,,
play*,,,,,,,,x,,
prepare*,x,,,,,,,,,
preparing,x,,,,,,,,,
problem*,,,,,,,,,,x
professor*,x,x,,,,,,,,
project*,,,,,,x,,,x,
question*,x,,x,,,,,,,x
quiz*,x,,,,,,,,,
read*,,,,,,,,,x,
relax*,,,,,,,,x,,
rest*,,,,,,,x,,,
room*,,,,,,,,,x,
sad*,,,,,,,,,,x
semester*,,,,,x,,,,,
show*,,,,,,,,x,,
sleep*,,,,,,,x,,,
start*,x,,,,,,,,,
stop*,,,x,,,,,,x,
stress*,x,,,,,,,,,
study*,x,,,,,,,,,x
studi*,x,,,,,,,,,x
talk*,,,,,x,,,,x,x
task*,,,,,,x,,,,
test*,x,,,,,,,,,
thought*,,,,,,,,,x,
tire*,,,,,,,x,,,
tiring,,,,,,,x,,,
today*,,,x,,,,,,,
together*,,,,,x,,,,,
told,,,x,,x,,,,x,
topic*,,x,,,,,,,,
train*,,,x,,,,,,,
understand*,,,,,,,,,,x
video*,,,,,,,,x,,
wait*,,,x,,,,,,,
walk*,,,x,,,,,,,
watch*,,,,,,,,x,,
wear*,,,,,,,x,,,
worn,,,,,,,x,,,
week*,,,,,x,,,,,
weekend*,,,,,x,,,,,
work*,,,x,,,x,,,,
year*,,,,,x,,,,,
