,exam,in_class,mealtimes,socializing,at_work,schedule,coursework,at_home,downtime,relationships
ambetant*,,,,,x,,,,,
verveel*,,,,,x,,,,,
vervel*,,,,,x,,,,,
opdracht*,,,,,,x,x,,,
at,,,x,,,,,,,
gegeten,,,x,,,,,,,
bed*,,,,,,x,,x,,
ontbijt*,,,x,,,,,,,
gebeld,,,,x,,,,,,
bel*,,,,x,,,,,,
rustig*,,,,,,,x,,,
les*,x,x,,,,,,,,
opgeruimd,,,,,,,,x,,
opruim*,,,,,,,,x,,
dag*,,,,,,x,,x,,
afspreek*,,,,x,,,,,,
afspreken,,,,x,,,,,,
afgesproken,,,,x,,,,,,
deadline*,,,,,,,x,,,
eet,,,x,,,,,,,
eten,,,x,,,,,,,
gevoelen,,,,,,,x,,,
genoot,,,x,,,,,,x,
genoten,,,x,,,,,,x,
geniet*,,,x,,,,,,x,
examen*,x,,,,,,,,,
afmaak,,,x,,,,,,x,
afmaken,,,x,,,,,,x,
afgemaakt,,,x,,,,,,x,
afgewerkt,,,x,,,,,,x,
afkrijg*,,,x,,,,,,x,
afgekregen,,,x,,,,,,x,
concentr*,,,,,,,x,,,
vriend*,,,,x,,,,,,x
frustreer*,,,,,x,,,,,
frustreren,,,,,x,,,,,
gefrustreerd,,,,,x,,,,,
game*,,,,,,,,,x,
groep*,,,,x,,,,,,
geluk*,,,,x,,,,,x,
blij*,,,,x,,,,,x,
hoor*,,,,,,,,,,x
horen,,,,,,,,,,x
gehoord,,,,,,,,,,x
interessant*,,x,,,,,,,,
laat,,,,,,x,,,,
late,,,,,,x,,,,
leren,,x,,,,,,,,
leer*,,x,,,,,,,,
geleerd,,x,,,,,,,,
vertrek*,,,,,,,,x,,
vertrokken,,,,,,,,x,,
bib*,,,,,,,x,,,
leven,,,,,,,,,,x
leef*,,,,,,,,,,x
geleefd,,,,,,,,,,x
vergadering*,,,,x,,,,,,
minuten,,,,,,,,x,,
minuut,,,,,,,,x,,
voormiddag,,,,,,x,,,,
ochtend,,,,,,x,,,,
angst*,x,,,,,,,,,
nacht*,,,,,,x,,,,
mens*,,,,,x,,,,,x
gsm,,,,,,,,x,,
plan*,,,,x,,,,,,
speel*,,,,,,,,,x,
gespeeld,,,,,,,,,x,
spelen,,,,,,,,,x,
klaarmaak,x,,,,,,,,,
klaarmaken,x,,,,,,,,,
klaargemaakt,x,,,,,,,,,
voorbereid*,x,,,,,,,,,
project*,,,,x,,,x,,,
vraag*,x,,,,x,,,,,
gevraagd,x,,,,x,,,,,
vragen,x,,,,x,,,,,
lezen,,,,,,,,,,x
lees*,,,,,,,,,,x
las,,,,,,,,,,x
gelezen,,,,,,,,,,x
nagelezen,,,,,,,,,,x
nalees*,,,,,,,,,,x
nalezen,,,,,,,,,,x
relax*,,,,,x,,,,x,
ontspan*,,,,,x,,,,x,
rust,,,,,,x,,,,
rusten,,,,,,x,,,,
rustte*,,,,,,x,,,,
gerust,,,,,,x,,,,
kamer*,,,,,x,,,x,,
droevig*,,,,,,,,,,x
verdrietig*,,,,,,,,,,x
programma*,,,,,,,,,x,
slaap*,,,,,,x,,,,
geslapen,,,,,,x,,,,
slapen,,,,,,x,,,,
begin*,,,,x,,,x,,,
begon*,,,,x,,,x,,,
stop*,,,,,,,,x,,
gestopt,,,,,,,,x,,
stress*,x,,,,,,,,,
studeer*,x,,,,,,,,,
gestudeerd,x,,,,,,,,,
gepraat,,,,x,,,,,,x
praat*,,,,x,,,,,,x
praten,,,,x,,,,,,x
taak,,,,,,,x,,,
taken,,,,,,,x,,,
test*,x,,,,,,,,,
moe,,,,,,x,,,,
vandaag,,,,,x,x,,,,
vertel*,,,,x,,,,x,,
loop*,,,,,,,,x,,
gelopen,,,,,,,,x,,
gewandeld,,,,,,,,x,,
wandel*,,,,,,,,x,,
vermoei*,,,,,,x,,,,
week,x,,,,,,,,,
weken,x,,,,,,,,,
weekend*,,,,x,,x,,,,
werk*,,,,,x,,x,,,
gewerkt,,,,,x,,x,,,
jaar,,,,,,,,,,x
jaren,,,,,,,,,,x
