,RC6,RC2,RC1,RC7,RC3,RC4,RC8,RC5,RC9,RC10
aandacht,,x,,,,,,,,x
aangenaam,,,,,x,,,,,
aangename*,,,,,x,,,,,
fijn*,,,,,x,,,,,
afspreken,,,x,,x,,,,,
afgesproken,,,x,,,,,,,
ambetant*,,,x,,,,,,,x
irrite*,,,x,,,,,,,x
geïrriteerd*,,,x,,,,,,,x
vervelend*,,,x,,,,,,,x
amuse*,,,,x,,,,x,,
geniet*,,,,x,,,,x,,
geno*,,,,x,,,,x,,
angst*,x,,,,,,,,,
antwoord*,,,x,,,,,,,
reage*,,,x,,,,,,,
gereageerd,,,x,,,,,,,
bed,,,,,,,x,,,
begin*,x,,,,,,,,,
begonnen*,x,,,,,,,,,
begrijp*,,,,,,,,,,x
begre*,,,,,,,,,,x
snap*,,,,,,,,,,x
gesnapt*,,,,,,,,,,x
bel*,,,,,,,,,x,
gebeld,,,,,,,,,x,
bib,,,,,,x,,,,
bureau*,,,x,,,,,,,
concentr*,,,,,,x,,,,
geconcentreerd*,,,,,,x,,,,
focus*,,,,,,x,,,,
gefocust,,,,,,x,,,,
dag,,,x,,,,x,,,
dagen,,,x,,,,x,,,
deadline*,,,,,,x,,,,
denk*,,,,,,,,,x,
dacht*,,,,,,,,,x,
gedacht*,,,,,,,,,x,
vind*,,,,,,,,,x,
vond*,,,,,,,,,x,
gevonden,,,,,,,,,x,
nagedacht,,,,,,,,,x,
discussie*,,,,,x,,,,,
dragen,,,,,,,x,,,
draag*,,,,,,,x,,,
droeg*,,,,,,,x,,,
gedragen,,,,,,,x,,,
uitgeput,,,,,,,x,,,
dut*,,,,,,,x,,,
eten*,,,,x,,,,,,
eet,,,,x,,,,,,
at,,,,x,,,,,,
gegeten,,,,x,,,,,,
examen*,x,,,,,,,,,
film*,,,,,,,,x,,
frustr*,,,x,,,,,,,x
gefrustreerd*,,,x,,,,,,,x
gamen,,,,,,,,x,,
gegamed,,,,,,,,x,,
kaarten,,,,,,,,x,,
gekaart,,,,,,,,x,,
gang*,,,,x,,,,,,
gelukkig*,,,,,x,,,x,,
blij*,,,,,x,,,x,,
vrolijk*,,,,,x,,,x,,
superblijk,,,,,x,,,x,,
gesprek*,,,,,x,,,,,
gevoel*,,,,,,x,,,,
emotie*,,,,,,x,,,,
groep*,x,,,,,,,,,
gsm,,,,,,,,,x,
telefoon*,,,,,,,,,x,
honger*,,,,x,,,,,,
hoofd,,,,,,x,,,,
interessant*,,x,,,,,,,,
jaar,,,,,x,,,,,
jaren,,,,,x,,,,,
kamer*,,,,,,,,,x,
ruimte*,,,,,,,,,x,
kijk*,,,,,,,,x,,
keek*,,,,,,,,x,,
gekeken,,,,,,,,x,,
klaarmaken,,,,x,,x,,x,,
klaarmaak*,,,,x,,x,,x,,
klaargemaakt*,,,,x,,x,,x,,
afheb*,,,,x,,x,,x,,
afwerk*,,,,x,,x,,x,,
afgewerkt*,,,,x,,x,,x,,
afkrijg*,,,,x,,x,,x,,
afgekregen,,,,x,,x,,x,,
afmaken,,,,x,,x,,x,,
afmaak*,,,,x,,x,,x,,
afgemaakt*,,,,x,,x,,x,,
afrond*,,,,x,,x,,x,,
afgerond*,,,,x,,x,,x,,
kot*,,,,,,,,,x,
laat,,,x,,,,x,,,
late*,,,x,,,,x,,,
labo*,,,x,,,,,,,
leren,,x,,,,,,,,x
leer*,,x,,,,,,,,x
geleerd,,x,,,,,,,,x
les,x,x,,,,,,,,
lessen,x,x,,,,,,,,
aula*,x,x,,,,,,,,
cursus*,x,x,,,,,,,,
leven,,,,,,,,,x,x
leef*,,,,,,,,,x,x
geleefd,,,,,,,,,x,x
lezen,,,,,,,,,x,
lees*,,,,,,,,,x,
las,,,,,,,,,x,
gelezen,,,,,,,,,x,
nalees*,,,,,,,,,x,
nagelezen,,,,,,,,,x,
mail*,,,x,,,,,,,
sturen,,,x,,,,,,,
stuur*,,,x,,,,,,,
gestuurd,,,x,,,,,,,
mens*,,,,,,,,,,x
volk,,,,,,,,,,x
minuut*,,,x,,,,,,,
minuten,,,x,,,,,,,
morgen*,,,x,x,,,x,,,
voormiddag,,,x,x,,,x,,,
ochtend*,,,x,x,,,x,,,
muziek*,,,,,,,,x,,
nacht*,,,,,,,x,,,
nota*,x,x,,,,,,,,
notitie*,x,x,,,,,,,,
noteren,x,x,,,,,,,,
noteer*,x,x,,,,,,,,
genoteerd,x,x,,,,,,,,
ontbijt,,,,x,,,,,,
ontbeten,,,,x,,,,,,
opdracht*,,,,,,x,,,,
oefening*,,,,,,x,,,,
opruimen,,,,,,,,,x,
opruim*,,,,,,,,,x,
opgeruimd,,,,,,,,,x,
poets*,,,,,,,,,x,
gepoetst,,,,,,,,,x,
plan*,,,,,x,,,,,
gepland,,,,,x,,,,,
praten,,,,,x,,,,x,x
praat*,,,,,x,,,,x,x
gepraat,,,,,x,,,,x,x
babbel*,,,,,x,,,,x,x
gebabbeld,,,,,x,,,,x,x
chat*,,,,,x,,,,x,x
gechat,,,,,x,,,,x,x
spreek*,,,,,x,,,,x,x
