Filename,WC,exam,in_class,mealtimes,socializing,at_work,schedule,coursework,at_home,downtime,relationships
1074_180518_1307.txt,124,1.61,0,0.81,0.81,2.42,0.81,0.81,0.81,2.42,0.81
1074_180518_1942.txt,95,0,0,0,1.05,1.05,1.05,2.11,1.05,1.05,0
1074_200518_1526.txt,61,0,0,1.64,1.64,3.28,0,0,0,4.92,1.64
1074_210518_1031.txt,76,0,0,2.63,0,0,3.95,0,2.63,0,0
1076_100518_1337.txt,85,0,0,1.18,2.35,0,1.18,0,0,2.35,0
1076_100518_1546.txt,73,1.37,0,0,1.37,1.37,1.37,1.37,0,2.74,1.37
1076_100518_1638.txt,59,1.69,1.69,0,1.69,1.69,3.39,3.39,1.69,0,0
1076_100518_1721.txt,60,1.67,1.67,0,0,0,1.67,0,0,0,1.67
1076_140518_1523.txt,40,0,0,0,0,0,2.5,0,0,0,0
1076_180518_1346.txt,73,0,1.37,0,4.11,0,0,0,0,4.11,0
1073_120518_1047.txt,53,3.77,0,0,3.77,1.89,0,1.89,0,1.89,0
1073_120518_1350.txt,96,1.04,0,0,2.08,1.04,0,0,0,2.08,1.04
1073_120518_1413.txt,101,1.98,0,0,0.99,2.97,0,1.98,0,1.98,0.99
1073_130518_1537.txt,100,0,0,0,1,1,1,1,1,0,1
1073_160518_1145.txt,131,4.58,0,0.76,0.76,0,2.29,0,0.76,0,0.76
1073_190518_1040.txt,112,0,0,0,2.68,0.89,0.89,0.89,0,0,0
1074_080518_1147.txt,130,0,0,0,0.77,0.77,0,0.77,0,0,2.31
1074_080518_2157.txt,129,0.78,0,1.55,0.78,3.1,1.55,3.1,0.78,1.55,0.78
1074_100518_1027.txt,78,3.85,0,0,0,1.28,2.56,1.28,0,0,0
1074_100518_1821.txt,92,1.09,0,0,0,2.17,3.26,3.26,1.09,0,0
1074_110518_1318.txt,71,2.82,0,1.41,0,2.82,0,1.41,0,1.41,0
1074_120518_1613.txt,107,2.8,0,0,0.93,0.93,0,1.87,0,0.93,0
1074_120518_2030.txt,43,2.33,0,0,2.33,0,0,2.33,0,2.33,0
1074_130518_1737.txt,56,0,0,0,1.79,1.79,0,5.36,1.79,0,0
1074_130518_2048.txt,105,0,0,0.95,1.9,0,0,0,0.95,0,0.95
1074_140518_1209.txt,100,0,0,0,0,1,1,2,1,0,1
1074_140518_2013.txt,58,0,0,0,3.45,1.72,0,5.17,0,0,0
1074_150518_1953.txt,128,0.78,0,1.56,0,0,0,0,0,0,1.56
1074_160518_1933.txt,100,1,1,0,1,1,2,3,1,1,0
1074_170518_1024.txt,65,1.54,0,0,0,1.54,1.54,4.62,0,1.54,0
1074_170518_1558.txt,120,0.83,0,0,0.83,1.67,1.67,0,1.67,0.83,0
1003_170418_1204.txt,183,1.09,0,1.09,0,0,0.55,0.55,0,0.55,0
1003_170418_1311.txt,149,0.67,0,0,2.68,0,0,0,0,2.68,0
1003_170418_1817.txt,97,0,0,0,2.06,1.03,2.06,0,0,0,2.06
1003_170418_1849.txt,150,0,0,0.67,2,1.33,0,0,0.67,1.33,1.33
1003_170418_2045.txt,73,0,0,0,0,0,0,0,1.37,0,0
1003_180418_1024.txt,130,0,0,0,0.77,0,1.54,0,0,0,0.77
1003_180418_1124.txt,123,0,0.81,0,2.44,2.44,1.63,3.25,0,0,0
1003_180418_1219.txt,93,3.23,0,0,1.08,0,1.08,0,0,0,2.15
1003_190418_1049.txt,129,0,0,0.78,1.55,0,4.65,0,0.78,0,0.78
1003_190418_1134.txt,42,0,0,0,0,0,2.38,0,2.38,0,0
1003_190418_1522.txt,53,3.77,5.66,0,0,1.89,1.89,0,0,0,0
1003_190418_1706.txt,143,0,0,0,0.7,0,0.7,0,0,0,0.7
1003_190418_1708.txt,92,0,0,0,0,1.09,0,0,0,2.17,0
1003_190418_1825.txt,103,0,0,0,0,0,1.94,0,0.97,0,0
1003_190418_2019.txt,62,0,0,1.61,1.61,0,0,0,1.61,3.23,0
1003_190418_2128.txt,53,0,0,0,1.89,0,0,0,1.89,1.89,0
1003_200418_1108.txt,90,1.11,1.11,0,0,0,1.11,0,0,0,0
1003_200418_2135.txt,87,0,0,1.15,1.15,0,2.3,0,0,1.15,0
1003_210418_1809.txt,112,0,0,0,0.89,2.68,0,2.68,0,0.89,0
1003_210418_1854.txt,57,0,0,1.75,1.75,0,0,0,0,1.75,0
1003_210418_1938.txt,49,0,0,4.08,0,0,0,0,2.04,0,0
1003_210418_2112.txt,85,1.18,0,0,1.18,1.18,2.35,1.18,0,1.18,0
1003_220418_1019.txt,120,0,0,0,0.83,0,3.33,0,0,0.83,0
1003_220418_1154.txt,69,0,0,2.9,2.9,0,0,0,0,1.45,1.45
1003_220418_1305.txt,59,0,0,1.69,0,0,0,0,0,0,1.69
1003_220418_1544.txt,72,0,0,1.39,1.39,0,0,0,0,2.78,0
1003_220418_1600.txt,38,0,0,0,0,0,0,0,2.63,0,0
1003_220418_1623.txt,50,0,0,0,4,0,0,0,0,2,2
1003_220418_2015.txt,51,0,0,0,0,0,1.96,0,0,0,0
1003_230418_1011.txt,86,1.16,0,0,1.16,2.33,4.65,0,0,1.16,0
1003_230418_1227.txt,92,0,0,2.17,1.09,0,0,0,0,0,0
1003_230418_1404.txt,108,0,0,0,0.93,0,0.93,0,0,0,0.93
1003_230418_1500.txt,63,0,0,1.59,0,0,0,0,0,0,0
1003_230418_1954.txt,65,0,0,3.08,3.08,0,3.08,3.08,0,0,0
1003_240418_1147.txt,131,3.05,2.29,0.76,1.53,0,2.29,1.53,0,0,0
1003_240418_1249.txt,49,0,0,0,0,0,0,0,0,0,0
1003_240418_1635.txt,80,1.25,0,0,0,0,1.25,0,0,0,0
1003_240418_1850.txt,73,0,0,4.11,0,0,2.74,0,1.37,0,0
1003_240418_2124.txt,64,1.56,0,0,1.56,0,1.56,0,0,1.56,0
1003_250418_1051.txt,121,0,0,0,2.48,0,1.65,0.83,0,1.65,0
1003_250418_1121.txt,58,0,0,0,0,1.72,0,1.72,0,0,0
1003_250418_1240.txt,62,0,1.61,1.61,1.61,0,0,0,0,1.61,0
1003_250418_1342.txt,92,2.17,1.09,0,0,2.17,2.17,1.09,0,0,0
1003_250418_1909.txt,90,1.11,1.11,1.11,0,1.11,0,0,0,0,1.11
1003_250418_2029.txt,99,0,0,0,0,0,0,0,0,0,0
1003_250418_2159.txt,78,0,1.28,0,0,1.28,1.28,1.28,0,0,1.28
1003_260418_1006.txt,89,0,0,0,1.12,1.12,1.12,1.12,0,1.12,0
1003_260418_1819.txt,179,1.12,1.12,0.56,0,2.23,2.23,0.56,0.56,1.12,0
1003_260418_2050.txt,99,1.01,0,0,0,0,1.01,0,0,0,0
1003_270418_1131.txt,104,2.88,2.88,0,0,0,3.85,0,0.96,0,0
1003_270418_1219.txt,56,0,0,1.79,1.79,0,1.79,0,0,1.79,0
1003_270418_1641.txt,112,0,0,0,0.89,0,0.89,0,0,0.89,0
1003_270418_1710.txt,68,0,0,1.47,0,0,4.41,0,0,0,0
1003_280418_2023.txt,108,0,0,0,0,0,0,0,0.93,0,0
1003_290418_1057.txt,127,0,0.79,0,0,0,3.15,0,0.79,0,0
1003_290418_1206.txt,79,1.27,0,0,0,1.27,2.53,0,0,0,0
1003_300418_1135.txt,101,0,0,0.99,0,0,3.96,0,0,0,0
1004_170418_1203.txt,28,0,0,0,0,3.57,0,0,0,0,3.57
1004_170418_1324.txt,47,0,0,2.13,2.13,2.13,2.13,0,0,0,2.13
1004_170418_2059.txt,25,0,0,0,8,0,0,0,0,4,4
