"","RC1","RC2","RC4","RC3","RC5"
"play",-0.0885253606011089,-0.00997053095432424,0.002579881866409,0.0935727882405641,0.335009351181173
"video",-0.124209068333267,-0.0534606517226859,0.0449138011358361,-0.0554170265045104,0.432036498125416
"phone",-0.0420495331030602,-0.00801786406273601,-0.0418731521135897,0.22922711346999,0.144972973290495
"wait",0.244103170317797,-0.0236818854067863,-0.0629893597652248,0.129748078015949,-0.0517282420049467
"call",-0.0526647485283502,-0.0790701989208981,0.0864696451044718,0.341609794012728,0.039306353089731
"move",0.0116448067759368,0.077814724870252,0.000860015084276736,0.215077930680481,-0.0598910960589236
"quick",0.153137126167376,0.108589743519145,0.00294410888482684,0.0373359664943396,-0.0672908451849974
"answer",-0.0179419497924253,0.242452137886171,-0.0294183494589286,0.192833787127339,-0.0752801144635953
"work",0.0678137019250899,-0.0376947044125545,0.43508075731405,0.185000335534023,-0.114960787140599
"room",0.11265753371838,0.0493936775627722,-0.039057345950028,0.00932717810174899,0.250788735201983
"study",0.160193178264712,0.21950109002763,0.231659291437786,0.00899949599254486,-0.0430095712044026
"interest",-0.0840728293410113,0.190080422553477,-0.00687392170558007,0.112676931934299,0.0912411961732422
"told",0.0694002148292357,-0.00881258662864253,-0.0666865052544401,0.392012746617331,-0.0284046589860041
"place",0.065206877809114,-0.0982879004248044,0.0293005838762478,0.177536056244017,0.0148287434034088
"bore",-0.0965893841767157,0.165622080570772,0.0439482914511462,-0.0664720920331454,0.162097423364763
"worry",0.0502946933411396,0.0953656273584749,0.150042330172331,0.0428868186354177,-0.0243227875519897
"realize",0.0744437344521648,0.104255951773147,0.10242270838632,0.117828818219398,-0.0388569830923124
"talk",0.0238382633516783,0.0698656062195409,-0.156250709148501,0.409310660744042,0.126848368750553
"thought",0.0462335700624432,0.0421248412879258,0.118651543215188,0.187212668301573,-0.00963935100983682
"night",0.163434897416756,0.0838950991028461,0.216430900519491,0.0253585455258674,0.0495430600054254
"minute",0.152676648084231,0.157941505955021,0.0299359089618055,0.0900105188051336,-0.000780751584051873
"conversation",-0.0124795002224089,-0.0340763372733465,-0.0515721561001957,0.347106565385846,0.0603810690537962
"long",0.127198410537149,0.0235400036919026,0.105343729972907,0.113501337216295,0.0540534519001521
"job",-0.0617827852939317,-0.0499042357408689,0.108801593850968,0.22927894768291,-0.0901868482019899
"finish",0.215417930457643,0.0427130317866279,0.289610842249862,-0.0455308634326712,0.151431681216459
"walk",0.259012307131403,0.0277828385395458,-0.0871976962345676,0.118681232043437,-0.0347798756760358
"ready",0.220682031341088,0.0570713413113863,0.0544428644289212,0.00443412145816329,0.00668928770332018
"today",0.216043941225485,0.0831875235234197,0.209197398343713,0.129177621672442,-0.0327136916060224
"friend",0.106360472637696,-0.00189324005119828,-0.000613828576604971,0.321912683024633,0.215370199522579
"excite",0.112304563643126,0.00353290683424011,-0.106920627416561,0.218860245459563,0.18576142206455
"start",0.17868829464635,0.128634236168644,0.222611557874899,0.22707495843823,0.118109671257523
"write",-0.0837635499430733,0.201138456527503,0.134827458787203,0.0362506962173304,-0.0744409063112452
"email",-0.00609233558385921,0.0312097349313,0.00585797541555042,0.124567728072703,-0.112925052927622
"lab",0.227388399177515,-0.0371876619405756,0.118194807047545,0.1807720855642,-0.166057955616106
"day",0.277167009556537,0.0893972329724144,0.246812148423176,0.193945053587344,0.0951112604474854
"group",-0.0414443970774476,0.0704971187268365,-0.00116655936372874,0.19241493584222,0.0288616815368239
"focus",0.00643833072914874,0.128645215037855,0.241385500894505,-0.0455482340776189,-0.003896817157846
