"","RC2","RC7","RC6","RC8","RC14","RC3","RC5","RC1","RC4","RC15","RC11","RC9","RC13","RC12","RC10"
"play",-0.0704106639900568,-0.0853943080588939,0.0697566706149971,-0.132023879075692,0.0103799850642818,-0.0787089720753497,0.526053833423588,0.057039922817356,-0.0721872694956521,0.0927543946150849,-0.0242506914555461,0.152087532613337,0.186529691591014,-0.0440971324409651,0.15172531607615
"video",-0.0537864876117637,-0.0021593271077975,-0.0518930149652332,0.0528067909878677,-0.00107102184536068,-0.00100205264897294,0.507052996507938,-0.0637475657047278,0.0447599007393321,-0.0782081705151623,-0.00294391773972272,0.014251118708157,0.0312191957256643,-0.0562361139322672,0.0240217959564235
"game",-0.0626297030992417,-0.0869997540147832,0.0628806839099265,-0.152218849390974,0.0898622681702291,-0.171430131854501,0.528718554945082,0.0856244995359271,-0.119567026179998,0.059463508374707,0.0481640361053265,0.1434426798458,0.0883461588354568,-0.051218378692521,0.118716029956626
"phone",-0.0510568263371468,-0.0475929667407597,-0.0512774613049887,-0.0749160622091549,0.041481739611434,0.187480502987767,0.17166276520093,-0.0088609047385006,0.139256248892385,0.250325639188612,0.0934565016085914,-0.0640349404488938,-0.0344210311529265,-0.054732931933737,-0.0394695131322984
"wait",-0.0623530956498396,0.145339960588089,0.131315468868067,0.0878989837317408,0.00230931059760319,-0.0468722138113022,0.00205918290216869,-0.0154001425708264,-0.0946936600031263,0.304560764196128,-0.0337402289958421,-0.0339653053030932,-0.0768200518054702,0.0478085020164895,-0.0395389944107516
"computer",-0.0207889009287637,-0.0403168006981723,0.00642926823848379,-0.0422794735367855,-0.0183900221677306,-0.0972643914385195,0.00618490193765048,0.168406964333528,0.0253543811899396,0.0140086703789992,0.158862051122221,0.0642189954839461,0.0150647176785349,0.197896622365129,0.0156672962728973
"call",-0.030517731397776,-0.00985581724985592,0.144998606946823,-0.106321423451071,0.134281002690182,0.19816302423589,0.088889023576538,-0.0425974690129291,0.268107775173091,0.198235434752685,0.0159681150333096,-0.0415356221401156,-0.0958091162256576,-0.148156007359807,-0.0606816206123279
"move",0.0141232811375497,-0.0469774681225941,0.0341738294156256,0.0302829138628331,0.238225395745191,0.0276901880847222,0.0266720699393998,0.0615638106044972,-0.0354563988112835,0.0562619074784926,-0.0156669245486416,-0.114326337579639,-0.0273310972597013,0.213489133245993,0.276240910312583
"quick",0.0943861235040332,0.00831063103555681,-0.0655803873447894,0.0169315375089954,0.0109512081829396,0.028603882239784,-0.0611055675250486,0.0731767333824947,-0.0543164465050246,0.212545271978045,0.0189594629133951,0.0446712714965154,0.00810153623782929,0.0190505305885274,0.0640478027028825
"pay",0.0331059154736705,-0.0218667224699403,-0.0214719343970423,-0.0002889001960593,0.0106468690171309,-0.00077616106684198,-0.000640863588949388,-0.0140773031240141,-0.0194591163634842,0.0341266711824752,0.833774197521714,-0.0457922958497121,0.0492474242446415,-0.0233918781923505,-0.0408118467652838
"attention",0.0550556221917207,-0.0159661881866429,-0.0582206450195908,-0.00702697397510036,0.00849418568484249,0.00145176164080889,0.0357865716949777,-0.0157019685242316,0.00158175589259752,0.0304267681531046,0.8270482553759,-0.063428411695105,0.0948614196286438,0.00387561328812242,-0.0593439739976604
"answer",0.1870107608904,0.0030777083877563,-0.0359089387461186,-0.118311199094765,0.268963541781165,-0.00214453560652301,0.142545672186696,-0.0405558929669426,0.110073772619639,0.303950482160719,0.00839545579965154,-0.199165076400495,0.0495147873442332,0.00143764758695989,-0.149422243392307
"work",-0.028242612341273,0.0240205592560566,0.0721235179696355,-0.0289894008034652,0.190865993351306,-0.10712684056627,-0.0231748258143521,0.387225943584757,0.182713986213732,-0.0413986558422168,0.0569645992413282,0.293860283507014,-0.0324724827358534,0.158725367312439,-0.0113237295732745
