

KMO_TEST:

KMO_METRIC: 0.674999301157518
The KMO test yields a DECENT degree of common variance.

BARTLETT_SPHERICITY_TEST:


	Bartlett's test of sphericity

data:  InputData
X-squared = 47775, df = 11325, p-value < 2.2e-16



FACTOR_ANALYSIS_RESULTS:

Principal Components Analysis
Call: principal(r = InputData, nfactors = NumberOfFactors, residuals = FALSE, 
    rotate = "varimax", method = "regression")
Standardized loadings (pattern matrix) based upon correlation matrix
               RC2   RC7   RC6   RC8  RC14   RC3   RC5   RC1   RC4  RC15  RC11   RC9  RC13  RC12  RC10    h2   u2 com
play         -0.07 -0.09  0.07 -0.13  0.01 -0.08  0.53  0.06 -0.07  0.09 -0.02  0.15  0.19 -0.04  0.15 0.418 0.58 2.2
video        -0.05  0.00 -0.05  0.05  0.00  0.00  0.51 -0.06  0.04 -0.08  0.00  0.01  0.03 -0.06  0.02 0.283 0.72 1.2
game         -0.06 -0.09  0.06 -0.15  0.09 -0.17  0.53  0.09 -0.12  0.06  0.05  0.14  0.09 -0.05  0.12 0.428 0.57 2.3
phone        -0.05 -0.05 -0.05 -0.07  0.04  0.19  0.17 -0.01  0.14  0.25  0.09 -0.06 -0.03 -0.05 -0.04 0.180 0.82 4.9
wait         -0.06  0.15  0.13  0.09  0.00 -0.05  0.00 -0.02 -0.09  0.30 -0.03 -0.03 -0.08  0.05 -0.04 0.166 0.83 2.9
computer     -0.02 -0.04  0.01 -0.04 -0.02 -0.10  0.01  0.17  0.03  0.01  0.16  0.06  0.02  0.20  0.02 0.112 0.89 4.1
call         -0.03 -0.01  0.14 -0.11  0.13  0.20  0.09 -0.04  0.27  0.20  0.02 -0.04 -0.10 -0.15 -0.06 0.248 0.75 6.3
move          0.01 -0.05  0.03  0.03  0.24  0.03  0.03  0.06 -0.04  0.06 -0.02 -0.11 -0.03  0.21  0.28 0.207 0.79 3.8
quick         0.09  0.01 -0.07  0.02  0.01  0.03 -0.06  0.07 -0.05  0.21  0.02  0.04  0.01  0.02  0.06 0.079 0.92 2.8
pay           0.03 -0.02 -0.02  0.00  0.01  0.00  0.00 -0.01 -0.02  0.03  0.83 -0.05  0.05 -0.02 -0.04 0.706 0.29 1.0
attention     0.06 -0.02 -0.06 -0.01  0.01  0.00  0.04 -0.02  0.00  0.03  0.83 -0.06  0.09  0.00 -0.06 0.710 0.29 1.1
answer        0.19  0.00 -0.04 -0.12  0.27  0.00  0.14 -0.04  0.11  0.30  0.01 -0.20  0.05  0.00 -0.15 0.314 0.69 5.5
work         -0.03  0.02  0.07 -0.03  0.19 -0.11 -0.02  0.39  0.18 -0.04  0.06  0.29 -0.03  0.16 -0.01 0.357 0.64 3.8
coffee       -0.02  0.11  0.05  0.12  0.02  0.03 -0.07  0.14 -0.01  0.15 -0.01 -0.04 -0.04 -0.08  0.00 0.087 0.91 5.6
told         -0.03 -0.07  0.16 -0.08  0.06  0.20 -0.08  0.11  0.05  0.28  0.03 -0.04  0.01 -0.14  0.09 0.212 0.79 4.8
place        -0.04  0.10  0.09  0.01  0.15  0.13  0.01  0.02 -0.02 -0.06  0.02  0.03 -0.13  0.05  0.19 0.120 0.88 5.8
room          0.10 -0.02 -0.03  0.03 -0.19 -0.02  0.13  0.10 -0.02  0.10 -0.07 -0.05  0.05  0.08  0.36 0.233 0.77 2.8
study         0.39  0.07  0.01  0.00  0.01  0.07 -0.06  0.15  0.03  0.01 -0.04  0.25 -0.04 -0.04 -0.05 0.261 0.74 2.4
interest     -0.05  0.00  0.12  0.09  0.07  0.14  0.01 -0.09  0.06 -0.08  0.01 -0.08  0.27  0.30 -0.08 0.239 0.76 4.2
bore         -0.03 -0.09  0.03  0.13 -0.03 -0.06  0.09 -0.09  0.03 -0.01  0.08  0.04  0.30 -0.01  0.03 0.148 0.85 2.5
