"","RC5","RC3","RC2","RC7","RC1","RC9","RC6","RC10","RC4","RC8"
"play",-0.0207539713130562,0.0646905333380321,-0.00083940343646218,-0.0682376247904937,-0.0231104363097733,0.0192426034272377,0.427928887735556,0.0648944867865356,-0.00597135282180798,0.0443807388192635
"game",-0.0156907321742775,0.0263627171911707,0.00623925739097074,-0.0734268141915107,-0.048104940886202,0.129185506493601,0.40365251729947,-0.0117245117722435,-0.0396359132883445,0.0309114324849108
"mind",0.0161106146004836,-0.0226905675476541,0.0170061248923331,-0.00319790219539197,0.0243431668990918,0.0455288998269832,0.0432706951162633,0.0451330447065311,0.474218952716191,-0.0252948119848111
"phone",-0.0692233172670884,0.0104409505040524,0.0161628646005486,-0.054103626446823,0.0214344932602897,0.0409697114362075,0.115170511086854,0.307116907351102,0.0129325087197879,0.0257483397680668
"wait",-0.00442417835022942,0.00275874584305487,-0.0235127380500974,0.23548078436564,0.0439197533275006,0.0817158921643028,-0.0839923203516546,0.158477264230471,-0.0727378846126324,-0.00736026974857736
"computer",0.0454755415371888,-0.0322808814445969,0.0824496369958973,0.00491015577016561,-0.0227717102871299,0.157463367879381,0.0738679842858176,-0.0121197116486393,0.0293162567487514,0.035327537129187
"call",-0.0397879486784961,0.151845429696625,-0.0483820206123403,-0.0279217998570951,-0.00747819300687966,0.0766230968444565,-0.0561474656849022,0.25523401757333,0.16799467466724,-0.00138935981980888
"move",0.035775391723572,0.0606572205878747,0.0439795272014695,-0.00338072569747728,-0.026730778737454,0.205185415172571,0.0494413278785849,0.190800691406761,-0.0602996569918206,-0.0108424088707031
"quick",0.116123226332936,-0.0312387216150163,0.0083374179046919,0.0667470241842849,0.0692138926836349,0.0383918182153564,-0.038759112539457,0.127507985453061,-0.0829055689222454,0.0160131062254254
"pay",-0.105142975065553,-0.0702293662321406,0.5783663879577,0.025633681014941,0.0708295652732128,0.0743311720458311,-0.00396679647264799,-0.0214025438722237,-0.0262106226468494,-0.16757269643675
"attention",-0.09586431866095,-0.104605487063843,0.610613896460319,0.0205736048681789,0.0592008181543133,0.0761354447448927,0.0386467724034774,-0.0204745938874641,-0.0320273910527043,-0.150692427242503
"answer",0.135589284337137,-0.109196770184053,0.137813532734952,-0.0141910801468994,-0.0881183499289239,0.183325359917087,-0.0119568944838643,0.263643777773713,-0.051093808381254,-0.0136914015764888
"work",0.116719380289656,0.0752650257391048,-0.0484418802147873,0.0570216215229222,0.00922751999232953,0.380015696106,0.0492579493063989,-0.132379529643338,0.157656722004065,0.255780965404025
"coffee",0.00395326092084439,0.071043798109193,-0.05379645602802,0.170824452885,0.119969018387817,0.0623871884587568,-0.0792142418865683,0.0637086865517514,-0.0420931178754778,-0.00525656498728747
"told",-0.00799425601074167,0.215776843875232,-0.0308964054291854,0.0181668097003051,0.0347135563936192,0.0468152032451212,-0.131025638912872,0.278400191721841,-0.0230434344660454,0.00971848219606048
"event",-0.0141373096218113,0.0863079679297981,-0.0279979713055917,0.0288583557356055,-0.027417611460549,0.00710512099584417,-0.0122739864915067,0.0873434262184975,0.0822079444307964,-0.0360818199262863
"place",-0.0521836601031976,0.158253979531267,-0.013968262277702,0.079909809491691,-0.0214749924717079,0.0663039170778664,-0.0136007672817088,0.0974736031317117,0.0508987233256742,0.0489332062583505
"amuse",-0.0999501427309338,0.0969744726272048,0.0231009452610524,-0.0994898727778868,0.0697303663168338,-0.0317798994499876,0.112622324383236,0.0906135756562542,-0.108536846693843,0.0565447167214849
"room",0.173115117162681,0.00833495819092829,-0.0828037518488368,0.0797420392999903,0.0760711004751995,-0.132771443653255,0.224495284207756,0.184664479903646,-0.0486994718419156,-0.0744382582851867
"study",0.377756643515794,0.0767058514571115,0.0109323425813599,0.0426008787827254,0.0562534624910171,-0.036809781687144,-0.0715910260330207,-0.0818822647339687,0.0108467143322508,0.272204923550127
"interest",-0.082810503150457,0.122950245696138,0.277100941495768,-0.0614263387480965,-0.0256275658782848,0.0817615637337848,0.0742469834484258,0.0176194256767472,0.0524011448951448,0.0413977795883219
"fact",0.115367450967091,0.0380448805026004,-0.00579076276556146,-0.00743378001848826,0.0163685519361433,0.000219672990969876,0.0264692301435173,0.11345679254812,0.00880467238501577,0.0621359973619332
"rest",0.0848296535276882,0.00471091680183129,0.023655444089334,0.00742919937673677,0.27429444908521,0.01535548722676,0.0886213734342621,0.0307041941254707,-0.0351263310349288,-0.0240062075657423
"bore",-0.0598345997180109,-0.0245400096430872,0.217646274674249,-0.0803579160429587,0.0863449558181521,-0.054268028841846,0.131267775011554,-0.0407973110096929,0.0707982673715106,0.0247760428403125
"suppose",0.000584733916673266,0.00257848504350824,0.00326942774829849,-0.00326710820268888,0.0151399291160668,0.0554639829939552,0.0156951615159366,0.0227393382541362,-0.0546349003278445,0.496998305506901
"hear",-0.052876144533774,0.177337027891934,-0.00473293781370513,-0.0577843067244885,-0.0216170418762697,0.0467828169356694,-0.0172800549458559,0.139412842714003,-0.0493007532019413,0.0525560576002106
"realize",0.0819978993803929,0.0312504892818148,0.0456194459577517,0.0189062242908194,0.0884069030397411,0.113022666918096,-0.0307627570586513,0.118599194959979,0.0105885749233175,0.0201862970572746
"idea",0.0119686876177301,0.159135689032367,0.0832500839816097,-0.067110974521961,-0.0503926631074413,0.0979695410668159,-0.00231980804935572,0.0139782482808693,0.0809644358182806,0.0106582834481145
"talk",-0.0417115172110465,0.432510368700541,0.0867628024530117,-0.0300421154960786,-0.0339607898041459,-0.125356132195118,-0.0724037462953349,0.161649443831371,-0.0746166101526068,0.130067424520569
"task",-0.00241944445079777,-0.0718278216432203,-0.0373298221272456,-0.0157880118927243,-0.027594858592435,0.282085596132784,0.0713371651876122,0.0571997239998014,0.219609427334692,-0.020891967941976
"research",0.0123528243576662,0.090982291271783,0.01916686741093,0.00820029141983841,0.0430881134969437,0.136971056177972,-0.0758444668357428,0.00198847462948188,0.0848126973262925,0.147176114566418
"thought",-0.02951489439555,0.0913749274340733,0.0688589862433522,-0.0152594804099966,0.0973685331030062,0.0871830225865874,-0.0142597351723652,0.23659054108265,0.106441405694891,0.0744615070259629
"funny",-0.0754602849964705,0.102426410699435,0.0083341531605168,-0.0472812841351936,0.0302246431738437,-0.0133364666002327,0.180811745861733,0.126047826932683,-0.107547496674678,0.0232149789953515
"night",0.0871389841500769,0.111454631288811,0.0407289219038961,0.0167736697627158,0.404338428932789,0.0214373315541315,-0.00424460937993002,-0.0458392051028057,0.0340383628507244,0.0728918440946152
"minute",0.100259999391339,-0.0804664363240208,0.0810786853114744,0.0992287809621819,0.0814426040335117,0.111788197343944,0.0502191014254297,0.220629640381611,-0.0761596623491341,0.00977810035652522
"conversation",-0.0776997957489041,0.302344089415581,0.0263831170128126,-0.0231191572947649,-0.0522634293799003,0.0457731974352689,-0.0188785319619583,0.0794369922912081,-0.0126630654262917,0.0638290830606516
"long",0.01899820446509,0.091798183510755,0.0168384690994897,0.0954589081958924,0.0799117423221471,0.172391305658716,0.0798772245882971,-0.0477278905291705,-0.0482803488247166,0.0974174299608527
"order",0.0130746692586705,-0.00536996408041812,0.0101329670907958,0.189834746884306,-0.0201065382390484,0.121414630133924,-0.0224386102207061,0.0263022369337108,0.0153914780675459,0.00702619888050701
"job",-0.0330783415110815,0.0931475169250337,-0.00461728032860703,-0.0564488120970097,-0.0283508685381885,0.206236145667615,-0.068045028052998,0.0893095527722387,0.128953001502473,0.00403386388960297
"late",0.0504925105880882,-0.0254506482598953,-0.00209528731795721,0.134804002418324,0.282024775890961,0.111504275382672,-0.0903768557372787,0.0480124297413371,-0.0194784832981613,0.038548457567667
"finish",0.142379253987018,-0.0102650880017441,-0.016889802002242,0.204683229106452,0.102346042837874,0.0524889397800407,0.181172768556923,-0.112354751548144,0.0786799912770332,0.285890512394346
"stuff",-0.00220455968812935,0.0500020993004129,-0.0250449148971003,0.0408707775083703,0.0163781224930714,-0.00193405587788481,-0.0291875040766843,0.0689171990470353,0.0419204075270506,0.0227944768232926
"walk",0.126386701761824,-0.0237891507989921,-0.0861294968613316,0.21771849243172,0.0350426818282807,0.00261218291178436,-0.0717562742232482,0.235658768454557,-0.115721597605312,-0.0519858164543685
"ready",0.11971154469699,-0.00350747194933048,-0.0458861960841169,0.142627881351756,0.14682136140355,0.0776654403023654,0.00940497194146653,0.0292400073349385,-0.046014459915004,-0.0437050770983029
"today",0.0783952879582947,0.0330750341580952,0.0591109748074517,0.175186224003639,0.124192482161777,0.2428069155385,0.0231833997824273,0.0265376374713309,0.0543423713309588,0.141700133312595
"friend",0.0425881512972067,0.46993139311297,-0.0128510665517642,0.040081185594193,0.0879297774648684,-0.196955918713313,-0.0294098674672206,0.117253334895094,0.0678791671758705,0.103593350767266
"excite",0.0120844763520466,0.332754317889742,-0.0166883143137009,0.114279700277525,0.0104762946385493,-0.00225556978152033,0.0936368531281665,-0.043894969273589,-0.0555520562572466,-0.0637974068786225
"start",0.190079534388611,0.172629947022619,0.0309263717457904,0.138833450387932,0.120491413440333,0.0845297355105958,0.0557947557376782,0.158211029037519,0.159305503895069,0.0624674737894388
"laugh",-0.0788138180691913,0.180824957945148,0.0127996191521379,-0.0643036041449312,0.0495473203258031,-0.0725120796532391,0.129185190098114,0.151351942211346,-0.0981026985911069,0.000769000901212278
"write",0.158909299152176,-0.0541214228959092,0.117853730226332,-0.0697905934905492,-0.109036007592987,0.156489744926188,0.0596656148434766,0.00625328748855311,0.0360719174303943,0.0660623110489541
"email",-0.00486166405396988,-0.0604392615713476,0.0304058594717215,0.0141700848519012,-0.0560309677584253,0.285041066652179,0.0110088236219359,0.0856971950642309,-0.0133795627707283,-0.110020711544616
"lab",0.0298077444973449,0.055080018829931,-0.0896416929585899,0.119980760252785,0.129903642441598,0.314673444334535,-0.0932708287951141,-0.0481334634576289,-0.101241967726236,0.143286755479352
"day",0.20585447069199,0.144942246740568,-0.036585281588907,0.180757464517188,0.23328204085681,0.24129651276993,0.12513642183334,0.0767863378557826,0.0826160018384601,-0.0635642934118069
"together",0.048413405332123,0.347370012822513,-0.00785397002886886,0.021762524884233,-0.0277003135974885,-0.00126605949394044,-0.0871383268061054,-0.0572883096636943,-0.030747397057865,-0.0143912230815718
"group",0.0150649678866894,0.214049503883403,0.0632462288119295,-0.066165491828004,-0.0210182654641752,0.0451031128361537,-0.0226304443243664,0.000170017439373286,-0.016499532742837,0.071480806229588
"focus",0.0625454220808436,-0.0409190608825916,0.187349320923871,0.0397560245441504,-0.0133549175686282,0.0876295639542024,0.0538958957457976,-0.0659090222938012,0.161688634295334,0.132824682239047
"fun",-0.0500239571836402,0.300921253341628,0.0343348613644389,-0.00871583115671292,0.0347410508694429,0.0591128045887527,0.117859070407586,-0.0383887253973247,-0.0542744454436287,-0.00128358229317651
"meet",0.0296800664987669,0.301130632794348,-0.0509073581746222,0.0759968221984983,-0.01478934159843,0.198190377210146,-0.166735785552769,0.0199560267070308,0.0255576428529389,0.00422784288200256
"worry",0.195414945293371,0.0368188824101129,-0.0116832569933896,-0.0151892102462793,0.0779012855753382,0.0739294074268884,-0.025054197314408,-0.0182550102669215,0.0688714470356538,-0.0272501949175711
"lunch",-0.0231221927276167,0.0924289169787079,-0.000772649432230068,0.444335766906836,-0.0248953634298419,-0.0127082625229623,0.0510477632911773,-0.018253737958953,0.0483321607471,0.0342250216147741
"anxious",0.251061760277475,-0.0240549695142781,-0.0219178411667445,-0.036780257151265,0.0257216074146676,0.0165089017496834,-0.0440963885838004,0.127686748395919,-0.0156702435100562,-0.0218990324387618
"show",-0.0242380640404848,0.0653496532715475,0.0505249706911888,0.0291415311760999,0.041211589541374,0.0861185675130436,0.309071916794515,0.0474105929374411,0.00547747702054869,-0.034815787829697
"sleep",-0.0374947234341584,-0.0392634636248771,0.0602118480309676,0.00208680034633025,0.560324267554454,0.0163789291602644,-0.0482497072593185,-0.133891025285248,0.125126077170432,0.108220779936773
"spend",0.0553716595807757,0.200591067951914,0.00214878347133566,0.0884273389309744,0.0189318726505845,0.065105916250663,0.0469848046659539,-0.0174905791183838,0.0255761662374391,-0.0534183912665325
"past",0.0307649364723091,0.0960164802547057,0.0105989868951912,0.0392941578499153,0.0557378285232437,0.106389324961658,-0.0292882618145979,0.0907244604685554,-0.0240684598644234,-0.0473796371182644
"people",-0.0517225211919769,0.125807234511125,0.0713800036275197,0.042079882548971,-0.0351969241895778,0.0942248384186451,0.0284895338299776,0.168472292227694,-0.0241213309901118,0.381735722639895
"decide",0.0170570190857359,0.0756771815684701,-0.0432853473772328,0.173436599609953,0.136233548431175,0.0419916844621559,0.127418594708476,0.085056157943827,0.108485220124467,-0.0217391072241182
"speak",0.0421053013609695,0.085771390514313,0.0167627733652077,-0.0454336730098642,-0.0299141854633473,0.0115413365003573,-0.0301100585931846,0.16890964833224,0.0518653296930634,-0.0634529411085426
"issue",0.017050852705758,0.0616920488641093,0.0237431493395755,-0.0750475494233076,0.0286685841730173,0.22530866642318,-0.0122522350345391,0.0403392003652945,0.0683662507194299,0.0240652807467272
"plan",0.0820924289291462,0.342286661980333,-0.0766125003183959,0.0895192473575573,0.08102385282934,0.046294168896077,-0.0846034461163602,0.0106639533467818,0.143074896687225,-0.105109844753813
"annoy",-0.063401566266124,-0.0199188303067673,0.0256233868937748,-0.088504433777093,0.0394842277490532,0.237892618531555,-0.0406281896554416,0.133051424908542,-0.144262972363506,0.167963911764291
"confuse",0.0169256325722105,-0.0345178175292652,0.153061938409707,-0.0636319098980327,0.0384409420511461,0.0121319828514388,-0.0825080004789163,0.0616546594339267,-0.0592494067434554,0.0336817678440375
"schedule",0.0688277339993075,0.0525657578065101,0.0508719351894392,0.0808647137633564,0.164920732818295,0.194579331684078,-0.120870629813666,-0.0782754471940888,0.094382594079366,-0.0459454673153175
"week",0.232419128630557,0.160007225076819,0.0123040586545856,0.0268179749679581,0.100929604764474,0.195131926984893,0.0334426531313184,-0.0093080651474393,-0.0783932374610868,0.0181645172889915
"relieve",0.152992452440359,0.0294144164403615,-0.0457953555560355,0.00722806571665029,0.0199863238490506,0.0615834794315121,0.0998810600375758,0.00180035513878566,0.0105883147560174,0.0768042507590059
"early",0.107345986183451,-0.0674909992630209,0.0264560347392118,0.168544061340913,0.283270264114704,0.110918394227014,0.0281345623199018,0.102985463087136,-0.0546939017711492,-0.0051156866757649
"relax",0.170642845282848,0.00299337884207542,-0.141666588979267,0.123216965624903,0.134252001267326,-0.096553245936724,0.401802004710694,-0.0534523856286584,0.0501948327173023,-0.024348616869993
"open",0.00451774673626143,0.0155650101354853,0.0202499511066005,0.000349035051393382,0.0209450761600071,-0.00593487423837208,0.00149406774602103,0.258583373460553,0.0317609357067683,0.0199888134383778
"close",0.018115836536573,0.166878261834291,0.0395092844857668,0.00209667723998606,0.0674859632903105,0.0161406345820301,0.0321340617112812,0.136879375384953,-0.0140167023502196,0.012223078436319
"news",-0.0146831079616927,-0.0586008530663277,-0.00865761858422157,-0.00734802300592977,-0.0323036317624268,0.0134948857501435,0.0843969651786699,0.156656785467862,0.0347151493441197,0.0496731438690205
"expect",0.033491295208456,0.0113246892845823,0.00749687610372689,0.0415380164659931,0.00375474186556675,0.0105950560783997,-0.0178410868859765,0.0615124543181891,-0.0690828410327246,0.37510315575356
"alone",0.0655864832578715,-0.115624294847613,-0.105217928670424,0.103290322803714,0.0877372775930631,-0.0624803743392081,0.0513266093742436,0.102846904225786,0.50266383655063,0.00243993391120473
"review",0.259837068582369,-0.0619602587858665,0.0838668629107877,0.0335667679948719,-0.0110722673909861,0.057924248519366,-0.0564543975880456,-0.00184973985474452,0.0413280738932299,0.0114622403784065
"homework",0.163858243187477,-0.00623124234015128,-0.0119471390421001,0.00079425310409347,0.0565406669697986,-0.0622694431981932,0.142343625915327,-0.142153548632697,-0.052310685506746,0.387587457741399
"book",-0.0123378939134693,6.35445761888586e-05,0.0466186400703788,0.1015475015314,-0.0672897608255432,-0.0507139982325768,-0.0217681732027183,0.23864476672326,0.0951212436228868,0.03005446419353
"breakfast",-0.00189997131355828,-0.0340662329001095,-0.0506303398652595,0.443391307202428,0.0829097622809599,-0.0548639671846178,-0.00245530056601673,0.0411973008000113,0.0286360076656933,-0.00552832930309231
"topic",0.0389057605459884,0.230957668399351,0.264538474049072,-0.0587294699734493,-0.0136201234069651,-0.0623890798348378,-0.0537874033918239,-0.020621226438875,0.0845086013724356,0.0872047298985006
"person",0.0113458574740147,0.0656190784428722,0.0156936098673344,-0.0925328116739042,-0.0221685688773176,0.0681178226806889,-0.0275803729845942,0.227581778051545,0.00190320918944729,0.0742511272672388
"end",0.0834022253215379,0.072156162930991,0.122037459604654,0.0546888540436772,0.0609832680480769,0.12174482575851,0.0183330098131803,0.0798326417480856,-0.0154107144560046,0.0129271967081348
"great",0.0864740229211359,0.25727107636163,0.00943618550814138,-0.0027495445254383,-0.012248097234066,0.0431236923181905,0.0936092756849223,0.00430240329443356,0.0459649147635963,-0.0337093722602643
"professor",0.27247857710929,-0.00563381518482187,0.531741663072915,-0.0711085783064866,0.00746245903194309,-0.0697422531102605,-0.0501845277393828,0.0282865834957525,-0.063905011567692,-0.00438080841173657
"understand",0.125067345557892,0.0176214785728177,0.209753927523835,-0.0995576120016701,-0.0406082049012809,0.0359243008266408,-0.0554099188321194,0.0347773172865037,0.00569246209324223,0.132959079089906
"frustrate",0.015531906742265,-0.0637699194400402,-0.00515376224177809,-0.106457179895411,0.014097108654323,0.189023175641665,-0.133377870789494,0.144890619406235,0.00346729138038975,0.240749259746383
"office",0.0085043131437534,0.0332450288935328,-0.0222113572592793,-0.024200545063077,-0.00580593751166823,0.328149917604395,-0.0641405123766764,0.0883939742258015,-0.0697345795417403,-0.03289136833486
"problem",0.140422104779677,-0.0208088881717784,0.100908245454572,-0.0853568853061567,0.0130473722180706,0.0384397017452418,-0.062379831066679,0.0205612515831415,0.0979366159975073,0.142641712118027
"happy",0.0383254083974148,0.313553060589515,-0.0964841063345119,0.138295851333372,-0.0141217304263738,0.00883571472176476,0.206059285251585,0.0218656468249585,-0.00844480349488714,0.0480999147540014
"discuss",-0.0189357934027097,0.330498957779276,0.118725110173055,-0.0556478057565085,-0.0509700365219523,0.0117786354492835,-0.185472655118057,-0.0114287043791031,0.101990622129359,0.0391391177366132
"stress",0.307031169766454,0.0411616012260249,-0.0425513554113677,0.0141332810714429,0.0499827396191418,0.0665013166134739,-0.0142298063290974,-0.0398663206508576,0.0246775534807171,-0.0375317313919747
"explain",0.0487885024980622,0.0824977560683739,0.114571736285606,-0.0585051316720816,-0.0816175128039709,0.0984780219823174,-0.037833087288031,0.108380374154166,-0.0154147085683004,0.0634483565710059
"chat",0.0406627914436828,0.198684559533965,-0.0469828591055696,0.0301892400972487,0.0423492438212168,-0.0194072845718468,0.00550954697991298,0.0146482384833906,-0.118425292738112,0.015402881577548
"bed",-0.0202013141235649,-0.0258445047497864,-0.0444465871288395,-0.0254869062409783,0.393280328111753,-0.0820093622315228,0.182485348012546,0.129195353468394,-0.0400019125602011,-0.0854138010937446
"question",0.282802523888393,-0.0649684919660023,0.176660888914877,-0.0868680133276234,-0.118966733209993,0.179093203195203,-0.0385847522945848,0.140528790180304,-0.0238123534748084,0.0566781650027411
"lecture",0.0935489106863221,-0.0337969660568031,0.534305425642483,0.0349346577782804,0.0718602202882827,-0.077644274526193,-0.0399041115768466,0.000483635895194213,-0.0190781663546917,0.00853015306955992
"interact",-0.0589947508681964,-0.0466574934691296,0.0361313258653126,-0.0332814741054974,0.00275950757279815,-0.0751280750664008,0.0127755077338954,0.0134517473495811,0.414857569071352,-0.0182458264771424
"session",0.0173380582018436,-0.0370871523656944,0.0281025041288725,0.0417590727786673,0.163306755233663,0.110981438437533,-0.125556644155049,-0.0134190474659459,0.0444612213863652,0.0144787487126326
"learn",0.0652048758552703,0.0663369189427236,0.246920626812374,-0.057283693036358,-0.0410959893940259,0.0608790659454635,-0.0200137434809418,-0.0591884760350759,-0.0383697590554243,0.0547671979575247
"outside",0.0240033054976157,0.00508653754740865,0.0642573872220357,0.124814283644201,0.0225371563758254,0.018469152606491,0.00839135888462531,0.172742602469522,-0.0263198314949328,0.0133984236636714
"hour",0.126058097043683,0.0064587726776385,0.0783663251799049,0.110132418637921,0.133007769168131,0.111087988164787,0.00349009879674136,0.0720441258542165,-0.0528438506251041,0.0501158558826909
"left",0.0562756551837164,-0.00291062862125143,-0.0307129732412487,0.163881072368947,0.0801610118504764,0.0452244287282564,-0.0719204456436747,0.214402167675529,0.00940575150604795,0.0213831182180451
"assignment",0.108764269526787,0.0465221437391287,0.00986573052691528,0.0770597002933745,0.141794378038065,0.0943628975462714,-0.07640083060934,-0.161508331511601,0.300720198030085,0.129924439682402
"couple",0.0587470086027318,0.113876127758252,0.0488297532027586,0.0610089984215823,0.0141658324094864,0.12204079425003,0.0799301813048351,0.0150385229759918,-0.0718501988448148,-0.0799238867287282
"class",0.382137985292863,-0.0103379558890484,0.442541942269111,0.00661337300264686,0.134442463655746,-0.168531832897957,0.0170526855633823,0.0030393704823163,-0.119094481081556,-0.0588451390275451
"year",0.0531032977995461,0.236325021978941,0.00518703704620195,-0.040241430348783,-0.0541440789053805,0.0764266205326315,0.0481600786538925,0.139054740391766,-0.0163653948166703,-0.00994223266488265
"nervous",0.340309516012846,0.0177865275766061,0.0174638053324044,-0.0523339039649309,-0.00653130489322751,-0.0108867682875688,-0.0833333392202139,0.0860026473978783,0.0485570389521655,-0.0298975221159014
"love",-0.0395772684040562,0.23341293557778,-0.0159239245758784,0.010033810262079,-0.00803255679216891,-0.0289314845918768,0.0825591048180311,0.0281322535874613,-0.0171165176502245,-0.0341207267657018
"listen",-0.0540464598679114,0.039118712002629,0.3031823241024,-8.81337494724083e-05,-0.00603810424013685,-0.0950548398015734,0.0419048505418901,0.0128879508787962,0.0506582284971401,0.0933096377502361
"food",-0.0781178682239252,0.0506865884038085,0.0278936013620679,0.568922551762947,-0.0479640560271602,-0.0808903311325876,-0.0192612789845097,-0.0149846417851487,0.0101568600088876,0.0397759387533867
"leave",-0.0168409841385941,0.00452010061844028,0.0071499973381293,0.138679605013296,0.0936278796714444,0.0757961858991705,-0.0431853032090347,0.162715299794054,-0.0546766358103737,0.0208526587981753
"reason",0.00844161593273972,0.0707839246284823,-0.00915512774140169,0.0116864310091671,0.00778939650319169,0.0623262796042667,-0.0543120023699034,0.108807893101883,0.115184703124465,0.0400243201725663
"enjoy",-0.0247768211156195,0.112647484357778,0.09989865232862,0.19515146305285,-0.0230763647618848,0.0100071129002837,0.246772348457813,0.0167625392150769,-0.0419963349792404,-0.0300328308791863
"paper",0.0911499591829612,-0.0298658920166363,0.0172062043252252,-0.0383294975631071,-0.122917552356334,0.145625349963077,0.0551218437404143,-0.0423236127251357,0.0827692043504722,0.132672613211916
"due",0.18791066306753,-0.0126015080347222,-0.0261626284407346,-0.00305888495564315,0.056792715491884,0.107049011906453,0.0742215328219168,-0.0463097994758671,0.110824251627573,0.285324919982447
"nice",0.0908290653695893,0.217449926087644,-0.050247735892422,0.166674726694636,-0.0608213355789127,0.0604909393762369,0.0841983550641979,0.112960370362912,-0.0845909882501729,-0.0393470638748546
"tire",0.0111186322071114,-0.0999584495360948,0.0325903343206781,-0.00612085823674785,0.453170041238224,-0.0154207746566626,0.0436606416572995,-0.123559485695948,-0.0125229023199109,0.00434208727688677
"stay",-0.00937853506262938,0.074394134023402,0.163658633185013,0.0801354257903165,0.125901717282103,0.0507892010325553,0.0263330854349806,0.0471678877120396,0.0471706743732675,-0.0162481597991562
"wake",-0.00793845205204507,-0.0273489366092415,-0.031564513725462,0.0282100705246008,0.579174033473965,-0.0258455088971447,-0.0258482579235911,0.0254702290473547,-0.0319519568268725,-0.00831618571323068
"prepare",0.295279880860826,-0.015567926701,0.0341526636001234,0.18399307705851,-0.0195193764954127,-0.0361659973662258,-0.0713182385104396,0.127045755802624,0.126850279549497,-0.0279579429039534
"stop",0.00467961639564526,0.000609006547015406,0.0126112810332676,0.0557711693592527,0.0328870975414954,0.0729033714000758,0.029124028566188,0.230299762280022,-0.0790771357883717,0.0781732435135641
"apartment",-0.0440291213130299,0.0553081344535686,-0.0266250347018736,0.136223730461613,-0.011231522338241,-0.111628988501001,0.00962625823930673,0.268532381130348,0.0244221702582973,0.0189494756998488
"mood",0.101112473776383,0.10661332870828,0.00678170913073773,0.0368959537447991,0.0443201048022151,0.0743038174516354,0.107526107926619,-0.0362679722913669,-0.0848981466214625,0.0191075893024485
"grade",0.402443338184758,-0.0110952075944123,0.0685173581556434,-0.0190199507449796,0.0147702466577571,-0.0318147242932643,-0.121672017921216,-0.0795570655172431,0.0881764572484151,0.0249566004079064
"eat",-0.00853496964378842,0.0488875916429903,-0.021457376920832,0.614954925461094,-0.012265309851161,-0.124027633406166,0.0602174073911381,-0.0496411843230887,-0.0491101872722496,0.10635304986785
