"","RC5","RC3","RC2","RC7","RC1","RC9","RC6","RC10","RC4","RC8"
"play",-0.00145421511062817,0.0103437723960911,0.00146758674853782,-0.0433898568595735,-0.0188056033844497,0.0146243601240688,0.185084896862613,0.0182032200619012,-0.00294160146592858,0.0187674758470891
"game",-0.00176357897684383,-0.000967540605032353,0.0033681905887363,-0.0376014024778108,-0.0281698898275053,0.067739693216691,0.181438291647533,-0.0187307525976612,-0.0207903852096674,0.0098014072621805
"mind",-0.00503081263333527,-0.0160089907073593,0.00986346865045144,-0.00754034162381247,-0.00176474866653405,0.00429010487176312,0.0195920363180516,0.0245702770426463,0.204383951802771,-0.0311427365506985
"phone",-0.0238618014845342,-0.0226333317599143,0.00255516170927315,-0.0349732959151697,0.00611629135038568,0.00450250815415468,0.0457992684867124,0.135641734954461,0.00848902781667079,0.00939110597472852
"wait",-0.00751956003425725,-0.0209069766136519,-0.00815398311659722,0.0888495089777666,0.00331101214307699,0.0281807780103532,-0.0449196607187453,0.0609721042118094,-0.0349702280136151,-0.0132814026916062
"computer",0.00513582076825296,-0.0201424547265308,0.0274094240429092,0.00447842923717829,-0.0174310452659424,0.0662088818175122,0.0396547519913473,-0.0137661214355704,0.00698459022476435,0.00662317211068132
"call",-0.0165125313451843,0.0376377174186106,-0.0216182082740563,-0.0240696398319959,-0.00551603856039562,0.00906263559596304,-0.0298736868688778,0.104850052770435,0.0733180995360234,-0.0125849152894081
"move",0.0063257552616484,-0.000629759573158228,0.00611505478135255,-0.00626374237964052,-0.018398419576853,0.0781599097210137,0.0251487263730593,0.0697540968096354,-0.029761438177826,-0.017073876796484
"quick",0.0375840181757188,-0.0278385752549897,-0.0101716966631152,0.0184202548589659,0.019059368565877,0.00704641893630738,-0.0192855782446845,0.056112101811401,-0.0400097847374156,0.00185795184912281
"pay",-0.0858649371491382,-0.0190587334837254,0.233596445504149,0.0361670605659986,0.0333918093145092,0.0390920076037727,0.00484949844941833,-0.0254146715085115,4.92249033632785e-05,-0.0803235063124133
"attention",-0.0837647914043168,-0.0337043201016986,0.245170348690667,0.0352849141984054,0.0270316814397577,0.0411133540254604,0.0250175084675243,-0.0236226885258185,-0.00250751153682578,-0.0719091188596205
"answer",0.0409078921124347,-0.0714050505198689,0.0303808317455022,-0.000316027778249428,-0.0461118767038243,0.0654792115845934,0.0054636604223896,0.118819066085183,-0.023133009928418,-0.0164814480322325
"work",0.0195805246862861,0.0157624036649975,-0.0255779110805472,0.0122326096278136,-0.0176507193891502,0.146533486848042,0.0311716259360403,-0.0866576132595058,0.0421743109026507,0.0901249093861938
"coffee",-0.00598818335194026,0.0159100075012627,-0.0189904774513649,0.0570051769565303,0.0391538476250131,0.0198332651518018,-0.0442214462460927,0.0152572774729081,-0.0238848155636079,-0.0123370047496813
"told",-0.00731451899440533,0.0615928873475999,-0.019036581884446,-0.00835544808368352,0.0133144899448833,-0.00548249592947784,-0.06717585092137,0.108327747720036,-0.0100836704587798,-0.00324285217423168
"event",-0.00420055506192852,0.0258028954975395,-0.00953321012270162,0.00749304994099859,-0.0142343591745879,-0.00407645311290584,-0.00900083244360103,0.0338913754606682,0.0374795060597648,-0.0222766417999393
"place",-0.0255309226454199,0.048485530380133,-0.000298026890003755,0.0241584252416579,-0.0152428105992169,0.0160414446267817,-0.0122542294802319,0.0260490648396849,0.0195231391441655,0.0138617341584433
"amuse",-0.0364964487274208,0.0336250182218481,0.0122205724420564,-0.0517128478336918,0.0362360495814561,-0.0164775407824053,0.0431664454514701,0.0320844625163475,-0.0452761249221479,0.033267228802167
"room",0.0757244732700018,-0.0186787243496369,-0.045894901362397,0.00866555359836585,0.0136036750441318,-0.0588061576076698,0.0870110161720128,0.0870240195679632,-0.0189019609911954,-0.0377864859856012
"study",0.120537298770931,0.025150295994912,-0.0240750935134827,-0.00110270920520287,0.00401075488977819,-0.0433923596356973,-0.031969537824668,-0.0417361961338331,-0.0129636392433602,0.116488079486561
"interest",-0.0567742012115028,0.0466696277633208,0.113358428859575,-0.0198231951927545,-0.00845885526128214,0.027103377656198,0.0351025907247541,-0.0133716894798409,0.0247949168483465,0.0146408204770028
"fact",0.0398271721891011,0.00130852080098519,-0.0148885881776163,-0.0144735800298142,-0.00109208495843169,-0.0135570166003676,0.00953132558666995,0.0490205730885239,0.000358429212288627,0.0238715008120167
"rest",0.0189178758639892,-0.0044309896555818,0.00151355690038056,-0.0186452595274084,0.105436949106074,0.00235394616274623,0.0311838854338149,0.00730497501288728,-0.0210845857902419,-0.0186253861939576
"bore",-0.0399419563856099,-0.00228116113166766,0.0907416247596721,-0.0324076506470817,0.0385402284129234,-0.0225733020895969,0.0571177136074747,-0.0205270322892828,0.0341186471617655,0.0142762051202071
"suppose",-0.0150296427818496,-0.0120469830002686,-0.00184689255589797,-0.0168424349965224,-0.00196301268040476,-0.0010927850506722,0.00487630710998962,0.00224105114883517,-0.0420558447294611,0.232414395805045
"hear",-0.02105600913539,0.0583916357066729,-0.00336328411381441,-0.031552191282035,-0.0046364016157375,0.00661485601286413,-0.0114095408044026,0.047643159701379,-0.0215266047829301,0.0232204388409422
"realize",0.0169142389697921,-0.00319500976338336,0.00663995659709794,-0.00233778036303074,0.0282960033608516,0.0340371763758765,-0.0142507787853507,0.0439021888257328,-0.00117259013545143,-0.00227866616272887
"idea",-0.00743452850071263,0.0595615627603979,0.0296847367529786,-0.0272025135746202,-0.0199489929474077,0.0310831912740622,0.0022350659933148,-0.0102677588377274,0.0336758893033452,-0.00353178761735379
"talk",-0.027170612388754,0.161025725993773,0.0347406764303284,-0.0285369207411652,-0.00802833434789265,-0.0826168081091152,-0.0473523293561448,0.0422746907543101,-0.0289740121142068,0.0636606860748889
"task",-0.00577483119372495,-0.0440734117969912,-0.0170368511422418,-0.00608535743638898,-0.0217169465688201,0.116819536139677,0.0415618556915966,0.0210888834404289,0.0876622271198247,-0.0301269945237759
"research",-0.0123419669076912,0.0290390207225441,0.0055732682913546,-0.00410251584247437,0.0127659424189508,0.0410999418573689,-0.0328906688985448,-0.0138652204368688,0.026338447726112,0.0569065934462801
"thought",-0.0270221111395985,0.0134138373488752,0.0227992594135525,-0.0222181428906839,0.0346080672467698,0.0124704949580617,-0.0123305668071573,0.093803715336805,0.0430350365957659,0.0231520244381532
"funny",-0.024542483368864,0.0284936448458256,0.00570834952822288,-0.0317168440200576,0.0133619807914869,-0.0063046914011009,0.0725522799296863,0.0455297234742407,-0.0443354483170602,0.0142631149818938
"night",0.00409813765424247,0.04345673528197,0.0108712765039413,-0.0247758992783574,0.158893364530482,-0.00734897749314008,-0.0148508750129204,-0.0377849647710031,0.00192889786321666,0.0211824581961582
"minute",0.0253687992065537,-0.0596092632357225,0.0175451229769544,0.0301461932356381,0.0172360481527935,0.0377345097690548,0.0203813351396084,0.0942481333637258,-0.0373005027672311,-0.00623839092962428
"conversation",-0.0362993172685713,0.11113112919649,0.0150596238578135,-0.017343097267688,-0.0181327190234695,0.00429651573992953,-0.0145385603937488,0.00854200629778659,-0.00587715931035574,0.0256537399089523
"long",-0.00875546272689067,0.0263453893475832,0.00770768674293998,0.0277406277880417,0.0204495323931977,0.070257166328132,0.0330632518296778,-0.0452916167442126,-0.0328906265771974,0.0323722510525112
"order",-0.00395923334700606,-0.0151158713470967,0.00676297217505881,0.0774362117098961,-0.0231926128712114,0.0502335401872973,-0.0109646232771888,0.000756405462950621,0.00152761737477082,-0.00891411006908036
"job",-0.020246635612263,0.0255693727659819,-0.00430443172609144,-0.0237505337972788,-0.0114821814513702,0.0746174166121924,-0.0247448869568174,0.0271117794951152,0.0514777954475656,-0.0119734922117842
