"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Filename*",1,3758,1879.5,1084.98548377386,1879.5,1879.5,1392.9027,1,3758,3757,0,-1.20095799875455,17.6988700204279
"WC",2,3758,144.318520489622,82.7246326508107,201,144.989694148936,59.304,31,509,478,-0.156945535155928,-1.47167828428484,1.34944894901424
"RC5",3,3758,4.32548808408728,3.24196975125349,3.64478,3.99349079787234,2.785835052,-2.85714,30.30302,33.16016,1.26061494035578,2.86975313230245,0.0528847639859793
"RC3",4,3758,3.35960353113358,2.86525552952343,2.85714,3.11284842087766,2.374947288,-8.33334,19.99998,28.33332,1.04474790714835,2.68524315961713,0.0467395978570686
"RC2",5,3758,1.78512941458222,2.70400494325366,0.94563,1.39622113364362,1.401991038,-5.55556,22.22224,27.7778,1.85786405438326,5.87881763841733,0.0441091910822429
"RC7",6,3758,3.21035587280468,2.89377844277394,2.65488,2.86937342420213,2.509952844,-4.08163,21.42855,25.51018,1.38034504457994,3.32629027683237,0.0472048790444895
"RC1",7,3758,2.60922294039383,2.58737490397502,2.1645,2.30868098071809,2.180845296,-6.25,22.22224,28.47224,1.44235022747538,4.47439762121888,0.0422066588027415
"RC9",8,3758,1.60254382916445,3.39133125272092,1.33929,1.4931388331117,2.653468524,-11.42857,21.21211,32.64068,0.402422125440716,1.55345765053829,0.055321229579356
"RC6",9,3758,1.88035219265567,2.99122459461108,1.33332,1.56867583444149,1.976780232,-9.75608,30.30302,40.0591,1.84465540271103,8.26725266277051,0.048794473376533
"RC10",10,3758,2.79811059872273,3.17644748589045,2.63159,2.72430561170213,2.776776366,-11.11112,22.22222,33.33334,0.314919332374221,2.00621588973765,0.0518159293559797
"RC4",11,3758,1.53848604044705,2.95652357835905,1.2987,1.35814216090426,1.92545262,-11.11111,18.60464,29.71575,0.881789384557833,3.42721158150501,0.0482284116315545
"RC8",12,3758,2.6255340260777,2.55157579623378,2.2831,2.40742143617021,2.048968026,-8.69566,17.14284,25.8385,0.85548074890922,2.74675894454325,0.0416226843954936
