"","RC2","RC5","RC13","RC7","RC1","RC4","RC14","RC10","RC3","RC12","RC6","RC8","RC15","RC11","RC9"
"play",-0.00943081170965514,-0.0211322964316444,0.00460946721024806,-0.0584625651203783,-0.0148837744948369,-0.0258548599938757,0.0104554028426602,0.0194976370984831,0.0517570609858244,-0.051571788291105,0.239096472971107,0.0270987909528745,-0.0217152120192054,0.0716591771898662,0.00178418825450217
"game",-0.0151910863997268,-0.0315340037617361,0.00724901683281237,-0.046022420225037,0.0103284544659161,-0.0488406350155127,0.0606965285588892,0.00262103942267516,0.0439456776574363,-0.0573268043584246,0.252853545673722,0.0189544953391225,-0.0724135255566194,0.0438597988431085,-0.00858621494895689
"mind",-0.00147224034043901,-0.0149267562685544,0.0192108986494505,-0.0057932325899403,0.00378190712986031,0.225420271629107,0.0110927782898709,-0.00162123928453524,-0.0155355875595143,0.000697700809412274,0.0089800468958798,-0.0347029499526508,0.0115889352005172,0.0120425931601204,-0.00787703686653737
"phone",-0.0228402876957555,-0.0274774777058517,0.0301336022066722,-0.0760645111781435,-0.00105009864298352,0.051704143023452,0.00984652257973714,0.12011971520722,-0.0544688779598335,0.0457256953824017,0.0723236418339042,0.0382892945452929,0.0283103812426779,0.000116881809234819,-0.0713055042614516
"wait",-0.0131041674959323,-0.000937343794306118,-0.00862181653054371,0.0455187828481277,-0.0335398629482986,-0.0338968522520512,-0.0143047371202121,0.141641623194394,0.0281777101652063,0.0178713486558364,0.0129292571153407,0.00549406902170493,-0.0645049804804039,-0.0360454046530598,-0.0283138973837741
"computer",-0.0363461801128502,-0.0309317916878717,0.0452867532128698,-0.034178600127743,0.0858924279832175,0.00399230410364616,-0.0112614020377737,0.0162161698033358,-0.0251679428316295,-0.0116861276023174,0.010992037096971,0.0306948834929586,-0.0464437385672393,-0.0052832769882708,0.0924125129943897
"call",-0.00420867581693484,-0.0339941038930341,-0.00701056523305614,-0.0447291281957646,-0.0158853219851416,0.0938398884335382,0.0451238184730198,0.0893423532165827,0.032606110556128,0.0604753818353089,0.0387866855783639,0.00470024833230683,-0.0194558678805709,0.00648641293568552,-0.131846158843441
"move",0.00175840308190911,0.00204637091316996,-0.0156238314741045,0.000946445397468039,-0.0139486870983775,-0.0631950920384256,0.0917756714235434,0.00541878594937046,0.00315823293583469,0.0444704042181648,0.0150720965247326,-0.0467723963819612,0.00249623296111177,0.086708252321829,0.100269752407837
"quick",0.0306573362643921,0.00678442248568262,-0.00151041405080883,-0.00908430103063078,0.0271189546338345,-0.0181110775112718,0.00913143079726862,0.0636623117932047,-0.0521911725071835,-0.00413434392805024,-0.0365662996036085,0.0041789611248351,0.0256451735733195,0.020567446228456,0.00311317715767914
"pay",-0.109094619629026,-0.0282374656422997,0.301317753739914,-0.0283715027756728,0.12725791869138,0.0172344035545773,-0.00270911819146446,0.042666169576417,-0.0393906241218769,-0.0323701430775119,0.00152564424823047,-0.0165048034381386,-0.0930810501787776,-0.00779902918801251,-0.0395675353296862
"attention",-0.100099211074565,-0.03037132608073,0.305675538155594,-0.0222596019298286,0.109726095189035,0.0235625962655366,0.000851508021813042,0.0484983599769615,-0.0472894624035595,-0.0501032047281621,0.0162081089338255,-0.0176224599776914,-0.0603014434249925,-0.0205783841564727,-0.0245611344855922
"answer",0.0724863615144744,-0.0543682159107906,0.0149566560877705,-0.0105333261104446,-0.0816698059693233,0.0156905934701976,0.0998556227242776,0.15161380826155,-0.0283092684097676,0.00428335209647534,0.0871358124412067,-0.0269362836738716,0.00930882555776734,-0.0546678482418715,-0.0720737316478633
"work",-0.0293925738215122,-0.0299008993520979,-0.0213331558139677,-0.00185620242960916,0.141277327736474,0.0382042777943999,0.0938707773742522,-0.0384907478051129,0.0135490483030578,-0.0767835521104505,-0.00205506280816553,0.0814747688896203,-0.0341841347069047,-0.00119228835545086,0.100121462264805
"coffee",-0.0102300580102891,0.0289295536037696,-0.0193813589434562,0.0368929482457318,0.0256808533535948,0.00658193800514266,-0.00385881316618301,0.0750780647433719,0.0103181976747431,-0.0337068011875751,-0.0558886747927987,-0.0219077363828524,0.0620352502391432,-0.0303473942777851,-0.0103779351165611
"told",-0.0108577678789946,-0.0248968540778162,0.000280353282216498,-0.0664046412513694,0.027157952249255,0.0197755924532344,0.0103350697456721,0.131523897945647,0.0534483705708364,-0.0236795979903535,-0.0480298025829051,0.00282674481634497,0.0657521039225333,0.0613671588009685,-0.0727936316574327
"event",-0.00512426187872063,-0.00671405589094174,-0.0160229867451024,0.0233876674766212,-0.00628322939099005,0.045012100152918,-0.0509336963398885,0.00407535059808436,-0.0119553284308154,0.141117797953623,-0.0068199284941268,6.78491407131659e-05,-0.0151145952186797,-0.0963924514100452,-0.00699144504376336
"place",-0.0232737317207806,-0.00314471697136464,-0.0112120432292136,0.043623241121301,-0.00289522441568351,-0.00886739131353875,0.0377437669778631,-0.0331327942949541,0.0298867585574381,0.0695621412648579,-0.0197065271908002,0.00255424450849807,-0.00988783797181731,0.0521737279272954,0.0240505055460966
"amuse",-0.021881660124535,0.0365530250428951,0.000992160493013419,-0.0378550708542622,-0.0158954922507233,-0.00764111629399116,-0.0109937905425926,0.0134170989634032,0.00578585761587661,-0.028996480438267,-0.00176151287499999,0.0058763050828985,0.181036235536451,-0.0168251926296236,0.0283556715618773
"room",0.0517892475442353,0.0181312582453883,-0.0358715552362726,-0.0373348602802488,0.00629631033486628,-0.0519615252610631,-0.0655364791903512,0.0395355508123209,-0.0238506572193193,0.00227539729579571,0.0681936859666903,-0.0266918677189642,-0.0194829858367972,0.169491731126795,0.0689866038748161
"study",0.11945147071287,4.0520135599748e-05,-0.0344048045658316,0.000334040590861339,0.0419408696422478,0.0044684939229821,-0.0239811884055006,-0.0190700630576417,0.0140850509566243,-0.055179347593315,-0.0543838065422395,0.110077200091975,0.047894322534138,-0.0071720099292381,-0.00692476479212788
"interest",-0.0349433970489718,0.0268585332082987,0.0674822842339345,0.0310583354432391,-0.0700783209100738,0.0147927202298616,-0.00788824253506924,-0.0410445965679739,0.08080015449983,0.0314417871453881,0.00167378492115625,-0.0233292220052804,0.114979895431354,-0.0649496848923218,0.128923295529561
"fact",0.0461106207893143,0.0167647103157774,-0.0296491082774351,0.00346014303944464,-0.0327094443055763,-0.0194034642447235,0.00538849797648256,-0.01725426863285,-0.0126294370668419,0.0899724247294379,0.0141701976384782,0.0234052930113631,-0.0210802561742188,0.020612771690291,0.017659240740214
"rest",0.0140537607093298,0.121936682081495,-0.00720357720735386,-0.00769667618021278,0.000487291572468244,-0.0331913216898918,-0.00785866226256671,-0.0228942959410301,-0.0149524003652689,0.0364062514877736,0.0103336613403448,-0.0266139170120571,0.0132713724389236,0.0103489493034011,0.0476266228851321
"bore",-0.0273117875091959,0.0330043091125179,0.0947031994026615,-0.028724052780732,-0.0208243548154096,0.0423211196838224,-0.014135728077159,-0.0132970688093995,0.0242710003748895,-0.0611232815176909,0.049569156684589,0.00927915267123879,0.0529393280487468,0.00661074097946809,0.0104713688563586
