"","RC2","RC3","RC1","RC5","RC4"
"play",-0.011728122280558,0.0564296243885233,0.0155038235238868,-0.0122745174968968,-0.034980248875429
"game",-0.00944006040608739,0.032887417753487,0.0122067084234014,0.0039170889905416,-0.0283604438187222
"mind",-0.00329322180353455,-0.0256892137095231,-3.55790301052275e-05,0.0194888610659318,0.0974013031253471
"phone",-0.0245680186524661,0.0262846717084771,0.0311400752097123,0.0648115235004007,-0.0503595115427285
"wait",-0.0173076748310739,0.0230379396166515,0.0486549105316014,0.0273085548260795,-0.00899383305166659
"computer",0.0175307350709498,-0.0151514638098381,0.0118518487275843,0.0314629976289358,0.00656270552415388
"call",-0.0219679122368609,0.040060070224751,-0.0167960807386234,0.0764573775957634,0.0228555853443912
"move",0.00633085103445445,0.025817209439387,0.0116915468512132,0.0758077526263735,-0.0315269408539046
"quick",0.0196808366188805,0.00419293115291303,0.0365578047132279,0.0124894854466315,-0.0154187882816056
"pay",0.0643339883969036,-0.0525620668547688,0.0687894690423177,0.0484363691651845,-0.13990730566719
"attention",0.0703900506446245,-0.0576567323893181,0.074347225920715,0.0459859620353929,-0.147829765333568
"answer",0.0420505937234596,-0.0116683517701662,0.0138579316697408,0.0758304855748944,-0.0453072488218688
"work",0.00838364529381668,-0.0170130798167829,0.00200179911840377,0.0694292697465689,0.128304598779458
"coffee",-0.016459151642696,0.0213657388922654,0.0442956357002408,0.014960275797955,0.0100168131030216
"told",-0.0092558884780874,0.0632204908437934,-0.00624576492045543,0.0720045583275019,-0.0159679349371753
"event",-0.00861415427837251,0.0301404697176416,-0.0147339361950204,0.0147093222347714,0.013796932087951
"place",-0.0166667408780775,0.0472366763210542,-0.0081852613528787,0.0385410870279976,0.0171323709489238
"amuse",-0.0190835418336245,0.0300843231546388,0.0183466734598084,0.0248823789006294,-0.0594960802828038
"room",0.0159852328951358,0.0635970650904836,0.0407082100090365,-0.0652783268265907,-0.0278571599919591
"study",0.090758541205007,0.0150728495617355,-0.0134030541792632,-0.0460338218716993,0.0889899607083362
"interest",0.0269302082162974,0.0128458859215362,-0.00223640516059962,0.0556487326047138,-0.045656624169206
"fact",0.0219729816343045,0.0227083915805982,0.0029719289639655,0.00660813067335746,0.00758480155686245
"rest",0.011063142399197,-0.00773337887706738,0.0850705675751829,-0.00696912426082184,-0.022815802787495
"bore",0.0195760932506286,-0.0227556333965363,0.0350215159462982,-0.00112672248751313,-0.0429195604483755
"suppose",-0.003139463492587,-0.00710583911113088,0.017153025942746,0.0463889487554296,0.0449752542910805
"hear",-0.0103877776160536,0.0480879671785425,-0.0214586094307393,0.0547173469546682,-0.0213471560202837
"realize",0.0172778315192394,0.00105314303636558,0.031900474912507,0.0446981207941297,-0.0012096861995104
"idea",0.0200437051761214,0.0249928462423793,-0.0359335584377387,0.0434919223352224,0.011223194901646
"talk",0.0186840890453533,0.12248806958618,-0.0574030111738166,0.0314129936861625,-0.0343291897862711
"task",-0.0204044114909144,-0.0351701305245758,0.0103029596215295,0.0740587962800881,0.057617857590651
"research",0.00290481145424126,-0.0040546416187798,0.00149880347892026,0.0550237010748167,0.04896338614088
"thought",-0.00630444170627432,0.0158009774983069,0.0334732346401212,0.0801214909712419,-0.00680276163399331
"funny",-0.0187481379583003,0.0500533922557335,0.0185027181219361,0.0167057666544844,-0.0608695031293993
"night",0.0153405235588993,-0.0125970863028199,0.097607351753314,0.003418490424364,0.0165155534689662
"minute",0.0186339908418705,0.00120148453756606,0.0699751126843119,0.0385865443242166,-0.0421651637288654
"conversation",-0.0063453214819779,0.0763608097811475,-0.0438150369380952,0.0507304572912631,-0.00655634587917915
"long",-0.000935114544511868,0.0167758683561707,0.0360543944103502,0.0268751933430201,0.0157223358152449
"order",-0.00416772428026072,0.0085669444417196,0.0225393352492662,0.0166068072111113,0.021713713464783
"job",-0.0116138578335631,-0.000700529274986077,-0.0204505369989679,0.0875731237899172,0.032824662359938
"late",-0.00552636191246631,-0.0288928237613447,0.0985637635361751,0.0302631585812204,0.0116119883684532
"finish",0.0164063988877301,0.00909009370371655,0.0571987161118652,-0.0414658528311388,0.0846891191749521
"stuff",-0.00681798261393627,0.0169929748692353,0.00266359069248373,0.0112377245878913,0.0135754038128696
