

KMO_TEST:

KMO_METRIC: 0.710592466342076
The KMO test yields a GOOD degree of common variance.

BARTLETT_SPHERICITY_TEST:


	Bartlett's test of sphericity

data:  InputData
X-squared = 57660, df = 11175, p-value < 2.2e-16



FACTOR_ANALYSIS_RESULTS:

Principal Components Analysis
Call: principal(r = InputData, nfactors = NumberOfFactors, residuals = FALSE, 
    rotate = "varimax", method = "regression")
Standardized loadings (pattern matrix) based upon correlation matrix
               RC6   RC2   RC7   RC9   RC1  RC10   RC3   RC4   RC8   RC5    h2   u2 com
relieve       0.13 -0.05  0.01  0.00  0.06  0.07  0.08  0.07  0.04  0.12 0.056 0.94 5.0
frustrate     0.05  0.00 -0.06  0.07  0.05  0.09 -0.05  0.34  0.02 -0.07 0.142 0.86 1.6
long          0.02  0.00  0.09  0.06  0.07  0.03  0.09  0.16  0.11  0.10 0.075 0.93 5.3
happy         0.00 -0.07  0.16  0.22  0.05  0.03  0.27 -0.03  0.00  0.20 0.196 0.80 3.9
issue         0.01  0.02 -0.05  0.04  0.02  0.11  0.06  0.24  0.00  0.03 0.082 0.92 1.8
place        -0.05 -0.01  0.07  0.20  0.03  0.06  0.12  0.09  0.01 -0.01 0.077 0.92 3.0
work          0.10 -0.09  0.07 -0.06  0.04  0.33  0.15  0.31  0.04  0.06 0.254 0.75 3.1
email        -0.05  0.02 -0.04 -0.10  0.24  0.13  0.02  0.08 -0.16 -0.01 0.123 0.88 3.3
lunch        -0.05 -0.01  0.48 -0.01  0.04  0.02  0.10  0.00 -0.06  0.06 0.258 0.74 1.2
class         0.39  0.44  0.02 -0.05  0.10 -0.12  0.08 -0.11  0.09  0.05 0.395 0.61 2.6
call         -0.07 -0.04 -0.07  0.17  0.18  0.17  0.06  0.08 -0.06  0.05 0.114 0.89 4.9
study         0.45  0.00  0.12  0.06 -0.06  0.06  0.01  0.08  0.11 -0.02 0.251 0.75 1.5
enjoy        -0.02  0.09  0.21  0.13  0.05 -0.02  0.02  0.01 -0.05  0.22 0.122 0.88 3.3
thought       0.03  0.05 -0.01  0.27  0.16  0.18 -0.07  0.09  0.07 -0.02 0.150 0.85 3.2
learn         0.14  0.23  0.02  0.07 -0.10 -0.04 -0.01  0.17 -0.02  0.01 0.115 0.89 3.4
question      0.30  0.15 -0.07  0.00  0.14 -0.01 -0.08  0.27 -0.17  0.06 0.247 0.75 4.0
move          0.03  0.03 -0.06  0.17  0.21  0.02  0.01  0.12 -0.04  0.06 0.100 0.90 3.2
answer        0.12  0.10 -0.07 -0.03  0.31  0.01 -0.09  0.19 -0.19  0.07 0.212 0.79 3.6
discuss      -0.01  0.10 -0.02  0.17 -0.11  0.01  0.29  0.13 -0.06 -0.07 0.163 0.84 3.1
prepare       0.29  0.01  0.16  0.01  0.12  0.12  0.00 -0.06 -0.06 -0.04 0.148 0.85 2.6
plan         -0.01 -0.05 -0.01  0.10  0.09  0.14  0.41 -0.05  0.08 -0.07 0.223 0.78 1.7
complete     -0.01  0.00  0.01 -0.03  0.07  0.44  0.08  0.18  0.08  0.09 0.248 0.75 1.6
task         -0.05 -0.03 -0.04 -0.04  0.12  0.33 -0.01  0.12 -0.09  0.05 0.160 0.84 2.0
train        -0.09 -0.08 -0.02  0.00  0.26 -0.05 -0.01  0.22  0.04 -0.04 0.135 0.87 2.7
day           0.15 -0.03  0.11  0.04  0.27  0.17  0.18  0.10  0.22  0.10 0.240 0.76 5.5
start         0.18  0.04  0.09  0.11  0.19  0.20  0.15  0.03  0.10  0.11 0.177 0.82 6.3
conversation -0.07  0.02  0.00  0.26  0.04  0.00  0.16  0.10 -0.07 -0.01 0.115 0.89 2.5
friend        0.03  0.02  0.08  0.35 -0.03  0.00  0.39 -0.10  0.10  0.00 0.307 0.69 2.4
weekend       0.12 -0.07 -0.01  0.07  0.04 -0.04  0.26 -0.01  0.16  0.06 0.125 0.87 2.8
stay         -0.02  0.18  0.06  0.07  0.07  0.10  0.09  0.00  0.10  0.00 0.075 0.92 3.8
excite        0.00  0.00  0.10  0.09  0.04 -0.08  0.34 -0.03  0.02  0.13 0.157 0.84 1.9
schedule      0.01  0.06  0.05 -0.11  0.06  0.13  0.20  0.12  0.14 -0.09 0.123 0.88 5.5
watch        -0.06 -0.03  0.03  0.08 -0.08  0.02 -0.14 -0.12  0.09  0.57 0.381 0.62 1.4
late          0.06 -0.01  0.11 -0.07  0.17 -0.02  0.03  0.16  0.25 -0.02 0.139 0.86 3.5
job          -0.05  0.02 -0.05  0.05  0.03  0.12  0.14  0.23 -0.04  0.00 0.093 0.91 2.8
nervous       0.33  0.01 -0.06 -0.04  0.12  0.06  0.11 -0.05 -0.06 -0.03 0.153 0.85 1.9
begin         0.15  0.14  0.03  0.09  0.12  0.03  0.05  0.05 -0.02  0.05 0.071 0.93 4.7
show         -0.04  0.06  0.01  0.04  0.08  0.03  0.05  0.00  0.04  0.34 0.131 0.87 1.3
hallway       0.07  0.01  0.21 -0.01  0.12 -0.08  0.17 -0.02 -0.01  0.00 0.100 0.90 3.2
stress        0.32 -0.04  0.00  0.04  0.06  0.13  0.08 -0.01  0.08 -0.07 0.140 0.86 1.9
left          0.02 -0.03  0.08  0.02  0.29  0.05  0.08 -0.01  0.06 -0.04 0.105 0.90 1.6
student       0.01  0.17  0.02 -0.01  0.07  0.09  0.15  0.23 -0.07 -0.04 0.123 0.88 3.5
meet         -0.01 -0.06  0.03  0.02  0.13  0.02  0.37  0.14 -0.07 -0.06 0.187 0.81 1.9
great         0.11 -0.03  0.01  0.13  0.01  0.03  0.16  0.04  0.00  0.09 0.066 0.93 3.7
read          0.09  0.09  0.02  0.24  0.09  0.12 -0.20 -0.01 -0.12  0.00 0.153 0.85 4.0
due           0.19 -0.03  0.04  0.00 -0.06  0.22  0.05  0.17  0.09  0.08 0.133 0.87 4.0
anxious       0.26 -0.02 -0.05  0.01  0.16  0.05  0.03 -0.05 -0.03 -0.06 0.105 0.90 2.2
office       -0.01 -0.04 -0.04 -0.02  0.18 -0.04  0.07  0.31 -0.05  0.02 0.140 0.86 1.9
laptop       -0.03  0.03  0.06  0.07  0.00  0.06 -0.01  0.03  0.05  0.07 0.022 0.98 6.0
