"","RC2","RC3","RC7","RC6","RC4","RC1","RC10","RC5","RC9","RC8"
"place",-0.0507288173069561,0.195693580718183,0.0934441953123114,-0.00238695977573806,0.0941637262376297,-0.0109684241619811,0.0790728348942098,-0.0181020751329903,0.0434639338123461,0.0650128388469488
"relieve",0.158279226844502,0.0357064660864291,0.00712343007554959,-0.0642500876044758,0.0722208172567744,0.0436144233646178,0.0493432298535579,0.0960060330218944,0.0736936176950982,0.0171763015491335
"frustrate",0.0165467521397354,-0.0212976230475369,-0.0683142007761322,0.00620042315067562,0.197827113756778,0.0466844224006961,0.170445419291775,-0.129364017358897,0.217491081637752,0.0119497944221516
"long",0.0445711820842336,0.101905254950343,0.0892377941125913,-0.00456068902047926,0.126310752368403,0.0892457568329487,0.0325046058326246,0.0649462690526215,0.112302320415295,-0.0365089244650185
"happy",0.0467403446764187,0.340717718482849,0.136880009338847,-0.0819164470944016,-0.00693757410626565,-0.0101332690787875,0.0460851077957538,0.168363816473875,0.0841926357291531,0.0264517669745287
"issue",0.0170819087316716,0.0612323069242143,-0.0691817946885259,-0.00115838718160146,0.209005269015564,0.0552730899314933,0.0980354135485906,-0.0251215291724932,0.0282283216256087,0.0404113279630114
"work",0.096864415990422,0.0674085957889276,0.041394146704653,-0.0816756506777272,0.43204242866073,0.0633427733604764,-0.105851705671735,0.0453078522406853,0.246527171285399,0.0574265120360829
"email",-0.00933554004712637,-0.0711280069318118,0.0574938251167037,-0.0021233052434939,0.255933044240413,-0.0387247592677828,0.120864020443318,-0.00709617639167816,-0.0930725646275649,-0.0120992979944218
"lunch",-0.0253818589548974,0.0698024780877957,0.41344761802754,-0.0267381387101243,-0.0188216675767663,-0.037551673258327,-0.0452173020742059,0.0247525882479535,0.0637413673291178,0.0752293221547037
"class",0.371109768912953,0.0154918856445422,0.0437916810799035,0.447555856279688,-0.104223275307662,0.124858798741744,0.000501081201036575,0.00541154711656393,-0.0546923736421868,-0.107696498421629
"call",-0.00314274830256686,0.0811852561635496,0.00343573941220803,-0.065864823137056,0.0862597666358059,0.00611196298918523,0.300271371888204,0.0266674618986223,-0.0277957679888183,0.162383797634627
"study",0.425640250724538,0.0390155074349083,0.0398578192155425,0.0143759005673311,-0.0318227110788195,0.0682026383765547,-0.0585515558417766,-0.0115740335596176,0.297072718770537,0.0141270912025004
"enjoy",-0.0137723650919782,0.130423801514121,0.183249676805319,0.091916025740827,-0.0245786730557089,-0.0279608339072526,0.0527002800226883,0.198359793047139,0.0076819319546896,-0.00621099404499892
"thought",0.00283875109944972,0.0954160263651766,0.0217522172752148,0.065587127085789,0.0795410803610281,0.114403284069397,0.256073981275246,0.00882814842360744,0.0813873620114105,0.111021712677666
"learn",0.112622579050436,0.060610090134877,-0.0630328140247077,0.224364785426757,0.0342583193223461,-0.0369412728961709,0.0296836618788036,-0.0378364461000487,0.0847959176476587,-0.0298034592087689
"process",0.0424315731520552,0.0126524164157872,0.00339070562258177,0.0255473093913135,0.186461704745062,0.00123914639379712,0.0439076111099766,-0.027102403138417,-0.0309176301855452,0.064859098915267
"question",0.306859590058833,-0.0900314915566809,-0.0526041042436919,0.132322880689949,0.151727402465656,-0.093513899392876,0.252277166693059,-0.0457273986524221,0.0387804702441063,-0.0262653895048899
"move",0.0137081275664626,0.102320345072545,0.0455510032517072,0.0575455412766494,0.194692632688414,-0.00279225037600472,0.154062146692299,0.0615668566011168,-0.0149339345093987,-0.0785199614516101
"answer",0.165254689946832,-0.135107542867371,0.0381221924825911,0.0736731988254763,0.141903433875586,-0.0713729541436693,0.357128828961239,0.00759602322161312,-0.043618170873261,-0.0333655294635057
"discuss",-0.00556807367946124,0.27910138082421,-0.0663090581060885,0.0983150033561603,0.0918505594700206,-0.0521492736730813,0.0145877301318004,-0.135916282709864,0.0264688940801537,0.0391461297378858
"prepare",0.298348177281644,-0.00732063840958345,0.192268020773848,0.0212598752527616,0.018448826019204,-0.0238327554702558,0.0463377015418038,-0.0196254292451876,-0.0260709141445541,0.142479180175873
"tomorrow",0.209704988154028,0.136689698596879,0.00484109113821102,-0.0228571485945938,0.0555228256292705,0.0547176593177002,-0.0691104658957029,0.0352525223873559,0.0157721949925796,-0.0231116542927435
"plan",0.0475946210919379,0.338153816266737,0.0746054054177698,-0.0487687225119075,0.127893872630151,0.106711795666566,-0.0531794100067859,-0.0508848762442938,-0.0928175280308239,0.0989322108896103
"complete",0.043604236415228,0.0143907827731132,0.0104752277328144,-0.0205354545276477,0.32622956578357,0.133750282205291,0.0386090174833032,0.0729434165989281,0.0389794629129309,0.289290998250003
"task",-0.0180878168481468,-0.0516898527163199,-0.00669207152697535,-0.0410588057699065,0.322804522690442,0.000823186898973488,0.0586745863385034,0.0697611694771338,-0.0253410869917609,0.161071625472751
"train",-0.0607110763810404,-0.0195716164153071,0.0654022911707579,-0.095565523843455,0.165446798614086,0.0869048853448288,0.184429003786982,-0.0611736907456643,-0.000114545620887296,-0.138988156754528
"session",0.0283452846788522,-0.0720072622754721,0.0300030128836123,0.0158972906721483,0.0745464505949513,0.177528935198763,0.0412717337722877,-0.0822090075868433,0.0125674790449533,0.0418825635544187
"day",0.188124725197046,0.15318338956012,0.192386561638682,-0.0408683056833192,0.216358964476637,0.265917814686288,0.116408296338997,0.100903966948044,-0.0227168199673172,0.0771313221690173
"busy",0.0165880763102872,0.0705389440777456,0.0486668776241888,-0.0493648318454995,0.173610558219022,0.0596808199402732,0.0841792048520623,0.0305816108786446,-0.0222563646375493,-0.0418596504801779
"start",0.166860719076194,0.15686439336227,0.143734742394385,0.0546926715801959,0.172713740103034,0.145869894527609,0.0989653977190716,0.136336523286674,0.0690444820179936,0.0897585745157455
"fun",-0.0220955264083931,0.283196179722623,-0.0260500147282617,0.017998481979469,0.0197569954259311,0.0205306857643446,0.0215918726837916,0.0855696759978505,0.0422136251458167,-0.04377539673782
"conversation",-0.0520688388220521,0.262821150733487,-0.0101267247321592,-0.00125993080247303,0.00952631950826294,-0.0400757160474043,0.175393703057017,-0.0432264308241662,0.0785773926415863,0.00180932391186483
"friend",0.044182209560648,0.488608869856327,0.0587115098962272,0.0299966352031295,-0.139327812923646,0.0579705592709599,0.0408530588464397,-0.00973126718756462,0.104625187923387,0.085999221852026
"weekend",0.147768577037855,0.247043828284256,0.0238834158381916,-0.0718814852916532,0.0425540854107527,0.145984764439654,-0.0620912716519706,0.0545265417857757,-0.00473753536151062,-0.0843780489540468
"stay",-0.0239984252324767,0.107351483081296,0.0905968946044498,0.19449632026302,0.0954004789857498,0.114526671667074,-0.00223247644890112,0.0254183699757757,-0.00362633115879731,0.041116877278911
"excite",0.0135609274517842,0.335329378081394,0.119796655332311,0.00194629349923104,0.0345431688440537,0.0200118602957783,-0.0553682902989162,0.0533083096309346,-0.0255477904699972,-0.0582354205601492
"schedule",0.0726055046194149,0.0498590925860769,0.0639326839191974,0.0258659903140146,0.178551589039493,0.183305855284166,-0.041966358661555,-0.110589886525487,-0.0266172475195956,0.0899017691371173
"watch",-0.058797086536515,-0.0519497926816078,-0.0118426800723568,-0.0315395932162447,-0.0903213110941759,0.00182305116907618,0.0583105931660497,0.646449174286579,0.0520592462450814,0.0410292004318414
"late",0.0773228577960649,-0.039838685765546,0.125274960849609,-0.0254971446898532,0.0659518000155853,0.304778564698981,0.096828985605599,-0.0652001750838291,0.0436052837827916,-0.0183354409836967
"job",-0.0081801911736526,0.0909363969508462,-0.0413032493395305,-0.0155053245082413,0.215478977758449,-0.0117442445675484,0.132861516724384,-0.0669441548927531,0.00129997670512303,0.117319156868147
"nervous",0.359215979835444,0.0270317283518928,-0.0179367706706787,0.0132415288560231,0.0246260985029198,-0.00724142468871202,0.0986867446989217,-0.0377633321843654,-0.0477198211371236,0.0614414061018554
"begin",0.136673171374196,0.0788431833078258,0.0724344931232768,0.157206576056383,0.0921258442255031,-0.0102974919229148,0.0939240555047202,0.0521286817494964,-0.0149240228459479,-0.00910963420260621
"meet",0.0412289286707375,0.244207900986439,0.0779487705108788,-0.0750788841113656,0.222229159839354,-0.0175299251981142,0.0405066878121477,-0.118838412890124,0.0109179745784112,-0.0448182583238388
