"","RC2","RC6","RC12","RC1","RC3","RC4","RC5","RC8","RC14","RC9","RC15","RC7","RC13","RC10","RC11"
"place",-0.126035345552347,0.0825274217414196,0.0348332076335887,0.038894277347503,0.142390918972952,-0.00580254461058004,0.0830718429071044,0.0122424976654621,-0.0430216486856477,-0.016566887827165,0.229634635571007,-0.011747695196282,0.0374320810950246,0.0211290436357263,0.0944117043424212
"relieve",-4.79524350935205e-05,-0.0150092842557179,0.0430901962805852,0.0722965867231323,0.00727753802409536,0.0653823864927575,0.0488876140754535,-0.00274896672075104,0.14700284077094,0.127364692247754,-0.0235505678659536,0.233890987415632,-0.0523256719806586,-0.00166645474743295,-0.044773149985391
"frustrate",-0.0378400335103742,-0.0295304543238096,0.00722170275414116,0.0507121881816336,0.0414262885743633,0.00773033278662722,-0.0238499072462375,-0.00734085020384612,0.120684054028916,0.112560680040686,0.0887485163880783,-0.0205343999887916,-0.0012359517906348,-0.0267479304405679,0.472394193497849
"long",-0.0121177647646304,0.0867386773877187,-0.0360924692708404,0.0350968317123683,0.0439911846502958,-0.0526464401600834,0.102096996818611,0.118006724405354,0.137373003113608,0.103550982250573,0.0753636897969866,0.227596694772749,-0.000570149188150874,0.0342807035756204,0.0491044168619537
"happy",-0.0304808815964761,0.0892105193615796,-0.0691121555579352,0.0331758994240491,0.341848158605434,0.0839538513845139,0.0497838038675327,-0.0890211747511034,0.0195857600445235,0.159586120667016,0.0348481735738436,0.166727946181615,0.177951117160781,-0.0141108883536805,-0.28599881371628
"work",-0.165257322069421,0.0194800909294936,0.00424250084015051,-0.0629448513928555,-0.10534116774159,0.113435598752085,-0.0702253307976636,0.0786088499008269,0.132169928338305,0.25357168300793,0.123270742298576,0.272727984616263,0.225255810142916,0.256382005780775,0.177274234307154
"email",-0.0615256812289328,-0.0114045728175422,-0.0580506565987521,0.0126981270054228,-0.035341966342825,0.0114430628283953,-0.0586201110355379,-0.0480963498540433,0.348060699207803,-0.0210080874252415,-0.0676734848833783,0.0547658076554595,0.0481255579855831,0.209009061268556,-0.0740392845829373
"lunch",0.0197417120414408,0.542286114521929,-0.0494559195556421,0.0167580049447035,-0.01031475551388,0.0894719995987138,-0.00261076739878847,-0.100917575195879,0.0332818614418906,-0.0332841968730061,0.0797512925926523,0.203645959396443,0.0679172039678006,-0.0926478806850574,0.0334496577293559
"class",0.58046331943714,-0.034632450105779,0.225765708850701,0.198510935057191,-0.0107560394444306,-0.0788861986866359,0.0180618245641481,0.0455278104475177,-0.0132553634884572,0.0643562087385388,-0.0507221898683249,0.084080577554504,-0.064045545101206,0.0309171379053649,-0.0692356380606433
"call",-0.088430685688324,-0.0226786789886354,-0.0329368735214812,0.0628363701183615,0.259962594190192,0.230403142461917,0.055271257400221,-0.0274301038134903,0.324332409976453,-0.0621696651349668,-0.0322096929264861,0.081664065371759,-0.149818907003386,-0.00461876952512678,0.0536092733125402
"question",0.231834618408936,-0.0494783892052432,0.184741650408098,0.0062861001882212,0.0193649241095143,0.0467189061610788,0.0130442422567444,-0.143728428255313,0.433459490255556,0.0903753209911307,0.0342474957559888,-0.0603625117474936,0.0955412911052457,-0.0747771986196545,0.158025657868799
"move",0.0056253804962721,-0.0455856368348595,0.0222548514948063,0.194811203009842,0.0300562052990091,-0.00064151211116278,0.112701196191906,-0.0581387028281497,0.0613250045918547,-0.0924206704988151,0.151019538068112,-0.0148123527091595,0.132852354673658,0.0671376359216324,0.167891439601509
