,RC6,RC2,RC1,RC7,RC3,RC4,RC8,RC5,RC9,RC10
people,,,,,,,,,,0.39
understand,,,,,,,,,,0.3
expect,,,,,,,,,,0.27
homework,,,,,,,,,,0.27
frustrate,,,0.2,,,,,,,0.26
sad,,,,,,,,,,0.25
study,0.41,,,,,,,,,0.24
talk,,,,,0.39,,,,0.21,0.23
annoy,,,0.29,,,,,,,0.23
problem,,,,,,,,,,0.23
learn,,0.21,,,,,,,,0.22
question,0.26,,0.23,,,,,,,0.21
life,,,,,,,,,,0.21
attention,,0.68,,,,,,,,-0.24
pay,,0.66,,,,,,,,-0.26
apartment,,,,,,,,,0.38,
live,,,,,,,,,0.33,
roommate,,,,,,,,,0.33,
read,,,,,,,,,0.31,
thought,,,,,,,,,0.27,
phone,,,,,,,,,0.25,
move,,,0.21,,,,,,0.23,
stop,,,0.22,,,,,,0.22,
clean,,,,,,,,,0.22,
told,,,0.23,,0.22,,,,0.21,
call,,,,,,,,,0.21,
room,,,,,,,,,0.21,
project,,,,,,0.37,,,-0.21,
watch,,,,,,,,0.57,,
play,,,,,,,,0.54,,
game,,,,,,,,0.51,,
video,,,,,,,,0.47,,
relax,,,,,,,,0.39,,
show,,,,,,,,0.33,,
finish,,,,0.25,,,,0.24,,
enjoy,,,,0.21,,,,0.23,,
music,,,,,,,,0.23,,
happy,,,,,0.34,,,0.22,,
sleep,,,,,,,0.55,,,
tire,,,,,,,0.47,,,
night,,,,,,,0.42,,,
nap,,,,,,,0.42,,,
bed,,,,,,,0.37,,,
morning,,,0.26,0.2,,,0.29,,,
wear,,,,,,,0.28,,,
early,,,0.26,,,,0.25,,,
late,,,0.24,,,,0.25,,,
rest,,,,,,,0.24,,,
day,,,0.27,,,,0.21,,,
complete,,,,,,0.47,,,,
alone,,,,,,0.46,,,,
library,,,,,,0.46,,,,
mind,,,,,,0.44,,,,
assignment,,,,,,0.39,,,,
work,,,0.22,,,0.37,,,,
task,,,,,,0.34,,,,
emotion,,,,,,0.3,,,,
due,,,,,,0.24,,,,
focus,,,,,,0.23,,,,
friend,,,,,0.49,,,,,
plan,,,,,0.39,,,,,
meet,,,0.21,,0.34,,,,,
excite,,,,,0.34,,,,,
together,,,,,0.34,,,,,
discuss,,,,,0.32,,,,,
semester,,,,,0.31,,,,,
weekend,,,,,0.27,,,,,
conversation,,,,,0.25,,,,,
year,,,,,0.25,,,,,
group,,,,,0.25,,,,,
week,,,,,0.21,,,,,
nice,,,,,0.21,,,,,
eat,,,,0.69,,,,,,
hungry,,,,0.62,,,,,,
food,,,,0.58,,,,,,
lunch,,,,0.48,,,,,,
breakfast,,,,0.46,,,,,,
hallway,,,,0.22,,,,,,
train,,,0.35,,,,,,,
answer,,,0.33,,,,,,,
office,,,0.33,,,,,,,
lab,,,0.33,,,,,,,
wait,,,0.27,,,,,,,
minute,,,0.27,,,,,,,
today,,,0.26,,,,,,,
email,,,0.25,,,,,,,
walk,,,0.25,,,,,,,
left,,,0.21,,,,,,,
leave,,,0.2,,,,,,,
professor,0.28,0.54,,,,,,,,
lecture,,0.54,,,,,,,,
class,0.38,0.46,,,,,,,,
listen,,0.3,,,,,,,,
material,0.39,0.29,,,,,,,,
note,0.26,0.28,,,,,,,,
interest,,0.24,,,,,,,,
bore,,0.23,,,,,,,,
topic,,0.23,,,,,,,,
exam,0.55,,,,,,,,,
grade,0.4,,,,,,,,,
nervous,0.37,,,,,,,,,
test,0.37,,,,,,,,,
quiz,0.37,,,,,,,,,
prepare,0.33,,,,,,,,,
stress,0.33,,,,,,,,,
final,0.32,,,,,,,,,
anxious,0.29,,,,,,,,,
start,0.2,,,,,,,,,
place,,,,,,,,,,
relieve,,,,,,,,,,
long,,,,,,,,,,
issue,,,,,,,,,,
job,,,,,,,,,,
begin,,,,,,,,,,
stay,,,,,,,,,,
schedule,,,,,,,,,,
student,,,,,,,,,,
great,,,,,,,,,,
laptop,,,,,,,,,,
computer,,,,,,,,,,
close,,,,,,,,,,
hope,,,,,,,,,,
paper,,,,,,,,,,
break.,,,,,,,,,,
decide,,,,,,,,,,
continue,,,,,,,,,,
hour,,,,,,,,,,
worry,,,,,,,,,,
turn,,,,,,,,,,
hear,,,,,,,,,,
end,,,,,,,,,,
text,,,,,,,,,,
realize,,,,,,,,,,
ready,,,,,,,,,,
quick,,,,,,,,,,
person,,,,,,,,,,
order,,,,,,,,,,
write,,,,,,,,,,
outside,,,,,,,,,,
school,,,,,,,,,,
laugh,,,,,,,,,,
surprise,,,,,,,,,,
hard,,,,,,,,,,
mood,,,,,,,,,,
calm,,,,,,,,,,
coffee,,,,,,,,,,
shop,,,,,,,,,,
movie,,,,,,,,,,
neutral,,,,,,,,,,
hand,,,,,,,,,,
