

KMO_TEST:

KMO_METRIC: 0.691861271907544
The KMO test yields a DECENT degree of common variance.

BARTLETT_SPHERICITY_TEST:


	Bartlett's test of sphericity

data:  InputData
X-squared = 51810, df = 11175, p-value < 2.2e-16



FACTOR_ANALYSIS_RESULTS:

Principal Components Analysis
Call: principal(r = InputData, nfactors = NumberOfFactors, residuals = FALSE, 
    rotate = "varimax", method = "regression")
Standardized loadings (pattern matrix) based upon correlation matrix
               RC6   RC2   RC1   RC7   RC3   RC4   RC8   RC5   RC9  RC10    h2   u2 com
place        -0.05 -0.03  0.05  0.06  0.16  0.07 -0.01 -0.02  0.16  0.08 0.073 0.93 3.9
relieve       0.12 -0.05  0.08  0.00  0.06  0.08  0.03  0.13 -0.03  0.04 0.053 0.95 4.7
frustrate     0.00 -0.01  0.20 -0.10 -0.05  0.12 -0.01 -0.10  0.03  0.26 0.149 0.85 3.2
long          0.00 -0.01  0.15  0.08  0.10  0.05  0.09  0.09 -0.01  0.10 0.069 0.93 5.2
happy        -0.01 -0.07  0.01  0.16  0.34  0.01  0.00  0.22  0.06  0.01 0.201 0.80 2.4
issue        -0.01  0.01  0.15 -0.08  0.05  0.16 -0.02  0.01 -0.01  0.15 0.081 0.92 3.8
work          0.07 -0.09  0.22  0.03  0.10  0.37  0.00  0.07 -0.16  0.15 0.262 0.74 3.1
email        -0.01  0.03  0.25 -0.03 -0.03  0.13 -0.16  0.00  0.00 -0.14 0.127 0.87 3.1
lunch        -0.05 -0.01  0.05  0.48  0.10  0.05 -0.05  0.06 -0.03  0.00 0.254 0.75 1.2
class         0.38  0.46  0.00  0.04  0.05 -0.14  0.11  0.04 -0.04 -0.01 0.397 0.60 2.4
call         -0.05 -0.04  0.15 -0.07  0.08  0.16 -0.06  0.03  0.21  0.00 0.113 0.89 3.9
study         0.41 -0.01 -0.02  0.10  0.02  0.04  0.10 -0.01 -0.06  0.24 0.256 0.74 2.0
enjoy        -0.03  0.09  0.03  0.21  0.07 -0.04 -0.05  0.23  0.10  0.05 0.124 0.88 3.4
thought       0.01  0.04  0.11 -0.01  0.02  0.14  0.06 -0.04  0.27  0.14 0.132 0.87 2.7
learn         0.08  0.21  0.00 -0.02  0.02 -0.02 -0.04 -0.01 -0.04  0.22 0.106 0.89 2.5
question      0.26  0.14  0.23 -0.10 -0.08  0.01 -0.19  0.04  0.00  0.21 0.243 0.76 5.1
move          0.05  0.02  0.21 -0.06  0.05  0.02 -0.05  0.04  0.23  0.06 0.114 0.89 2.7
answer        0.14  0.13  0.33 -0.07 -0.10  0.01 -0.19  0.06  0.09  0.03 0.210 0.79 3.0
discuss      -0.03  0.09 -0.02 -0.05  0.32  0.06 -0.07 -0.10  0.01  0.11 0.143 0.86 1.9
prepare       0.33  0.01  0.04  0.17 -0.02  0.09 -0.05 -0.04  0.09 -0.03 0.163 0.84 2.0
plan          0.03 -0.05  0.04  0.00  0.39  0.16  0.09 -0.07  0.04 -0.15 0.224 0.78 2.0
complete      0.00  0.00  0.14 -0.01  0.02  0.47  0.06  0.07  0.02  0.04 0.249 0.75 1.3
task         -0.03 -0.03  0.15 -0.04 -0.06  0.34 -0.10  0.04  0.05 -0.03 0.161 0.84 1.8
train        -0.09 -0.07  0.35 -0.03 -0.01 -0.03  0.02 -0.04  0.03  0.01 0.137 0.86 1.3
day           0.17 -0.03  0.27  0.12  0.15  0.17  0.21  0.11  0.06 -0.03 0.233 0.77 5.3
watch        -0.07 -0.04 -0.14  0.02 -0.11 -0.01  0.09  0.57  0.15  0.01 0.390 0.61 1.5
late          0.05 -0.01  0.24  0.09 -0.01  0.02  0.25 -0.04 -0.04  0.03 0.137 0.86 2.6
job          -0.06  0.01  0.15 -0.08  0.12  0.16 -0.06 -0.02 -0.01  0.08 0.083 0.92 4.8
nervous       0.37  0.02  0.05 -0.05  0.07  0.04 -0.05 -0.04  0.01 -0.08 0.160 0.84 1.4
begin         0.16  0.14  0.09  0.03  0.06  0.02 -0.03  0.04  0.12  0.04 0.073 0.93 4.4
start         0.20  0.04  0.14  0.09  0.15  0.19  0.10  0.11  0.14 -0.01 0.171 0.83 6.3
conversation -0.09  0.01  0.07 -0.01  0.25  0.01 -0.08 -0.02  0.14  0.11 0.112 0.89 2.8
friend        0.02  0.01 -0.12  0.07  0.49  0.00  0.12 -0.01  0.17  0.06 0.305 0.69 1.6
weekend       0.12 -0.07  0.05 -0.01  0.27 -0.03  0.16  0.07 -0.04 -0.03 0.130 0.87 2.7
stay          0.00  0.18  0.03  0.06  0.07  0.10  0.10 -0.01  0.10 -0.01 0.073 0.93 3.9
excite        0.00  0.00  0.03  0.10  0.34 -0.07  0.02  0.13 -0.03 -0.06 0.158 0.84 1.7
schedule      0.03  0.06  0.14  0.04  0.13  0.17  0.14 -0.10 -0.14 -0.04 0.122 0.88 6.2
