"","RC2","RC3","RC6","RC7","RC4","RC1","RC5","RC10","RC9","RC8"
"relieve",0.0552342141322193,-0.00502587369992293,-0.0406500633091387,-0.0168738495635023,0.0144027143334086,0.000552808003584595,0.0431029717493862,0.0153968452184278,0.0234305936922345,-0.000267336726216845
"frustrate",-0.0168209036414246,-0.0193048298067789,-0.00259791553026225,-0.0380733405482624,0.0564491900664559,0.0111438056132287,-0.0505923851820494,0.055268676598303,0.089850834851103,-0.00720687244539828
"long",-0.00119820661498037,0.0180945992724302,-0.0053373940416872,0.0164754547866062,0.0448675278687633,0.0160156358247623,0.0193078301317412,-0.00774391206739696,0.038350187784599,-0.0341208781739541
"happy",0.0190507898941365,0.101398185452696,-0.0402863667408121,0.0254984981126015,-0.0207134922836645,-0.0268024472279688,0.0559645339159157,-0.00938140976550525,0.0217975962759279,0.00269912272212795
"issue",-0.00866866253760033,0.0129380689888991,-0.0055243304356043,-0.0391680798637858,0.0737070384403734,0.0172753193816431,-0.00832355641490374,0.026487165504402,0.00021827862008338,0.00788041178951526
"work",0.0108722671977361,-0.00813715572540054,-0.0420331682659165,-0.000171262513216532,0.174770057982261,-0.00988314891805809,0.0217891148985278,-0.0618216750205841,0.0809423965513732,-0.018860087069686
"email",-0.0126575045439907,-0.0446934969842474,-0.00301818970190982,0.0258720800053414,0.105467537834994,-0.0287598941441942,0.00406167714582725,0.0565300524549997,-0.0554106192111274,-0.0175508638156301
"lunch",-0.0171364099233318,0.0117430711955959,0.00534919381687355,0.156068593066999,-0.0145002029488909,-0.0386531089937983,-0.0122099781649238,-0.0292580335376839,0.0184576923027115,0.0365732351679484
"class",0.0898788725496421,-0.00195363289897466,0.143444495287549,0.0132867942600953,-0.063711479711267,0.0402405292889926,0.00702033857000504,-0.0190866262854135,-0.0339677369284883,-0.0420652280871522
"call",-0.00310378733906184,0.0146649016927258,-0.0289365819921492,-0.0210697110182446,0.00349273351222589,-0.00566984336411977,0.00664260187091351,0.117647422997752,-0.0222926030932968,0.0797650329362319
"place",-0.0312500355914137,0.0616157913536626,0.00511339516873224,0.0277268108852331,0.028314513199029,-0.0181664963017518,-0.0181612700072555,0.00522912765133079,0.00477528800755991,0.0228293086777681
"study",0.138260892496168,-0.00372727877534847,-0.0272073282692685,-0.0076909704982276,-0.0451384328701949,0.00214838163422779,-0.00718277754132764,-0.0342556225774383,0.125538820729896,-0.00803894188924091
"enjoy",-0.0136782076713036,0.0266977738126391,0.0385967265031963,0.0600550973873846,-0.0178545185779731,-0.0282421441310638,0.0747020288202095,0.00732804311731014,-0.0047443401980742,-0.00187425242944551
"thought",-0.0211526501527892,0.0188125254898944,0.019948535243105,-0.0176696075210828,-0.00369417817414339,0.0377943493040992,-0.00706051275518431,0.0879866756605382,0.0239941697322541,0.0508815149890671
"learn",0.0147184810601462,0.0204044804802211,0.0761547015174164,-0.0262943908001965,-0.00357906048663054,-0.0173737561109213,-0.0131543036151075,-0.00441027549209249,0.0386229525169828,-0.0123579357571227
"process",0.000466650349519025,-0.00420165660813121,0.00679099494907446,-0.000617880073189349,0.0704785896321063,-0.00944269649223596,-0.00993834413373426,0.00977027155921335,-0.0265266510795368,0.0191532328377375
"question",0.0931180067663288,-0.0533619799920126,0.0192922942121874,-0.0291640824934951,0.0139396144854376,-0.0517261706743089,-0.00500735450084298,0.113260378999155,0.015174167419187,-0.00102444915235401
"move",-0.0101818565639935,0.0123493808328781,0.0152640414747837,0.012254249263275,0.0708073782157246,-0.0195767426240019,0.0276667759527199,0.0563463719295415,-0.0252058042020061,-0.0414561025735747
"answer",0.0506998795462893,-0.0791153273938426,0.00929429402136413,0.0079540429995878,0.0161211598835391,-0.0429338142801166,0.0138983612586901,0.172639951675624,-0.0220964836187653,-0.00258274543762311
"discuss",-0.0215701307783166,0.109602767363169,0.0383822672583569,-0.0266565247602418,0.0167243197415706,-0.0143474316807618,-0.0631069728490329,-0.0277743413109228,0.00505010269761349,0.0209744087977166
"prepare",0.0986458730650977,-0.0228408490122507,-0.010186448699949,0.0686554194165271,-0.0161471321534788,-0.0367994892042261,-0.012509413920037,0.0270759874179908,-0.0307011146167835,0.0665530428429538
"tomorrow",0.0691154758407866,0.0369453711736885,-0.0271487003863832,-0.00844564855915602,0.0232264307499557,0.00565457340751933,0.016568326657154,-0.0412721379158388,-0.00979463214409546,-0.0260446103565437
"plan",0.0031607466515272,0.116106289872891,-0.0241191618750304,0.0189133271914264,0.0563447750620479,0.0278240944152706,-0.0340135065219802,-0.0575049848601639,-0.0755421808148078,0.0259018088094814
"complete",-0.00703928477655417,-0.0179966270518012,-0.0130966774832101,-0.0135837003752493,0.120262161242,0.0313951142213152,0.0287180306651666,0.0067483942062334,-0.0136385019237113,0.106144330026563
"task",-0.0180012808057352,-0.0345367427446967,-0.016623218874669,-0.00833472604368963,0.127396205322887,-0.012739636528887,0.0315924830590599,0.0237803329315621,-0.0299607422416273,0.056857449942774
"train",-0.021774173555915,-0.0360712154754583,-0.0445866683130632,0.0220003603802164,0.0529954260707572,0.0265691641785268,-0.0269241014356862,0.0994875404335563,-0.00900122998132614,-0.068046307996355
"session",-0.00383099162671882,-0.0324534913057741,0.00217019309119296,0.00181589331501801,0.0146487068923151,0.0699000626726404,-0.0396737656141364,0.0229891480162983,-0.000103288292343737,0.0155713066926673
"day",0.045361760911669,0.0133482053731383,-0.0384740614604675,0.0426910146878145,0.0630917803490488,0.072812300631456,0.0283454676921143,0.036471034942584,-0.0523613451023816,0.0145712806681705
"busy",0.000181546018341075,0.00627011372701665,-0.0259716134458088,0.00733461570377463,0.0642198979837959,0.0110525419205045,0.0122605258715734,0.0315345055626937,-0.0253372451961034,-0.032729190858371
"start",0.0342562929772543,0.0211125902983139,0.00303837939131052,0.0282582164162094,0.0442432539631052,0.027611302490935,0.0468627311683571,0.024381369821038,-0.00454879235747154,0.0259510825753184
"fun",-0.0151722569785353,0.100981485348323,0.00594695090918017,-0.027511302154631,0.00222134957051516,0.00651374691964205,0.0270716414755904,-0.0229499917537701,0.00931277914099186,-0.0241132177737534
"conversation",-0.0249430419915592,0.0960899913921364,-0.00231133864225346,-0.0242828526302366,-0.0242956379933487,-0.0140686544548534,-0.0270934122307163,0.0403301970262251,0.0345879203432274,0.00702005050212829
"friend",0.00166844617589004,0.179749674285702,0.00967101169038722,-0.00576653459769588,-0.0780698463997196,0.0174533185514427,-0.0235645055044227,-0.0420565296164427,0.0332394608038558,0.0374108206053902
"weekend",0.0485825166057565,0.075324683677465,-0.0448461137676231,-0.010273169717203,0.0177182347185113,0.0445452779520233,0.0150997819431205,-0.0438380141498918,-0.0231010996547626,-0.0566276149518137
"stay",-0.0414044152138223,0.0292970554238353,0.0776022723175692,0.0296652078516505,0.0411428128067437,0.0350535654723593,0.003232900662159,-0.0283688721977804,-0.0208645809928732,0.00548598675492602
"excite",-0.0052503425629919,0.112792425840981,-0.000142432498394785,0.034157913450205,0.014826852056907,-0.00402212055412181,0.0115007576335461,-0.0600750442956245,-0.0295979686671565,-0.0364837487409835
"schedule",0.000979385256872255,0.00912632210181344,0.00478424147398032,0.019857807599549,0.0696837580215895,0.0627200117359799,-0.0528827818640992,-0.0282932848625815,-0.0350957911208142,0.0205098778351702
"watch",-0.00823188446772854,-0.0423670747525622,-0.00467298738637091,-0.0296941395392034,-0.0200548908357162,-0.00945147132737629,0.263269770587852,0.0252708937689811,0.0241451661520463,0.00871393754133681
"late",0.00949487664143549,-0.0326238975219801,-0.0196357690085251,0.0268145416643684,0.00156951549278212,0.115828055287368,-0.0423308705956408,0.0464207373247271,0.0052067433529026,-0.0155931535260798
"job",-0.0166232477082434,0.0254268123408934,-0.00781564043549964,-0.0233680601954367,0.0694460055239852,-0.0118155485740057,-0.0300169437057026,0.0394297366168491,-0.0126992365114501,0.0454548475672133
"nervous",0.12075785871919,0.000544897089646891,-0.024650592235259,-0.0175381532203075,-0.0201314033873488,-0.014360718920436,-0.013508506535831,0.0395893185017636,-0.0355097271351664,0.0326306155868885
"begin",0.0268147108954731,0.0112706725560802,0.0492026388738227,0.0214940627489357,0.0200132514583778,-0.020953561042043,0.020872316143909,0.0249418373368238,-0.0208827698298009,-0.00445332732188943
"show",-0.00375558732087858,-0.0179170768861068,0.0117979758226839,-0.00724500031970921,0.0274979317173838,-0.00665509062886971,0.159793660157668,0.0451224817224505,-0.0174040672983201,-0.011044285414023
"hallway",0.0158375864595413,0.0224083374920236,0.00608131040891106,0.0909062318443621,-0.00573936933687069,-0.01091776617286,-0.019625240866168,-0.0201279461127343,0.00242172712765464,-0.0397440772352519
"stress",0.108229578177632,0.0109541678379451,-0.0418212158796306,-0.00454590144073287,0.0113269166946878,0.00559289914217976,-0.00120529950859883,-0.0105655215235026,-0.0243639038827961,0.0152509079395254
"left",0.00555801393775069,-0.00901305115063245,-0.0104127737883694,0.0721676429498627,0.0217579939979978,0.0210161504666639,-0.0236799082066543,0.0369987967745547,-0.0230935546574868,-0.0147893590634289
"student",-0.027761337716979,0.011149701623305,0.0573179812760036,0.0118717514309499,0.0886975177048905,-0.00770632269195111,-0.0493678248084639,0.0103876351581565,0.000662239554351128,-0.00491092933995441
"meet",0.00402761830025479,0.0774319921367055,-0.0361060698140247,0.0228104817395969,0.0717542944520386,-0.0171620070207077,-0.0579356103170057,-0.00428882849556536,-0.0137868145992203,-0.0290894539968345
"information",0.0117773913735535,0.0058956252395319,0.0417014126086741,-0.0163718929046443,0.0193552786826819,-0.0259879806331171,-0.0337476732329361,0.0262273118389865,0.0138810698936274,-0.00842279391802564
"great",0.0350640994311001,0.0737920162582674,-0.0177119475275317,-0.0154537889302382,0.016807710780591,-0.0133521233658871,0.0306170762312864,-0.0118247684206649,-0.0249067210604498,0.00789404598232871
"research",-0.018296005893239,0.0235214739281496,0.00963657617600016,-0.00480338626738228,0.0507842675802868,0.0161313308111299,-0.0314200952007128,-0.0103504928802544,0.0524244965865366,0.00825739419908824
"read",-0.00980497307086699,-0.0336046926375234,0.0529713955385247,0.0234720709720654,-0.0253508549302826,-0.0590733108866097,0.0302141061926048,0.0901481309956372,0.0589652956559257,0.0406845130101669
"due",0.0359125510566736,-0.0129358251141866,-0.0144773574530203,-0.018353113969616,0.0688389805683244,0.00101971998665053,0.0377288650450622,-0.0511173109592413,0.110870634634826,0.000481437440587234
"anxious",0.0872689261747147,-0.00730078783536532,-0.0291770763786269,-0.0112681240727957,-0.0190083771993131,0.00257772959407255,-0.00963131288317399,0.0528445459341589,-0.0220096085570511,0.0133829379370874
"office",0.00237909828923787,-0.0087958899492421,-0.035023494341154,-0.00956429240969329,0.0744622149054135,0.00149504325627894,-0.0306883794828183,0.0813063272336857,-0.0236536810205349,-0.0364580993197098
"book",-0.0214563823541471,-0.00219506177421953,0.0376777136240369,0.0466744549739257,-0.00751203681585582,-0.0494875048773142,0.00499374192079243,0.0468272569473786,0.00820439165899693,0.0472474063699432
"laptop",-0.038105479546146,-0.00676767046294876,0.0290897606936706,0.0103990261998126,-0.00979384221483095,-0.00166246018697172,0.0176523101999489,0.00978060422755373,0.098455620267836,0.00673902816421274
"leave",-0.0311345421288924,-0.000769947418870928,0.0162107635199285,0.0507721681468922,0.0371510563883367,0.0351840292518935,-0.0151010179060535,0.0251828100551053,-0.0136903833292569,-0.042654077987055
"today",0.00664529953933841,-0.02675479842708,0.00320760054392301,0.0435006127461155,0.0667142255827345,0.0291239944005739,-0.00185982245052844,0.0261412513455159,0.0479567593437266,-0.00541230959220901
"final",0.104257616986382,0.0337859447088499,-0.0277772657738218,0.00298682271684368,0.0521320027185706,-0.0155722556723895,0.0372581221990966,-0.0851838947916645,-0.0412290583629682,-0.0382937858866932
"desk",-0.0138413853856776,-0.0129557633817443,-0.00802514603886947,0.00298923719159787,0.0310564825883021,0.0078693215112361,0.012249248468776,0.0479229266555182,-0.0262124401870277,0.0221547802988467
"lab",0.0104988187778464,-0.0142722215266267,-0.064968003541619,0.0071901974433124,0.0603428963300477,0.0569623892015458,-0.0474339115214182,0.030659676710537,0.0725466522000213,-0.0709781301263562
"computer",-0.00310571547715548,-0.0101464874314692,0.0311127253459669,0.00211497012371172,0.0827656488835161,-0.0226313037607821,0.0322366051858877,-0.02431825500605,0.00845716007119962,-0.0161751452925097
"phone",-0.0183604822803076,-0.0101287090199062,0.0042591586195877,-0.0187993750461274,-0.0323893474001033,5.43288948580578e-05,0.0507599200285969,0.130801569384106,0.0110559642385913,0.0282956525095599
"deal",-0.0154574711809348,0.0284117383398834,-0.0201201916140568,-0.0520063075167814,0.0414019635188951,0.0187677690398981,0.00636467105188022,0.047125855793731,0.0129450222572235,0.00342393135962884
"close",-0.00386507068906857,0.0652738696230957,0.0111402254307925,-0.00433972319907222,-0.0173910242492165,0.0185809203961759,-0.00539781349416558,0.0307080378690625,-0.00423226347367209,0.00982805352484399
"breakfast",-0.00520824352342566,-0.0263988499680768,-0.0043023956745265,0.160847373715743,-0.025393570791462,0.0102465255368448,-0.0108527043066846,-0.0144553625858059,-0.00288003326398426,0.0269707842313312
"hope",0.0459181519946176,0.0222659497055907,-0.0215969694479881,-0.0102548832897399,-0.0117886646878186,0.0185155428990567,-0.0492755133555879,0.0318908312985548,-0.00149988546382318,0.0235182510286111
"room",0.0394405462864557,0.023222504943275,-0.00970980434759312,0.0416781100460677,-0.00183025300937172,0.0115321917719191,0.0913337984944503,-0.0173031871419326,-0.0661898663206689,-0.0379238030945772
"paper",0.00823565425969662,-0.0126012165135906,0.00712564668416818,-0.0100596138986466,0.0898484309657407,-0.0554392099025911,0.0232143283708807,-0.0349276254794389,0.0450201723962043,-0.00851746255652119
"break.",0.0166294108109359,0.0502694521710672,0.00362135969930225,0.0354349393343954,-0.0180437471244519,-0.00845089813006141,0.0271609472586065,-0.0451730093889403,0.0264453851704113,-0.0130754647458181
"eat",-0.0116804462170192,0.00116824891187255,0.0116401492695368,0.22721883861557,-0.0600521755937191,-0.0455953901027127,-0.0130898193159874,-0.0590919117706038,0.0586253256422325,0.00798428977141642
"test",0.125149519043381,-0.0228366322124678,-0.0104047388653023,-0.024989309416494,0.00644336387244681,-0.0361548839485867,0.0229672024884111,0.00902759609450551,0.0209162046915213,-0.0323732720453886
"morning",0.0160897948569742,-0.0281425209015064,-0.0248237224788422,0.0513059347795069,0.00266413644744498,0.109479098721225,-0.00973088458409549,0.0224548079004343,0.0503115424326698,-0.0425414124870135
"fact",0.0285081570345592,0.0258905885161425,-0.00375876644439818,-0.00872476806511706,-0.00905086650196239,-0.000525974930093592,0.00851094857656914,0.019719799708323,0.0158931356742048,0.0113502816984059
