"","RC2","RC3","RC6","RC1","RC10","RC7","RC12","RC8","RC5","RC9","RC4","RC11","RC15","RC14","RC13"
"relieve",0.04501442842744,-0.0236764457868371,-0.0314510574135164,-0.0113749988325555,0.0280098159412033,-0.00793267051761877,0.0123879748438226,0.0272331777727355,0.0319073076260266,0.0117974957234947,0.0319023350548522,-0.0273273603047113,0.0118647454195727,-0.0429025520303696,0.0800863910357183
"frustrate",0.00628966198100737,-0.00564325590303346,-0.0364650895490868,0.000907939044511736,0.00639745908138969,-0.0206714254015711,-0.0272161580093932,-0.0239016581169242,-0.0139672570368225,0.0638774693679929,0.209548336995906,0.0691220353547615,-0.0384903185593461,-0.0336845292149293,-0.0252799705038161
"long",-0.0108887220463226,0.024753979052672,-0.00234502565856504,0.012787669918725,-0.00748307698652393,0.038421282334299,0.0447655953214488,-0.0279664124201835,0.0324463783295102,0.018180410542705,0.0358031712614131,-0.0437272635943239,-0.00443145380824419,-0.00351093324556352,0.0294432168600388
"happy",-0.010776398739564,0.0235237369502062,-0.00877295767682877,-0.047102074537114,0.0166988125122465,0.0280719041142112,0.089014714090742,0.0398247404010889,0.0166449693740663,0.0196373607943764,-0.0759055994927453,-0.0381957871302062,0.0987331854076143,-0.03302507521335,0.0767995306741596
"issue",-0.00682440837743499,0.0349923159825586,-0.0255077765501204,0.0147744487466744,-0.0183588106790878,0.0102250846621484,-0.00668188180317158,0.00514908821993893,0.00572097544842733,-0.0562905594509489,0.14180268503916,-0.0149896072599054,0.0262494213982316,0.0162718685319662,0.0239960985319801
"work",-0.0293272710480033,-0.0485850074921887,-0.0333318834291665,-0.031484711388376,-0.0266827433221103,0.00334933384403492,0.144057632212566,0.0196905764124802,-0.0228574305647874,0.0558728179410136,0.0720425059101741,-0.0424119482931232,-0.0258890366759855,0.122709115286053,0.0593787613962183
"email",-0.0367445377514409,-0.00324425737042881,0.00998127655211645,-0.0350912089611915,0.0800488630930806,-0.025924935851763,0.0654936248773315,4.68594688556229e-05,0.02285782636013,-0.038113459776686,-0.0251349968110682,-0.0523521138938171,-0.0587753233630764,0.0996510274066224,-0.0386733331147314
"lunch",-0.0162227222511948,0.0141624565675285,0.0155408042439506,-0.0417395741713672,0.0144676008794734,0.196868245852865,-0.00804934655740282,0.0371614078419508,-0.00501182107525451,-0.0222702370879449,0.00856380749457539,-0.0224875513710211,0.00882947246626821,-0.0512783997393059,0.0396062965261141
"class",0.101517095460372,0.00802211786142048,0.141548456201099,0.054073850314838,0.0194148420433771,-0.00162436896943582,-0.0589481005529555,-0.0350388110276474,-0.0292525630338238,-0.0126779638830791,-0.0720558258052419,0.00910266593985398,0.0126666374397445,-0.00572974376588517,0.0573105663409049
"call",0.00587661188749157,0.0464508808654895,-0.0290015826678923,-0.0196216659813704,0.0824756485331934,-0.0446513311983346,-0.0114785041500673,0.0807796410898905,0.0683389742984206,-0.00478009658158458,0.0492849087994048,0.0187948786973648,-0.0296138333910177,-0.0903311086117939,-0.0283710467798162
"place",-0.0173815869472262,0.0785027366443735,-0.0202345182113458,-0.0103605546057304,-0.0302594448086379,0.0327104758224579,0.0184658959217731,-0.0147716641702608,0.0144851405156179,0.00342669899734556,0.043531558074163,0.0639583456418548,-0.0239086113728978,0.0112241515939886,-0.0585593335479859
"study",0.134690093098557,-0.0452181721754262,-0.0301567757422327,-0.00184521042800299,-0.046874930932028,0.0116061140006249,0.0591274822320002,-0.0148912360570725,-0.00141685495718253,0.121357522398843,-0.000976825919024319,-0.0282522568428013,0.0289319160362464,-0.0139905909155978,-0.0377806804136043
"enjoy",-0.0169572688766826,0.0380608796194648,0.0457308141645384,-0.0204399973464995,-0.0056827219726981,0.0910222394298915,0.00838819997749527,-0.00804792514711642,0.0869516819540904,-0.0305261359356531,-0.0351950029756775,-0.0472155385419638,0.0546874829956865,0.0118482547646594,0.0137448551489435
"thought",-0.0147400421862974,0.0171452895202372,-0.000824900239297648,0.0405015245806523,0.0312606756966683,-0.026353197060498,-0.0179528972388308,0.0334187164367882,-0.0043943954813772,0.0120402159093181,0.0410694785151892,0.0430072597436075,0.0812323258021808,0.0749402876780733,-0.0866671952014801
"learn",0.0235514675882912,0.0449479036862663,0.0656262589307203,-0.0133510145881977,-0.0593085392417428,0.033835643269538,0.000312784678345758,-0.0283443440589786,0.0206629879074577,-0.00297087745560965,0.0626313408868246,-0.056228140261401,0.0458191322322093,-0.00383278161074597,-0.0245840656551835
"process",0.00061808597800287,0.0428734461000365,-0.00242292413748279,-0.00804872268646542,-0.0101056564372644,0.0188444373606983,0.0183837636178772,0.0105811355852228,0.0277614074802507,-0.0470623557731467,0.0616450138704216,-0.0285632090487091,-0.0437937633698866,0.013434325583831,-0.0117528356837476
"question",0.102761560180835,0.014612603689788,0.00632730919971145,-0.0508486046793329,0.0800795189306119,-0.00220239609984903,-0.0774509853112825,0.00924262556668116,0.0404111492659839,-0.0206000418362689,0.103253280586301,-0.0715421582333194,0.0109594608762679,-0.0356447672646541,0.030578397618252
"move",-0.00539859645595922,0.0394098623036011,-0.0118224961572353,-0.00746305225435626,0.0499465603567625,-0.0187253022125166,-0.0197855275236852,-0.0528846399103267,0.018824667290463,-0.0204345656086122,0.0439793563351263,0.063743661312727,-0.020568888848999,0.0846004809904463,0.00913690107053385
