"Filename","WC","RC2"
"10_1_760.txt",32,2.85714
"10_1_761.txt",39,4.7619
"10_1_762.txt",41,9.09091
"10_1_763.txt",44,8.51064
"10_1_764.txt",63,2.98507
"10_1_765.txt",85,4.34784
"10_1_766.txt",207,3.24074
"10_1_767.txt",217,6.32911
"10_1_768.txt",238,6.71936
"10_10_846.txt",28,6.45162
"10_10_847.txt",33,8.33334
"10_10_848.txt",36,5.26316
"10_10_849.txt",41,4.44444
"10_10_850.txt",43,2.17391
"10_10_851.txt",43,4.34782
"10_10_852.txt",65,2.85714
"10_10_853.txt",201,3.66974
"10_10_854.txt",205,3.63637
"10_10_855.txt",215,0.84746
"10_11_856.txt",32,5.88236
"10_11_857.txt",36,2.5641
"10_11_858.txt",38,7.14285
"10_11_859.txt",46,8
"10_11_860.txt",50,1.85185
"10_11_861.txt",50,5.55556
"10_11_862.txt",53,3.50878
"10_11_863.txt",65,1.44928
"10_11_864.txt",213,1.74672
"10_11_865.txt",212,3.0303
"10_11_866.txt",215,3.04348
"10_12_867.txt",29,3.33333
"10_12_868.txt",33,2.85714
"10_12_869.txt",37,2.5641
"10_12_870.txt",40,7.14285
"10_12_871.txt",40,0
"10_12_872.txt",45,4.16667
"10_12_873.txt",44,2.08333
"10_12_874.txt",46,0
"10_12_875.txt",201,0.46296
"10_12_876.txt",217,2.06611
"10_12_877.txt",237,0.4
"10_13_878.txt",29,0
"10_13_879.txt",27,3.57143
"10_13_880.txt",32,2.94118
"10_13_881.txt",37,-4.87805
"10_13_882.txt",42,0
"10_13_883.txt",44,2
"10_13_884.txt",49,0
"10_13_885.txt",205,0.45455
"10_13_886.txt",219,3.00427
"10_13_887.txt",220,2.55319
"10_14_888.txt",33,2.77778
"10_14_889.txt",35,2.63158
"10_14_890.txt",36,-2.5
"10_14_891.txt",48,3.84616
"10_14_892.txt",60,1.5625
"10_14_893.txt",209,3.96476
"10_14_894.txt",210,4.88888
"10_14_895.txt",219,3.7037
"10_2_769.txt",202,0
"10_2_770.txt",205,-0.45045
"10_2_771.txt",214,3.0303
"10_3_772.txt",49,9.25925
"10_3_773.txt",51,9.25925
"10_3_774.txt",52,1.78571
"10_3_775.txt",52,7.14285
"10_3_776.txt",206,4.88888
"10_3_777.txt",208,5.28635
"10_3_778.txt",209,8.52017
"10_4_779.txt",27,3.44828
"10_4_780.txt",44,4.25532
"10_4_781.txt",44,0
"10_4_782.txt",207,-0.4386
"10_4_783.txt",207,0.88888
"10_4_784.txt",228,3.21287
"10_5_785.txt",24,11.11111
"10_5_786.txt",26,0
"10_5_787.txt",29,3.125
"10_5_788.txt",33,2.85714
"10_5_789.txt",33,8.10811
"10_5_790.txt",36,5.26316
"10_5_791.txt",36,5.26316
"10_5_792.txt",38,5
"10_5_793.txt",37,0
"10_5_794.txt",38,-2.38095
"10_5_795.txt",46,5.88235
"10_5_796.txt",48,4
"10_5_797.txt",48,5.66038
"10_5_798.txt",50,3.63636
"10_5_799.txt",53,1.75439
"10_5_800.txt",205,5.85585
"10_5_801.txt",207,6.16742
"10_5_802.txt",228,3.2653
"10_6_803.txt",204,2.72729
"10_6_804.txt",207,2.5974
"10_6_805.txt",231,5.51181
"10_7_806.txt",22,0
"10_7_807.txt",28,0
"10_7_808.txt",34,2.7027
"10_7_809.txt",35,5.55556
"10_7_810.txt",202,1.84332
"10_7_811.txt",212,0.43668
"10_7_812.txt",223,0.41322
"10_8_813.txt",24,16
"10_8_814.txt",23,11.53846
"10_8_815.txt",24,7.6923
"10_8_816.txt",24,11.53846
"10_8_817.txt",27,10.71429
"10_8_818.txt",31,9.09091
"10_8_819.txt",31,0
"10_8_820.txt",34,0
"10_8_821.txt",37,7.89474
"10_8_822.txt",37,5.1282
"10_8_823.txt",39,2.38095
"10_8_824.txt",39,2.38095
"10_8_825.txt",40,2.32558
"10_8_826.txt",41,6.97674
"10_8_827.txt",43,4.34783
"10_8_828.txt",43,4.34783
"10_8_829.txt",43,4.34783
"10_8_830.txt",43,4.34783
"10_8_831.txt",50,7.54717
"10_8_832.txt",49,0
"10_8_833.txt",68,4.05405
"10_8_834.txt",203,9.95477
"10_8_835.txt",207,2.62008
"10_9_836.txt",27,3.33333
"10_9_837.txt",32,5.71428
"10_9_838.txt",35,2.63158
"10_9_839.txt",41,0
"10_9_840.txt",44,4.16667
"10_9_841.txt",54,0
"10_9_842.txt",56,3.27868
"10_9_843.txt",201,0.88889
"10_9_844.txt",200,0
"10_9_845.txt",206,0
"11_1_896.txt",180,0.9901
"11_1_897.txt",228,3.48838
"11_1_898.txt",229,1.56251
"11_10_959.txt",33,8.33334
"11_10_960.txt",47,0
"11_10_961.txt",61,7.4627
"11_10_962.txt",61,-1.44928
"11_10_963.txt",75,-2.43902
"11_10_964.txt",252,1.78571
"11_10_965.txt",256,1.03806
"11_10_966.txt",268,1.71236
"11_11_967.txt",30,-5.55556
"11_11_968.txt",31,-11.42857
"11_11_969.txt",34,2.5641
"11_11_970.txt",35,0
"11_11_971.txt",39,0
"11_11_972.txt",44,2.08333
"11_11_973.txt",199,1.76992
"11_11_974.txt",200,1.36986
"11_11_975.txt",214,2.91666
"11_12_976.txt",28,3.125
"11_12_977.txt",34,2.77778
"11_12_978.txt",45,2.04082
"11_12_979.txt",45,4
"11_12_980.txt",57,-1.49254
"11_12_981.txt",206,0
"11_12_982.txt",221,0.40323
"11_12_983.txt",224,-0.39525
"11_13_984.txt",27,3.22581
"11_13_985.txt",30,0
"11_13_986.txt",46,4
"11_13_987.txt",48,5.55555
"11_13_988.txt",56,0
"11_13_989.txt",204,7.01757
"11_13_990.txt",210,1.28754
"11_13_991.txt",213,1.28754
"11_14_992.txt",33,5.1282
"11_14_993.txt",42,-6.24999
"11_14_994.txt",55,3.125
"11_14_995.txt",56,3.2258
"11_14_996.txt",62,1.40845
"11_14_997.txt",210,0.42373
"11_14_998.txt",214,0.41668
"11_14_999.txt",278,1.00000000000655e-05
"11_2_899.txt",58,0
"11_2_900.txt",86,1.03093
"11_2_901.txt",90,0.97087
"11_2_902.txt",171,2.60416
"11_2_903.txt",175,2.92681
"11_2_904.txt",217,2.06611
"11_3_905.txt",209,-0.42735
"11_3_906.txt",249,5.75538
"11_4_907.txt",53,1.63934
"11_4_908.txt",221,1.64608
"11_4_909.txt",256,1.04895
"11_4_910.txt",293,3.4268
"11_5_911.txt",52,0
"11_5_912.txt",73,3.65853
"11_5_913.txt",86,3.125
"11_5_914.txt",208,4.7619
"11_5_915.txt",221,5.64517
"11_5_916.txt",252,6.07144
"11_6_917.txt",36,0
"11_6_918.txt",49,-3.44828
"11_6_919.txt",54,1.66667
"11_6_920.txt",55,1.5625
"11_6_921.txt",61,2.94118
"11_6_922.txt",62,4.34783
"11_6_923.txt",65,7.99999
"11_6_924.txt",66,1.35135
"11_6_925.txt",69,0
"11_6_926.txt",69,-2.5974
"11_6_927.txt",203,2.19299
"11_6_928.txt",207,1.7316
"11_6_929.txt",232,2.7344
"11_7_930.txt",45,1.92308
"11_7_931.txt",55,1.63934
"11_7_932.txt",58,2.98508
"11_7_933.txt",61,0
"11_7_934.txt",63,1.38889
"11_7_935.txt",65,0
"11_7_936.txt",70,3.8961
"11_7_937.txt",202,2.69058
"11_7_938.txt",205,1.73912
"11_7_939.txt",211,3.82978
"11_8_940.txt",47,7.27273
"11_8_941.txt",56,1.5625
"11_8_942.txt",64,1.36986
"11_8_943.txt",74,6.09756
"11_8_944.txt",77,1.16279
"11_8_945.txt",78,3.48837
"11_8_946.txt",80,6.81817
"11_8_947.txt",211,2.86886
"11_8_948.txt",227,3.937
"11_8_949.txt",227,1.15385
"11_9_950.txt",49,0
"11_9_951.txt",57,3.07692
"11_9_952.txt",86,1.04167
"11_9_953.txt",88,1.02041
"11_9_954.txt",108,0
"11_9_955.txt",111,0.81301
"11_9_956.txt",209,1.66668
"11_9_957.txt",210,0.42735
"11_9_958.txt",265,0.68966
"12_1_1000.txt",17,11.11112
"12_1_1001.txt",23,0
