"","RC2","RC1","RC3","RC4","RC5"
"question",0.0915612374641435,-0.0267059828654796,0.048096798960341,0.0358435787235722,-0.0429684471531932
"move",0.0127518493602765,-0.0124984219236663,0.0925736684693555,0.015972169681834,0.0166748573620567
"answer",0.0568286764204486,-0.0253005860522483,0.0656122656759678,0.0186928883578394,-0.0185016635203169
"discuss",0.0143455832484351,-0.0197163024318473,0.0891574516296612,0.0108228779607267,-0.0299859989775146
"prepare",0.0469656401526123,0.0711244665350663,-0.0188694259321224,0.00393928648829594,-0.031109401006127
"plan",-0.0242719637329091,0.0385526311326043,0.0662994005658377,0.0273452792603521,-0.0134549497853063
"complete",-0.0238854801321255,-0.0187855573915931,0.00329149992212116,0.17939333005819,0.0419262854300445
"task",-0.0297274366822694,-0.0391323617280693,0.0205073292756991,0.129399364443823,0.0113231185070403
"train",-0.0317893537257859,0.0171316476589236,0.0618615738589056,0.0211791788173531,-0.0460529989312726
"day",0.00544992406451102,0.0882505951759145,0.0247277061010924,0.061084186203578,0.0269988397819466
"study",0.0684294357133279,0.0821292948789729,-0.0422878883790446,0.0279702244184171,-0.0433144640073369
"enjoy",0.0068034124715033,0.0291151367727238,0.0326130111524571,-0.0416551074200668,0.0858470775878941
"thought",0.00355713589654166,-0.00586660073359539,0.0598067782847371,0.0522131158832076,0.0273325311786385
"work",-0.0252328132906953,0.0198867896841519,0.0196877008326614,0.165160992620756,-0.0330033261138635
"happy",-0.0330670782924849,0.0485137461063689,0.0746665244855205,-0.0259880602796955,0.0636081896700349
"learn",0.0708164519267326,-0.0214344359387127,0.0154281086718113,-3.87841312555445e-05,-0.00453573282785426
"watch",-0.0167123865588282,-0.0348152296071514,-0.0293674472079337,-0.00701372326128365,0.232972191154023
"frustrate",0.000945333648181214,-0.0252462223626091,0.0434508990649439,0.0892675202811951,-0.0573863091878264
"late",0.00277518406137432,0.0758673191163127,-0.0166117334376097,0.0273680608774307,-0.019405624631981
"job",-0.0133130363220483,-0.0289488916712274,0.0663661287586762,0.0731144917303592,-0.0253159117827204
"nervous",0.066776155064744,0.029698078455324,0.00186194744749123,0.00353524841109449,-0.0466632621567924
"call",-0.0262357437980982,-0.0298265452045549,0.0847714922127367,0.0569639751883673,0.0221952977230615
