"","vars","n","mean","sd","median","trimmed","mad","min","max","range","skew","kurtosis","se"
"Filename*",1,3591,1796,1036.77673585011,1796,1796,1331.3748,1,3591,3590,0,-1.20100255269069,17.301252363148
"WC",2,3591,142.485937064884,83.6921421813482,201,142.813435433345,63.7518,30,509,479,-0.127655885673594,-1.52130227576489,1.39661589870137
"RC6",3,3591,3.46695187969925,3.18087793246482,2.69058,3.09385010093978,2.659369272,-10.81081,22.36843,33.17924,1.25186969866126,2.93083437202395,0.053081025010479
"RC3",4,3591,4.14704515733779,3.23215304519321,3.75585,3.95024195962409,2.744426034,-9.30232,21.95119,31.25351,0.786392828025982,1.93729746876142,0.0539366804612499
"RC9",5,3591,2.78750727652465,2.57293421896145,2.30415,2.46990358858336,2.143528254,-4.54545,21.21212,25.75757,1.49788867915527,4.23821667561607,0.0429359404940071
"RC7",6,3591,2.06547019493177,2.54767276934695,1.63935,1.77717109989558,2.20262469,-8.82354,17.64708,26.47062,1.30218591036246,3.95881083463658,0.0425143890647294
"RC1",7,3591,2.58955601503759,2.64940805386822,2.27273,2.36674054646711,2.22516021,-10.25641,22.22222,32.47863,1.00718992240049,3.55732801187485,0.0442121006075102
"RC4",8,3591,2.2695228181565,2.9167052860361,1.82648,1.96366635572572,2.119139484,-8.33333,21.6216,29.95493,1.51577129877673,5.080483346774,0.0486726336324102
"RC12",9,3591,2.23317141743247,2.8166418954905,2.1739,2.1564100591716,2.517024846,-15.38461,16.66665,32.05126,0.284859152971405,2.49757860414779,0.0470028218857933
"RC5",10,3591,2.42977780284043,2.67576623315597,1.81818,2.02371570831883,2.015535396,-3.0303,28.20512,31.23542,2.21622001505632,8.97014275515243,0.0446519537561406
"RC10",11,3591,1.15465907825118,3.0000856380087,1.1236,1.16643769578837,2.252929308,-12.5,21.05263,33.55263,0.0158450770534537,2.57041721570784,0.0500640465197983
"RC8",12,3591,2.52883495126706,2.15337863628882,2.17391,2.2470095301079,1.664648454,0,15.21739,15.21739,1.47610905508087,3.21089424886889,0.0359345902850493
"RC2",13,3591,1.30928799220273,3.03315813322931,0.83334,1.06759504350853,1.987529082,-10.52631,20.45454,30.98085,1.06947581042155,3.16124986533334,0.0506159450783839
"RC14",14,3591,0.79323514619883,3.24888520470159,0.78126,0.788862074486599,2.848726944,-13.8889,15.78948,29.67838,0.0587400241449574,1.25292259327825,0.0542158990280107
"RC15",15,3591,1.36508997493734,2.54599441725724,0.88888,1.15653957187609,1.402524774,-8.82353,19.99998,28.82351,1.23627443331748,4.45670652765052,0.042486381498535
"RC13",16,3591,2.15143331940964,3.0172638398633,1.85185,1.99351817612252,2.74555281,-10.52631,18.18181,28.70812,0.70575329485922,2.52893160940061,0.0503507084356715
"RC11",17,3591,1.16088336675021,2.41867743722303,0.88496,1.07245311521058,1.51195548,-13.63636,20,33.63636,0.549491281313795,3.84213637547782,0.0403617744105107
