"","RC2","RC1","RC3","RC4","RC5"
"question",0.343123767517291,-0.0325882154183108,0.0775542477182508,0.126290495917653,-0.133260103035799
"move",0.0604555818316487,0.0332640216902373,0.240348560754814,0.0743846500472765,-0.0478433502284753
"answer",0.203186678701852,-0.0173534156118596,0.137420001826773,0.0767541898269023,-0.112798361286066
"discuss",0.0774284963225337,-0.0414744525086746,0.194866560644713,0.0761278825218771,-0.100954886903557
"study",0.292331300034038,0.269587319382424,-0.0914775660834941,0.0849740656906855,-0.0166355137644462
"enjoy",-0.00279947968380748,0.0950859009471631,0.18978723091766,-0.0975400322624269,0.175085200391802
"thought",0.0385799618183444,0.0381516191423252,0.194166598285257,0.168114668858432,0.0507184834336643
"work",0.0172283723682354,0.19132369981048,0.0232967271555148,0.410491424217394,-0.0655420001491062
"happy",-0.0941762204588979,0.173458906281579,0.275182832848634,-0.0296184400103336,0.10006501217042
"learn",0.238390459290979,-0.0675516798043641,0.0646114917753204,0.0185583303672629,-0.0246109597129097
"process",0.0562694831331983,0.000754484872378766,0.0339210196141676,0.147878084692624,-0.0494334967335625
"prepare",0.199433736167167,0.195512479187112,-0.0117911749016659,0.0526430440958628,0.000761683899259209
"tomorrow",0.127154222383437,0.138584224886997,0.0399044079234785,0.0219140309479983,-0.00423346651190013
"plan",-0.0218676368410931,0.166214295486646,0.169242418198051,0.0875967219878644,-0.0133353773328457
"complete",0.000284997353010665,0.0771818450996172,0.0228020957539537,0.41442183302124,0.120814297479935
"task",-0.0446796688669499,-0.0234486424592558,0.0287738736286629,0.312505772536939,0.0200107851662166
"train",-0.0767373493038194,0.112074675671832,0.115349453687462,0.0609487109154257,-0.172928122244238
"session",0.0506790674051616,0.113902890697272,-0.0713250365161098,0.107935832886647,-0.011996373209328
"day",0.0771888662217033,0.348284512671148,0.150680948905119,0.169886070306018,0.0985903694620387
"watch",-0.143690494466474,-0.0493184389929943,0.105961160451216,-0.0629046081396241,0.452409442384478
"frustrate",0.0469765727461758,-0.00227235174302578,0.0582114514978393,0.254597325088499,-0.161021866125849
"late",0.049624045402695,0.27329111656082,-0.0267717931606489,0.0773740326570498,0.00636602500473915
"job",-0.0011830256283956,-0.0312744425335531,0.13089257958166,0.228483431429162,-0.100931360221817
"nervous",0.259299364628329,0.0809542081086826,-0.00324711833661752,0.0466717172958402,-0.0695287888188114
"call",-0.0524125724598364,-0.0228847178761261,0.209469263047582,0.168962159057449,-0.00431826726692212
"begin",0.194314949657831,0.0459616742995888,0.141601042984711,0.0229009385496601,0.0275415173702528
"busy",-0.0117488577281164,0.0932088819859823,0.123255638843815,0.0826113710011171,-0.0493496548771281
"start",0.119848446860678,0.232071120184351,0.180315762817221,0.165771406453572,0.12727301208433
"fun",-0.0156867411790892,0.0278789654263384,0.236956391043113,-0.017161754624261,0.0449062935257383
"conversation",-0.0471750190156078,-0.000636374041567399,0.282893227399628,0.0313711794563137,-0.0695668795829823
"friend",0.00707953161948884,0.149779624782373,0.319120398349579,-0.0453101616447921,0.0831363341145785
"weekend",0.0507347569397073,0.201783162820508,0.119379284720828,-0.0217388813958588,0.00787235281146366
"stay",0.0989908362823239,0.0587006275516219,0.115778487037764,0.053569240591201,0.111839047905562
"excite",-0.0330884388273189,0.131839852438794,0.219341844147669,-0.08939771400434,0.0462299326374296
"schedule",0.0832448234464123,0.162828905000069,-0.021427379504152,0.174556135413925,-0.0287177331969653
"office",0.0166062389295388,0.0397419153571025,0.127676370787633,0.141772905869091,-0.20508636181306
"breakfast",-0.0901938017083217,0.354978523256791,-0.0411639469865376,-0.0759217586222952,0.105133069623989
"hope",0.104502877065956,0.0900765302723377,0.0426099713273063,0.0727056687023009,-0.0969225348342302
"show",-0.011454713288518,0.0115949225084736,0.174139856782921,0.00845456501393729,0.221049711201791
"hallway",0.0413310804333276,0.234125150733267,0.0764784744350708,-0.0928014754202023,-0.0309741192860579
"stress",0.184823026252731,0.16407345231447,-0.0374879564955972,0.07197831548785,-0.0414419096351981
"meet",-0.00861411493448736,0.149625228226246,0.200054742876657,0.108765856674132,-0.204493155204768
"information",0.169348197331109,-0.0589051383365598,0.0654523317631724,0.0576216391134635,-0.110718862903612
"great",0.0441424825596563,0.0566764123673027,0.17783174136083,0.0343460704918777,0.0308188513077499
"research",0.0335641849371967,0.0838862858960672,0.0658259016923042,0.190090568439911,-0.0479325297572646
"read",0.0818088668941307,-0.0500823271106442,0.151373530927427,0.0603537023550959,0.0613128636426574
"due",0.0903161130965675,0.144181952990695,-0.0307903283085346,0.258168619475787,0.0563379758528959
"anxious",0.174119234466676,0.0915422159022073,0.0179047568177177,0.033270084484935,-0.0587562573100002
"left",0.0146189893816738,0.209832713458864,0.0841952516741947,0.0247743143188359,-0.0248655809760699
